Network ID	From Node ID	To Node ID	Length [km]	Cost [$]	Cost [$/yr]	Transmission?	Delivery?	Geometry [WKT]
link_1	TAZ_4619	WEC_LADW	67	0	0	TRUE	FALSE	"LINESTRING (-118.2173 33.7603, -118.2172 34.36134)"
link_2	TAZ_2947	WEC_LADW	155	0	0	TRUE	FALSE	"LINESTRING (-119.503 35.26723, -118.2172 34.36134)"
link_3	TAZ_2947	TAZ_4619	205	0	0	TRUE	FALSE	"LINESTRING (-119.503 35.26723, -118.2173 33.7603)"
link_4	TAZ_2947	TAZ_2312	235	0	0	TRUE	FALSE	"LINESTRING (-119.503 35.26723, -121.0273 36.98734)"
link_6	WECC_IID	TAZ_6424	167	0	0	TRUE	FALSE	"LINESTRING (-115.3654 33.03994, -117.1081 32.72816)"
link_7	WECC_SCE	WECC_IID	180	0	0	TRUE	FALSE	"LINESTRING (-115.7463 34.63158, -115.3654 33.03994)"
link_8	WECC_SNV	WECC_SCE	188	0	0	TRUE	FALSE	"LINESTRING (-115.0188 36.2132, -115.7463 34.63158)"
link_9	WEC_SDGE	WEC_LADW	201	0	0	TRUE	FALSE	"LINESTRING (-116.7325 33.03591, -118.2172 34.36134)"
link_11	WEC_SDGE	TAZ_6424	49	0	0	TRUE	FALSE	"LINESTRING (-116.7325 33.03591, -117.1081 32.72816)"
link_12	WEC_SDGE	WECC_IID	128	0	0	TRUE	FALSE	"LINESTRING (-116.7325 33.03591, -115.3654 33.03994)"
link_13	WEC_SDGE	WECC_SCE	199	0	0	TRUE	FALSE	"LINESTRING (-116.7325 33.03591, -115.7463 34.63158)"
link_14	Cavern_12	WECC_AZ	376	0	0	TRUE	FALSE	"LINESTRING (-109.1173 36.953, -111.6603 34.27713)"
link_15	Cavern_16	WECC_AZ	186	0	0	TRUE	FALSE	"LINESTRING (-109.6528 34.5159, -111.6603 34.27713)"
link_16	Cavern_16	Cavern_12	275	0	0	TRUE	FALSE	"LINESTRING (-109.6528 34.5159, -109.1173 36.953)"
link_17	Cavern_18	WECC_AZ	108	0	0	TRUE	FALSE	"LINESTRING (-112.2159 33.4235, -111.6603 34.27713)"
link_18	Cavern_18	WECC_IID	297	0	0	TRUE	FALSE	"LINESTRING (-112.2159 33.4235, -115.3654 33.03994)"
link_19	Cavern_18	Cavern_16	266	0	0	TRUE	FALSE	"LINESTRING (-112.2159 33.4235, -109.6528 34.5159)"
link_20	Cavern_19	WEC_LADW	171	0	0	TRUE	FALSE	"LINESTRING (-116.5725 35.1015, -118.2172 34.36134)"
link_21	Cavern_19	TAZ_2947	267	0	0	TRUE	FALSE	"LINESTRING (-116.5725 35.1015, -119.503 35.26723)"
link_22	Cavern_19	WECC_SCE	92	0	0	TRUE	FALSE	"LINESTRING (-116.5725 35.1015, -115.7463 34.63158)"
link_23	Cavern_19	WECC_SNV	187	0	0	TRUE	FALSE	"LINESTRING (-116.5725 35.1015, -115.0188 36.2132)"
link_24	Cavern_19	WEC_SDGE	230	0	0	TRUE	FALSE	"LINESTRING (-116.5725 35.1015, -116.7325 33.03591)"
link_25	Cavern_20	WECC_AZ	327	0	0	TRUE	FALSE	"LINESTRING (-113.7911 36.6513, -111.6603 34.27713)"
link_26	Cavern_20	Cavern_12	418	0	0	TRUE	FALSE	"LINESTRING (-113.7911 36.6513, -109.1173 36.953)"
link_27	Cavern_21	WECC_SNV	59	0	0	TRUE	FALSE	"LINESTRING (-114.3911 36.3632, -115.0188 36.2132)"
link_28	Cavern_21	Cavern_20	62	0	0	TRUE	FALSE	"LINESTRING (-114.3911 36.3632, -113.7911 36.6513)"
link_29	Cavern_22	WECC_AZ	298	0	0	TRUE	FALSE	"LINESTRING (-114.5043 35.5978, -111.6603 34.27713)"
link_30	Cavern_22	WECC_IID	295	0	0	TRUE	FALSE	"LINESTRING (-114.5043 35.5978, -115.3654 33.03994)"
link_31	Cavern_22	WECC_SCE	156	0	0	TRUE	FALSE	"LINESTRING (-114.5043 35.5978, -115.7463 34.63158)"
link_32	Cavern_22	Cavern_18	320	0	0	TRUE	FALSE	"LINESTRING (-114.5043 35.5978, -112.2159 33.4235)"
link_33	Cavern_22	Cavern_20	133	0	0	TRUE	FALSE	"LINESTRING (-114.5043 35.5978, -113.7911 36.6513)"
link_34	Cavern_22	Cavern_21	86	0	0	TRUE	FALSE	"LINESTRING (-114.5043 35.5978, -114.3911 36.3632)"
link_35	Cavern_23	WECC_SCE	142	0	0	TRUE	FALSE	"LINESTRING (-114.7036 35.5831, -115.7463 34.63158)"
link_36	Cavern_23	WECC_SNV	76	0	0	TRUE	FALSE	"LINESTRING (-114.7036 35.5831, -115.0188 36.2132)"
link_37	Cavern_23	Cavern_21	91	0	0	TRUE	FALSE	"LINESTRING (-114.7036 35.5831, -114.3911 36.3632)"
link_38	Cavern_23	Cavern_22	18	0	0	TRUE	FALSE	"LINESTRING (-114.7036 35.5831, -114.5043 35.5978)"
link_39	Cavern_5	TAZ_6424	1110	0	0	TRUE	FALSE	"LINESTRING (-105.2517 33.4598, -117.1081 32.72816)"
link_40	Cavern_5	WECC_IID	944	0	0	TRUE	FALSE	"LINESTRING (-105.2517 33.4598, -115.3654 33.03994)"
link_41	Cavern_5	Cavern_18	648	0	0	TRUE	FALSE	"LINESTRING (-105.2517 33.4598, -112.2159 33.4235)"
link_42	Cavern_5	WECC_NM	160	0	0	TRUE	FALSE	"LINESTRING (-105.2517 33.4598, -106.499 34.46443)"
link_43	Cavern_14	Cavern_12	35	0	0	TRUE	FALSE	"LINESTRING (-108.7209 36.9395, -109.1173 36.953)"
link_44	Cavern_14	WECC_NM	340	0	0	TRUE	FALSE	"LINESTRING (-108.7209 36.9395, -106.499 34.46443)"
