Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_WECC_AZ_Existing_or_Planned_Electrolysis	WECC_AZ	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Existing_or_Planned_Electrolysis	WEC_CALN	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_ID_Existing_or_Planned_Electrolysis	WECC_ID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NM_Existing_or_Planned_Electrolysis	WECC_NM	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_MT_Existing_or_Planned_Electrolysis	WECC_MT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_WY_Existing_or_Planned_Electrolysis	WECC_WY	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Existing_or_Planned_Electrolysis	WECC_NNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SNV_Existing_or_Planned_Electrolysis	WECC_SNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_PNW_Existing_or_Planned_Electrolysis	WECC_PNW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SCE_Existing_or_Planned_Electrolysis	WECC_SCE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_Existing_or_Planned_Electrolysis	WECC_IID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_Existing_or_Planned_Electrolysis	WEC_LADW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SF_Existing_or_Planned_Electrolysis	WECC_SF	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_SDGE_Existing_or_Planned_Electrolysis	WEC_SDGE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_UT_Existing_or_Planned_Electrolysis	WECC_UT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_CO_Existing_or_Planned_Electrolysis	WECC_CO	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_TAZ_5634_LH2_Truck_4_2026	TAZ_5634	LH2 Station (gas dispensing)	No	2026	20	638750.0	1.0	0.0	2.624885420878564e6	406217.2091742338	0.0	No Storage	0.0
INFR_TAZ_5634_link_201_LH2_Truck_3_2026	link_201	LH2 Truck Link	No	2026	30	5.24397812966e6	1.0	16.0	65598.35536020687	6557.813925905196	0.0	No Storage	0.0
INFR_TAZ_1624_Pipeline_linepack_3_2026	TAZ_1624	GH2 Pipeline Station (700bar)	No	2026	20	44211.65207	1.0	0.0	957834.251501584	108067.3687802305	0.0	No Storage	0.0
INFR_TAZ_6005_LH2_Truck_4_2026	TAZ_6005	LH2 Station (gas dispensing)	No	2026	20	547500.0	1.0	0.0	2.302512241e6	356327.97119025246	0.0	No Storage	0.0
INFR_TAZ_2313_link_422_GH2truck_3_2026	link_422	GH2 Truck Link	No	2026	30	200446.61486124247	1.0	59.0	10043.66959527851	824.5460632862657	0.0	No Storage	0.0
INFR_TAZ_2313_PipelineNodalStorage_3_2026	TAZ_2313	GH2 Pipeline Nodal Storage	No	2026	15	3.2612800237000003e6	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_2313_PipelineNodalStorage_5_2026	TAZ_2313	GH2 Pipeline Station (700bar)	No	2026	20	547500.0	1.0	0.0	5.430466401e6	568693.9400638285	0.0	No Storage	0.0
INFR_TAZ_2313_link_422_PipelineNodalStorage_4_2026	link_422	GH2 Pipeline (transmission)	No	2026	50	1.636015559e6	1.0	59.0	7.396298056224847e7	2.4508547791740783e6	0.0	No Storage	0.0
INFR_TAZ_122_link_1266_GH2truck_3_2026	link_1266	GH2 Truck Link	No	2026	30	115839.3064	1.0	48.0	4722.14007153388	387.6692646380922	0.0	No Storage	0.0
INFR_TAZ_122_link_1271_GH2truck_3_2026	link_1271	GH2 Truck Link	No	2026	30	611955.9026799996	1.0	90.0	46773.97907707701	3839.961076613705	0.0	No Storage	0.0
INFR_TAZ_122_link_1336_GH2truck_3_2026	link_1336	GH2 Truck Link	No	2026	30	1.8532096575399993e6	1.0	50.0	78693.02470942202	6460.390111075082	0.0	No Storage	0.0
INFR_TAZ_1310_link_994_GH2truck_3_2026	link_994	GH2 Truck Link	No	2026	30	362862.70450251887	1.0	1.0	308.1654971456256	25.299184237555004	0.0	No Storage	0.0
INFR_TAZ_6108_link_172_GH2truck_3_2026	link_172	GH2 Truck Link	No	2026	30	444890.5726000001	1.0	19.0	7178.744282094877	589.3468797423119	0.0	No Storage	0.0
INFR_TAZ_6108_link_173_GH2truck_3_2026	link_173	GH2 Truck Link	No	2026	30	45889.11934	1.0	33.0	1286.072176291405	105.58150484774808	0.0	No Storage	0.0
INFR_TAZ_6108_link_174_GH2truck_3_2026	link_174	GH2 Truck Link	No	2026	30	1.2350774527000003e6	1.0	26.0	27271.512241545803	2238.884687047119	0.0	No Storage	0.0
INFR_TAZ_6108_link_174_Pipeline_linepack_2_2026	link_174	Linepack pipeline (transmission)	No	2026	50	446940.74970000004	1.0	26.0	4.1806082093634396e6	138529.62024900437	0.0	Linepack	130.43282672358447
INFR_TAZ_1917_link_1017_GH2truck_3_2026	link_1017	GH2 Truck Link	No	2026	30	225652.03642499985	1.0	4.0	766.5507766323798	62.9308261472864	0.0	No Storage	0.0
INFR_TAZ_2312_GH2truck_4_2026	TAZ_2312	GH2 Truck Station (700bar)	No	2026	20	73000.0	1.0	0.0	2.399715921755378e6	283738.23508265207	0.0	No Storage	0.0
INFR_TAZ_165_GH2truck_4_2026	TAZ_165	GH2 Truck Station (700bar)	No	2026	20	547500.0	1.0	0.0	3.707540178e6	435091.63728114637	0.0	No Storage	0.0
INFR_TAZ_165_Pipeline_linepack_3_2026	TAZ_165	GH2 Pipeline Station (700bar)	No	2026	20	182500.0	1.0	0.0	2.203270831e6	238546.2600921636	0.0	No Storage	0.0
INFR_TAZ_3009_link_1327_GH2truck_3_2026	link_1327	GH2 Truck Link	No	2026	30	465331.42584200174	1.0	34.0	13436.401718041505	1103.0761253389003	0.0	No Storage	0.0
INFR_TAZ_3009_link_1329_LH2_Truck_3_2026	link_1329	LH2 Truck Link	No	2026	30	545746.6659	1.0	49.0	1.0168018991845595e6	84417.95932802817	0.0	No Storage	0.0
INFR_TAZ_5492_link_159_LH2_Truck_3_2026	link_159	LH2 Truck Link	No	2026	30	5.24397812966e6	1.0	1.0	4099.8972100129295	409.86337036907474	0.0	No Storage	0.0
INFR_TAZ_1435_link_813_GH2truck_3_2026	link_813	GH2 Truck Link	No	2026	30	30945.893300000003	1.0	8.0	210.24936374179035	17.26065194968494	0.0	No Storage	0.0
