Technology	Utilization Requirement
GH2 Pipeline (transmission)	0.15
Central Natural Gas Reforming w/CCS	0.15
Central Grid Electrolysis (PEM)	0.15
GH2 Truck Terminal w/ Storage	0.15
GH2 Pipeline Station (700bar)	0.15
GH2 Truck Station (700bar)	0.15
LH2 Station (gas dispensing)	0.15
LH2 Truck Terminal w/storage	0.15
Linepack pipeline (transmission)	0.15
Onsite Electrolysis (PEM)	0.15
Onsite Natural Gas Reforming	0.15
