Material	Upstream Material	Zone	Year	Intensity [upstream/unit]
Water Total [gal]	Water Total [gal]	USA	2015	-1
Residual Oil [MMBtu]	CO2 Total [tonne]	USA	2015	0.01087
Residual Oil [MMBtu]	CO2 [tonne]	USA	2015	0.0109
Residual Oil [MMBtu]	CO2_Biogenic [tonne]	USA	2015	-0.00002
Residual Oil [MMBtu]	VOC [tonne]	USA	2015	0.00000582
Residual Oil [MMBtu]	CO [tonne]	USA	2015	0.00001232
Residual Oil [MMBtu]	NOx [tonne]	USA	2015	0.0000317
Residual Oil [MMBtu]	PM10 [tonne]	USA	2015	0.00000216
Residual Oil [MMBtu]	PM2.5 [tonne]	USA	2015	0.00000182
Residual Oil [MMBtu]	SOx [tonne]	USA	2015	0.00001622
Residual Oil [MMBtu]	CH4 [tonne]	USA	2015	0.00016
Residual Oil [MMBtu]	N2O [tonne]	USA	2015	0.00000019
Residual Oil [MMBtu]	BC [tonne]	USA	2015	0.0000003
Residual Oil [MMBtu]	POC [tonne]	USA	2015	0.00000059
Residual Oil [MMBtu]	GHG-100 [tonne]	USA	2015	0.01577
Residual Oil [MMBtu]	Water Total [gal]	USA	2015	-20.941675
Residual Oil [MMBtu]	Fossil Fuel [MJ]	USA	2015	-1213
Residual Oil [MMBtu]	Petroleum Fuel [MJ]	USA	2015	-1105
Residual Oil [MMBtu]	Natural Gas Fuel [MJ]	USA	2015	-94
Residual Oil [MMBtu]	Coal Fuel [MJ]	USA	2015	-13
Residual Oil [MMBtu]	Non Fossil Fuel [MJ]	USA	2015	-5.059
Residual Oil [MMBtu]	Nuclear [MJ]	USA	2015	2.975
Residual Oil [MMBtu]	Renewable [MJ]	USA	2015	-2.083
Residual Oil [MMBtu]	Biomass [MJ]	USA	2015	-0.24456
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	CO2 Total [tonne]	USA	2015	0.00669
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	CO2 [tonne]	USA	2015	0.00669
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	CO2_Biogenic [tonne]	USA	2015	0
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	VOC [tonne]	USA	2015	0.00001034
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	CO [tonne]	USA	2015	0.00003215
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	NOx [tonne]	USA	2015	0.00004032
