Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_WECC_AZ_Existing_or_Planned_Electrolysis	WECC_AZ	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Existing_or_Planned_Electrolysis	WEC_CALN	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_ID_Existing_or_Planned_Electrolysis	WECC_ID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NM_Existing_or_Planned_Electrolysis	WECC_NM	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_MT_Existing_or_Planned_Electrolysis	WECC_MT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_WY_Existing_or_Planned_Electrolysis	WECC_WY	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Existing_or_Planned_Electrolysis	WECC_NNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SNV_Existing_or_Planned_Electrolysis	WECC_SNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_PNW_Existing_or_Planned_Electrolysis	WECC_PNW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SCE_Existing_or_Planned_Electrolysis	WECC_SCE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_Existing_or_Planned_Electrolysis	WECC_IID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_Existing_or_Planned_Electrolysis	WEC_LADW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SF_Existing_or_Planned_Electrolysis	WECC_SF	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_SDGE_Existing_or_Planned_Electrolysis	WEC_SDGE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_UT_Existing_or_Planned_Electrolysis	WECC_UT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_CO_Existing_or_Planned_Electrolysis	WECC_CO	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_TAZ_5634_PipelineNodalStorage_6_2026	TAZ_5634	GH2 Pipeline Station (700bar)	No	2026	20	640500.0	1.0	0.0	1.14180729845425e7	1.1957331901215885e6	0.0	No Storage	0.0
INFR_TAZ_1624_link_798_PipelineNodalStorage_5_2026	link_798	GH2 Pipeline (distribution3km)	No	2026	50	1.3857712442903016e6	1.0	6.0	5.019786778358147e6	144208.2337772017	0.0	No Storage	0.0
INFR_TAZ_6005_Pipeline_linepack_4_2026	TAZ_6005	GH2 Pipeline Station (700bar)	No	2026	20	549000.0	1.0	0.0	9.787370470457623e6	1.0249613688216449e6	0.0	No Storage	0.0
INFR_TAZ_2313_link_416_PipelineNodalStorage_5_2026	link_416	GH2 Pipeline (distribution3km)	No	2026	50	770757.383490411	1.0	26.0	4.06165914177827e6	116683.18135864046	0.0	No Storage	0.0
INFR_TAZ_2313_link_458_PipelineNodalStorage_5_2026	link_458	GH2 Pipeline (distribution3km)	No	2026	50	858604.2393362302	1.0	27.0	4.243425184397454e6	121904.94896036266	0.0	No Storage	0.0
INFR_TAZ_2313_link_848_PipelineNodalStorage_5_2026	link_848	GH2 Pipeline (distribution3km)	No	2026	50	122758.06967194521	1.0	81.0	3.217544826133365e6	92433.49906336627	0.0	No Storage	0.0
INFR_TAZ_2313_Pipeline_linepack_4_2026	TAZ_2313	GH2 Pipeline Station (700bar)	No	2026	20	549000.0	1.0	0.0	9.787370470457623e6	1.0249613688216449e6	0.0	No Storage	0.0
INFR_TAZ_2313_link_458_Pipeline_linepack_3_2026	link_458	GH2 Pipeline (distribution3km)	No	2026	50	1.2633735758612056e6	1.0	27.0	4.859479482550794e6	139602.9321955399	0.0	No Storage	0.0
INFR_TAZ_6108_link_170_PipelineNodalStorage_5_2026	link_170	GH2 Pipeline (distribution3km)	No	2026	50	511074.6880290411	1.0	21.0	3.573461445626278e6	102658.25747149388	0.0	No Storage	0.0
INFR_TAZ_2312_PipelineNodalStorage_6_2026	TAZ_2312	GH2 Pipeline Station (700bar)	No	2026	20	73200.0	1.0	0.0	3.486285e6	393339.083643495	0.0	No Storage	0.0
INFR_TAZ_2312_link_886_PipelineNodalStorage_5_2026	link_886	GH2 Pipeline (distribution3km)	No	2026	50	404757.383490411	1.0	44.0	3.322918256966139e6	95460.66276939298	0.0	No Storage	0.0
INFR_TAZ_165_PipelineNodalStorage_6_2026	TAZ_165	GH2 Pipeline Station (700bar)	No	2026	20	732000.0	1.0	0.0	1.2831893711954946e7	1.3105588252591721e6	0.0	No Storage	0.0
INFR_TAZ_3400_link_624_PipelineNodalStorage_5_2026	link_624	GH2 Pipeline (distribution3km)	No	2026	50	3688.388348794521	1.0	42.0	3.217881809366965e6	92443.1799042218	0.0	No Storage	0.0
INFR_TAZ_3400_link_625_PipelineNodalStorage_5_2026	link_625	GH2 Pipeline (distribution3km)	No	2026	50	366000.0	1.0	60.0	3.2202879278680114e6	92512.30278027513	0.0	No Storage	0.0
INFR_TAZ_5492_link_159_PipelineNodalStorage_5_2026	link_159	GH2 Pipeline (distribution3km)	No	2026	50	569790.9988076712	1.0	1.0	3.696666672838417e6	106197.69231063515	0.0	No Storage	0.0
INFR_TAZ_5541_PipelineNodalStorage_6_2026	TAZ_5541	GH2 Pipeline Station (700bar)	No	2026	20	241402.79537917807	1.0	0.0	4.377903446274964e6	473991.884910261	0.0	No Storage	0.0
INFR_TAZ_2550_PipelineNodalStorage_6_2026	TAZ_2550	GH2 Pipeline Station (700bar)	No	2026	20	57403.15755830137	1.0	0.0	3.48629456906682e6	393340.16327065526	0.0	No Storage	0.0
INFR_TAZ_1892_Pipeline_linepack_4_2026	TAZ_1892	GH2 Pipeline Station (700bar)	No	2026	20	584309.6553682192	1.0	0.0	1.0416664043149665e7	1.0908627877578123e6	0.0	No Storage	0.0
INFR_TAZ_1892_link_789_Pipeline_linepack_3_2026	link_789	GH2 Pipeline (distribution3km)	No	2026	50	436139.8001381918	1.0	14.0	3.401161881483671e6	97708.44248478764	0.0	No Storage	0.0
INFR_TAZ_4766_link_151_PipelineNodalStorage_5_2026	link_151	GH2 Pipeline (distribution3km)	No	2026	50	1.901539465019178e6	1.0	8.0	5.651181147223155e6	162346.90595018092	0.0	No Storage	0.0
INFR_TAZ_6133_PipelineNodalStorage_6_2026	TAZ_6133	GH2 Pipeline Station (700bar)	No	2026	20	1.0687997318465754e6	1.0	0.0	1.8863376194490276e7	1.9265717672552841e6	0.0	No Storage	0.0
INFR_TAZ_2606_PipelineNodalStorage_6_2026	TAZ_2606	GH2 Pipeline Station (700bar)	No	2026	20	108683.05503780821	1.0	0.0	3.4862867654783656e6	393339.2828330743	0.0	No Storage	0.0
