Technology	Year	Nameplate Capacity [kg/yr]	Maximum Utilization [kg/kg]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [fraction of CapCost/y]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Storage Technology
Central Grid Electrolysis (PEM)	2015	6.18E+03	1	Central	40	0	3.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	6.18E+05	1	Central	40	0	3.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	6.19E+05	1	Central	40	0.940422659	3.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	2.06E+07	1	Central	40	1	1.03E+08	0	0.067636717	0	0.024377436	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.23E+03	1	Central	40	0	3.44E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.23E+05	1	Central	40	0	3.44E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.24E+05	1	Central	40	0.935643926	3.44E+06	0	0.065424111	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2020	2.08E+07	1	Central	40	1	9.16E+07	0	0.067710075	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.29E+03	1	Central	40	0	3.11E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.29E+05	1	Central	40	0	3.11E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.30E+05	1	Central	40	0.930865193	3.11E+06	0	0.06447366	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2025	2.10E+07	1	Central	40	1	8.14E+07	0	0.067783434	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.35E+03	1	Central	40	0	2.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.35E+05	1	Central	40	0	2.81E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.36E+05	1	Central	40	0.926086461	2.81E+06	0	0.063523209	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2030	2.12E+07	1	Central	40	1	7.24E+07	0	0.067856792	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.41E+03	1	Central	40	0	2.54E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.41E+05	1	Central	40	0	2.54E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.42E+05	1	Central	40	0.921307728	2.54E+06	0	0.062572759	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2035	2.14E+07	1	Central	40	1	6.44E+07	0	0.067930151	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.47E+03	1	Central	40	0	2.30E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.47E+05	1	Central	40	0	2.30E+06	0	0.066374562	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.48E+05	1	Central	40	0.916528995	2.30E+06	0	0.061622308	0	0.028676023	0	No Storage
Central Grid Electrolysis (PEM)	2040	2.16E+07	1	Central	40	1	5.72E+07	0	0.068003509	0	0.02276505	0	No Storage
Central Grid Electrolysis (PEM)	2025	2.19E+04	1	Central	40	0	3.20E+07	0	0.066374562	0	0.029529848	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+06	1	Central	40	0	3.20E+07	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	2.19E+06	1	Central	40	0.6	31974320.95	0	0.067891671	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2025	5.84E+06	1	Central	40	0.6	57594706.48	0	0.055199204	0	1.81082239	0	No Storage
Central Natural Gas Reforming w/CCS	2025	9.49E+06	1	Central	40	0.6	77071637.89	0	0.0503564	0	1.20359491	0	No Storage
