Network_ID	Year	Period	Hydrogen_Price
TAZ_1408	2026	1 Year	1.29
TAZ_1408	2027	1 Year	5.0
TAZ_1408	2028	1 Year	4.66
TAZ_2312	2026	1 Year	1.29
TAZ_2312	2027	1 Year	5.0
TAZ_2312	2028	1 Year	4.66
TAZ_2947	2026	1 Year	1.3
TAZ_2947	2027	1 Year	5.0
TAZ_2947	2028	1 Year	4.64
TAZ_4619	2026	1 Year	1.3
TAZ_4619	2027	1 Year	5.0
TAZ_4619	2028	1 Year	4.64
TAZ_531	2026	1 Year	1.29
TAZ_531	2027	1 Year	5.0
TAZ_531	2028	1 Year	4.66
TAZ_6424	2026	1 Year	1.47
TAZ_6424	2027	1 Year	6.03
TAZ_6424	2028	1 Year	1.27
WECC_AZ	2026	1 Year	3.67
WECC_AZ	2027	1 Year	3.61
WECC_AZ	2028	1 Year	3.34
WECC_CO	2026	1 Year	7.65
WECC_CO	2027	1 Year	6.62
WECC_CO	2028	1 Year	4.67
WECC_ID	2026	1 Year	6.96
WECC_ID	2027	1 Year	5.94
WECC_ID	2028	1 Year	5.5
WECC_IID	2026	1 Year	6.74
WECC_IID	2027	1 Year	6.49
WECC_IID	2028	1 Year	6.22
WECC_MT	2026	1 Year	7.37
WECC_MT	2027	1 Year	6.05
WECC_MT	2028	1 Year	5.61
WECC_NM	2026	1 Year	6.95
WECC_NM	2027	1 Year	4.16
WECC_NM	2028	1 Year	3.97
WECC_NNV	2026	1 Year	4.19
WECC_NNV	2027	1 Year	3.88
WECC_NNV	2028	1 Year	3.59
WECC_PNW	2026	1 Year	4.03
WECC_PNW	2027	1 Year	3.77
WECC_PNW	2028	1 Year	3.49
WECC_SCE	2026	1 Year	6.99
WECC_SCE	2027	1 Year	6.51
WECC_SCE	2028	1 Year	6.21
WECC_SF	2026	1 Year	1.29
WECC_SF	2027	1 Year	5.0
WECC_SF	2028	1 Year	4.66
WECC_SNV	2026	1 Year	4.26
WECC_SNV	2027	1 Year	3.94
WECC_SNV	2028	1 Year	3.65
WECC_UT	2026	1 Year	7.32
WECC_UT	2027	1 Year	5.74
WECC_UT	2028	1 Year	4.06
WECC_WY	2026	1 Year	4.64
WECC_WY	2027	1 Year	4.29
WECC_WY	2028	1 Year	3.97
WEC_CALN	2026	1 Year	1.28
WEC_CALN	2027	1 Year	5.0
WEC_CALN	2028	1 Year	4.64
WEC_LADW	2026	1 Year	1.3
WEC_LADW	2027	1 Year	5.0
WEC_LADW	2028	1 Year	4.64
WEC_SDGE	2026	1 Year	1.47
WEC_SDGE	2027	1 Year	6.03
WEC_SDGE	2028	1 Year	1.27
TAZ_1408	2029	1 Year	4.29
TAZ_1408	2030	1 Year	4.77
TAZ_1408	2031	1 Year	6.9
TAZ_2312	2029	1 Year	4.29
TAZ_2312	2030	1 Year	4.77
TAZ_2312	2031	1 Year	7.34
TAZ_2947	2029	1 Year	4.31
TAZ_2947	2030	1 Year	4.02
TAZ_2947	2031	1 Year	6.67
TAZ_4619	2029	1 Year	4.31
TAZ_4619	2030	1 Year	4.02
TAZ_4619	2031	1 Year	6.81
TAZ_531	2029	1 Year	4.29
TAZ_531	2030	1 Year	4.77
TAZ_531	2031	1 Year	3.69
TAZ_6424	2029	1 Year	4.29
TAZ_6424	2030	1 Year	7.2
TAZ_6424	2031	1 Year	6.82
WECC_AZ	2029	1 Year	3.57
WECC_AZ	2030	1 Year	2.81
WECC_AZ	2031	1 Year	5.37
WECC_CO	2029	1 Year	3.15
WECC_CO	2030	1 Year	3.05
WECC_CO	2031	1 Year	3.12
WECC_ID	2029	1 Year	3.97
WECC_ID	2030	1 Year	3.58
WECC_ID	2031	1 Year	4.01
WECC_IID	2029	1 Year	4.2
WECC_IID	2030	1 Year	-0.0
WECC_IID	2031	1 Year	-0.0
WECC_MT	2029	1 Year	3.18
WECC_MT	2030	1 Year	3.18
WECC_MT	2031	1 Year	3.11
WECC_NM	2029	1 Year	3.54
WECC_NM	2030	1 Year	2.77
WECC_NM	2031	1 Year	2.57
WECC_NNV	2029	1 Year	3.81
WECC_NNV	2030	1 Year	4.51
WECC_NNV	2031	1 Year	5.13
WECC_PNW	2029	1 Year	2.84
WECC_PNW	2030	1 Year	2.55
WECC_PNW	2031	1 Year	2.37
WECC_SCE	2029	1 Year	4.24
WECC_SCE	2030	1 Year	-0.0
WECC_SCE	2031	1 Year	-0.0
WECC_SF	2029	1 Year	4.29
WECC_SF	2030	1 Year	4.77
WECC_SF	2031	1 Year	6.67
WECC_SNV	2029	1 Year	3.86
WECC_SNV	2030	1 Year	4.3
WECC_SNV	2031	1 Year	5.55
WECC_UT	2029	1 Year	3.06
WECC_UT	2030	1 Year	3.28
WECC_UT	2031	1 Year	3.1
WECC_WY	2029	1 Year	4.16
WECC_WY	2030	1 Year	3.35
WECC_WY	2031	1 Year	3.99
WEC_CALN	2029	1 Year	1.06
WEC_CALN	2030	1 Year	3.98
WEC_CALN	2031	1 Year	3.69
WEC_LADW	2029	1 Year	4.31
WEC_LADW	2030	1 Year	4.02
WEC_LADW	2031	1 Year	6.67
WEC_SDGE	2029	1 Year	4.27
WEC_SDGE	2030	1 Year	4.52
WEC_SDGE	2031	1 Year	6.67
TAZ_1408	2032	1 Year	7.02
TAZ_1408	2033	1 Year	5.72
TAZ_1408	2034	1 Year	5.29
TAZ_2312	2032	1 Year	8.25
TAZ_2312	2033	1 Year	5.72
TAZ_2312	2034	1 Year	5.29
TAZ_2947	2032	1 Year	6.25
TAZ_2947	2033	1 Year	6.25
TAZ_2947	2034	1 Year	5.44
TAZ_4619	2032	1 Year	6.88
TAZ_4619	2033	1 Year	5.98
TAZ_4619	2034	1 Year	5.44
TAZ_531	2032	1 Year	3.42
TAZ_531	2033	1 Year	5.72
TAZ_531	2034	1 Year	2.95
TAZ_6424	2032	1 Year	6.73
TAZ_6424	2033	1 Year	5.72
TAZ_6424	2034	1 Year	5.29
WECC_AZ	2032	1 Year	5.02
WECC_AZ	2033	1 Year	5.32
WECC_AZ	2034	1 Year	4.9
WECC_CO	2032	1 Year	2.88
WECC_CO	2033	1 Year	2.67
WECC_CO	2034	1 Year	2.74
WECC_ID	2032	1 Year	3.07
WECC_ID	2033	1 Year	2.84
WECC_ID	2034	1 Year	3.17
WECC_IID	2032	1 Year	-0.0
WECC_IID	2033	1 Year	-0.0
WECC_IID	2034	1 Year	-0.0
WECC_MT	2032	1 Year	2.88
WECC_MT	2033	1 Year	2.67
WECC_MT	2034	1 Year	2.73
WECC_NM	2032	1 Year	2.38
WECC_NM	2033	1 Year	2.2
WECC_NM	2034	1 Year	2.34
WECC_NNV	2032	1 Year	5.44
WECC_NNV	2033	1 Year	5.56
WECC_NNV	2034	1 Year	5.06
WECC_PNW	2032	1 Year	2.19
WECC_PNW	2033	1 Year	2.67
WECC_PNW	2034	1 Year	1.89
WECC_SCE	2032	1 Year	-0.0
WECC_SCE	2033	1 Year	-0.0
WECC_SCE	2034	1 Year	-0.0
WECC_SF	2032	1 Year	6.17
WECC_SF	2033	1 Year	5.72
WECC_SF	2034	1 Year	5.29
WECC_SNV	2032	1 Year	5.91
WECC_SNV	2033	1 Year	5.44
WECC_SNV	2034	1 Year	4.98
WECC_UT	2032	1 Year	2.81
WECC_UT	2033	1 Year	2.61
WECC_UT	2034	1 Year	2.8
WECC_WY	2032	1 Year	2.87
WECC_WY	2033	1 Year	2.8
WECC_WY	2034	1 Year	2.87
WEC_CALN	2032	1 Year	3.42
WEC_CALN	2033	1 Year	3.17
WEC_CALN	2034	1 Year	2.95
WEC_LADW	2032	1 Year	6.17
WEC_LADW	2033	1 Year	5.98
WEC_LADW	2034	1 Year	5.37
WEC_SDGE	2032	1 Year	6.08
WEC_SDGE	2033	1 Year	5.7
WEC_SDGE	2034	1 Year	5.27
TAZ_1408	2035	1 Year	4.9
TAZ_1408	2036	1 Year	6.57
TAZ_1408	2037	1 Year	3.64
TAZ_2312	2035	1 Year	4.9
TAZ_2312	2036	1 Year	24.26
TAZ_2312	2037	1 Year	3.64
TAZ_2947	2035	1 Year	6.71
TAZ_2947	2036	1 Year	9.39
TAZ_2947	2037	1 Year	9.39
TAZ_4619	2035	1 Year	6.71
TAZ_4619	2036	1 Year	6.71
TAZ_4619	2037	1 Year	3.66
TAZ_531	2035	1 Year	2.73
TAZ_531	2036	1 Year	3.85
TAZ_531	2037	1 Year	3.64
TAZ_6424	2035	1 Year	4.9
TAZ_6424	2036	1 Year	3.86
TAZ_6424	2037	1 Year	4.01
WECC_AZ	2035	1 Year	4.64
WECC_AZ	2036	1 Year	1.51
WECC_AZ	2037	1 Year	1.39
WECC_CO	2035	1 Year	2.36
WECC_CO	2036	1 Year	1.71
WECC_CO	2037	1 Year	1.68
WECC_ID	2035	1 Year	2.48
WECC_ID	2036	1 Year	1.92
WECC_ID	2037	1 Year	1.72
WECC_IID	2035	1 Year	-0.0
WECC_IID	2036	1 Year	-0.0
WECC_IID	2037	1 Year	-0.0
WECC_MT	2035	1 Year	4.26
WECC_MT	2036	1 Year	1.79
WECC_MT	2037	1 Year	1.6
WECC_NM	2035	1 Year	1.85
WECC_NM	2036	1 Year	1.5
WECC_NM	2037	1 Year	1.73
WECC_NNV	2035	1 Year	4.69
WECC_NNV	2036	1 Year	1.62
WECC_NNV	2037	1 Year	1.5
WECC_PNW	2035	1 Year	1.76
WECC_PNW	2036	1 Year	2.06
WECC_PNW	2037	1 Year	1.45
WECC_SCE	2035	1 Year	-0.0
WECC_SCE	2036	1 Year	-0.0
WECC_SCE	2037	1 Year	-0.0
WECC_SF	2035	1 Year	4.9
WECC_SF	2036	1 Year	3.85
WECC_SF	2037	1 Year	3.64
WECC_SNV	2035	1 Year	-0.0
WECC_SNV	2036	1 Year	3.86
WECC_SNV	2037	1 Year	3.62
WECC_UT	2035	1 Year	2.4
WECC_UT	2036	1 Year	1.75
WECC_UT	2037	1 Year	1.58
WECC_WY	2035	1 Year	2.36
