Network ID	Territory	Fraction
TAZ_2849	WECC_SCE	1
TAZ_2838	WECC_SCE	1
TAZ_2916	WECC_SCE	1
TAZ_5101	WECC_SCE	1
TAZ_2918	WECC_SCE	1
TAZ_5139	WECC_SCE	1
TAZ_3312	WEC_CALN	1
TAZ_5140	WECC_SCE	1
TAZ_2940	WECC_SCE	1
TAZ_2798	WECC_SCE	1
TAZ_3304	WEC_CALN	1
TAZ_2941	WECC_SCE	1
TAZ_2924	WECC_SCE	1
TAZ_2923	WECC_SCE	1
TAZ_3305	WEC_CALN	1
TAZ_2949	WECC_SCE	1
TAZ_2914	WECC_SCE	1
TAZ_2915	WECC_SCE	1
Cavern_23	WECC_SNV	1
Cavern_22	WECC_AZ	1
TAZ_3307	WEC_CALN	1
TAZ_2917	WECC_SCE	1
TAZ_2740	WECC_SCE	1
TAZ_2739	WECC_SCE	1
TAZ_2603	WEC_CALN	1
TAZ_2737	WECC_SCE	1
TAZ_2602	WEC_CALN	1
TAZ_3252	WEC_CALN	1
TAZ_2736	WECC_SCE	1
TAZ_2744	WECC_SCE	1
TAZ_2743	WECC_SCE	1
TAZ_2731	WECC_SCE	1
TAZ_2622	WEC_CALN	1
TAZ_2730	WECC_SCE	1
TAZ_2624	WEC_CALN	1
TAZ_2605	WEC_CALN	1
TAZ_2727	WECC_SCE	1
TAZ_2531	WEC_CALN	1
TAZ_2606	WEC_CALN	1
TAZ_2530	WEC_CALN	1
TAZ_2726	WECC_SCE	1
TAZ_2506	WEC_CALN	1
TAZ_3214	WEC_CALN	1
TAZ_2748	WECC_SCE	1
TAZ_3210	WEC_CALN	1
WECC_SNV	WECC_SNV	1
TAZ_2532	WEC_CALN	1
TAZ_2783	WECC_SCE	1
TAZ_3211	WEC_CALN	1
TAZ_3265	WEC_CALN	1
TAZ_2518	WEC_CALN	1
TAZ_3013	WECC_SCE	1
Cavern_21	WECC_SNV	1
TAZ_3212	WEC_CALN	1
TAZ_3207	WEC_CALN	1
TAZ_2525	WEC_CALN	1
TAZ_2519	WEC_CALN	1
TAZ_3213	WEC_CALN	1
TAZ_3247	WEC_CALN	1
TAZ_3256	WEC_CALN	1
TAZ_2536	WEC_CALN	1
TAZ_2522	WEC_CALN	1
TAZ_2537	WEC_CALN	1
TAZ_2479	WEC_CALN	1
TAZ_2478	WEC_CALN	1
TAZ_3202	WEC_CALN	1
TAZ_2473	WEC_CALN	1
TAZ_2408	WEC_CALN	1
Cavern_20	WECC_AZ	1
TAZ_2509	WEC_CALN	1
TAZ_2429	WEC_CALN	1
TAZ_2545	WEC_CALN	1
TAZ_3205	WEC_CALN	1
TAZ_2574	WEC_CALN	1
TAZ_2557	WEC_CALN	1
TAZ_3131	WEC_CALN	1
TAZ_3129	WEC_CALN	1
TAZ_2312	WEC_CALN	1
TAZ_3115	WEC_CALN	1
TAZ_2313	WEC_CALN	1
TAZ_1938	WECC_SF	1
TAZ_3121	WEC_CALN	1
TAZ_2550	WEC_CALN	1
TAZ_1937	WECC_SF	1
TAZ_2305	WEC_CALN	1
TAZ_2566	WEC_CALN	1
TAZ_3016	WECC_SCE	1
TAZ_3108	WEC_CALN	1
TAZ_2311	WEC_CALN	1
TAZ_2308	WEC_CALN	1
TAZ_1946	WECC_SF	1
TAZ_2567	WEC_CALN	1
TAZ_1944	WECC_SF	1
TAZ_1958	WECC_SF	1
TAZ_1917	WECC_SF	1
TAZ_2332	WEC_CALN	1
TAZ_1814	WECC_SF	1
TAZ_1283	WECC_SF	1
TAZ_2276	WEC_CALN	1
TAZ_2573	WEC_CALN	1
TAZ_3014	WECC_SCE	1
TAZ_1813	WECC_SF	1
TAZ_1839	WECC_SF	1
TAZ_2565	WEC_CALN	1
TAZ_1759	WECC_SF	1
TAZ_1731	WECC_SF	1
TAZ_1718	WECC_SF	1
Cavern_12	WECC_AZ	1
TAZ_1796	WECC_SF	1
TAZ_1725	WECC_SF	1
TAZ_1227	WECC_SF	1
Cavern_14	WECC_NM	1
TAZ_6701	WECC_SF	1
TAZ_2208	WEC_CALN	1
TAZ_1624	WECC_SF	1
TAZ_1626	WECC_SF	1
WECC_SF	WECC_SF	1
TAZ_1614	WECC_SF	1
TAZ_1210	WECC_SF	1
TAZ_1686	WECC_SF	1
TAZ_2211	WEC_CALN	1
TAZ_1237	WECC_SF	1
TAZ_1648	WECC_SF	1
TAZ_2114	WEC_CALN	1
TAZ_3023	WEC_LADW	1
TAZ_1650	WECC_SF	1
TAZ_1653	WECC_SF	1
TAZ_1678	WECC_SF	1
TAZ_3018	WEC_CALN	1
TAZ_2234	WEC_CALN	1
TAZ_2113	WEC_CALN	1
TAZ_1687	WECC_SF	1
TAZ_1691	WECC_SF	1
TAZ_1681	WECC_SF	1
TAZ_3022	WEC_LADW	1
TAZ_2200	WEC_CALN	1
TAZ_1179	WECC_SF	1
TAZ_1680	WECC_SF	1
TAZ_1413	WECC_SF	1
TAZ_1896	WECC_SF	1
TAZ_1424	WECC_SF	1
TAZ_1182	WECC_SF	1
TAZ_2231	WEC_CALN	1
TAZ_1415	WECC_SF	1
TAZ_1160	WECC_SF	1
TAZ_1677	WECC_SF	1
TAZ_1892	WECC_SF	1
TAZ_1374	WECC_SF	1
TAZ_2108	WEC_CALN	1
TAZ_2107	WEC_CALN	1
TAZ_1156	WECC_SF	1
TAZ_1435	WECC_SF	1
TAZ_1192	WECC_SF	1
TAZ_1408	WECC_SF	1
TAZ_1023	WECC_SF	1
TAZ_1403	WECC_SF	1
TAZ_1507	WECC_SF	1
TAZ_1368	WECC_SF	1
TAZ_2103	WEC_CALN	1
TAZ_1314	WECC_SF	1
TAZ_2227	WEC_CALN	1
TAZ_1365	WECC_SF	1
TAZ_1388	WECC_SF	1
TAZ_1311	WECC_SF	1
TAZ_3033	WEC_CALN	1
TAZ_1310	WECC_SF	1
TAZ_1309	WECC_SF	1
TAZ_2024	WEC_CALN	1
TAZ_2020	WEC_CALN	1
TAZ_2021	WEC_CALN	1
TAZ_3030	WEC_CALN	1
TAZ_1357	WECC_SF	1
TAZ_1341	WECC_SF	1
TAZ_2023	WEC_CALN	1
TAZ_2029	WEC_CALN	1
TAZ_2018	WEC_CALN	1
TAZ_1380	WECC_SF	1
TAZ_2035	WEC_CALN	1
TAZ_2039	WEC_CALN	1
TAZ_1320	WECC_SF	1
TAZ_2122	WEC_CALN	1
TAZ_921	WECC_SF	1
TAZ_1353	WECC_SF	1
TAZ_1360	WECC_SF	1
TAZ_3010	WEC_CALN	1
TAZ_2009	WEC_CALN	1
TAZ_1399	WECC_SF	1
TAZ_902	WECC_SF	1
TAZ_2149	WEC_CALN	1
TAZ_901	WECC_SF	1
TAZ_3012	WEC_CALN	1
