Network_ID	Year	Period	Hydrogen_Price
TAZ_1023	2026	1 Year	10157.73
TAZ_1023	2027	1 Year	311.69
TAZ_1023	2028	1 Year	1520.2
TAZ_103	2026	1 Year	9.56
TAZ_103	2027	1 Year	6.31
TAZ_103	2028	1 Year	7.45
TAZ_109	2026	1 Year	36.21
TAZ_109	2027	1 Year	7.31
TAZ_109	2028	1 Year	8.38
TAZ_1179	2026	1 Year	-0.0
TAZ_1179	2027	1 Year	7.46
TAZ_1179	2028	1 Year	664.85
TAZ_1192	2026	1 Year	10137.43
TAZ_1192	2027	1 Year	7.46
TAZ_1192	2028	1 Year	1514.35
TAZ_1227	2026	1 Year	2.51
TAZ_1227	2027	1 Year	7.46
TAZ_1227	2028	1 Year	679.79
TAZ_124	2026	1 Year	15.17
TAZ_124	2027	1 Year	11.44
TAZ_124	2028	1 Year	12.26
TAZ_129	2026	1 Year	15.16
TAZ_129	2027	1 Year	11.43
TAZ_129	2028	1 Year	12.25
TAZ_130	2026	1 Year	16.57
TAZ_130	2027	1 Year	12.73
TAZ_130	2028	1 Year	13.46
TAZ_1309	2026	1 Year	217.09
TAZ_1309	2027	1 Year	472.07
TAZ_1309	2028	1 Year	6.17
TAZ_1314	2026	1 Year	5.56
TAZ_1314	2027	1 Year	9.35
TAZ_1314	2028	1 Year	3.9
TAZ_1320	2026	1 Year	212.38
TAZ_1320	2027	1 Year	490.32
TAZ_1320	2028	1 Year	3.86
TAZ_1341	2026	1 Year	3.42
TAZ_1341	2027	1 Year	7.46
TAZ_1341	2028	1 Year	2.14
TAZ_1353	2026	1 Year	8.12
TAZ_1353	2027	1 Year	11.72
TAZ_1353	2028	1 Year	6.09
TAZ_1360	2026	1 Year	24.37
TAZ_1360	2027	1 Year	7.72
TAZ_1360	2028	1 Year	3.74
TAZ_1403	2026	1 Year	212.38
TAZ_1403	2027	1 Year	461.95
TAZ_1403	2028	1 Year	2.14
TAZ_1413	2026	1 Year	2.51
TAZ_1413	2027	1 Year	7.46
TAZ_1413	2028	1 Year	3477.64
TAZ_156	2026	1 Year	9.13
TAZ_156	2027	1 Year	10.34
TAZ_156	2028	1 Year	7.08
TAZ_160	2026	1 Year	19.66
TAZ_160	2027	1 Year	15.87
TAZ_160	2028	1 Year	16.37
TAZ_1624	2026	1 Year	4.5
TAZ_1624	2027	1 Year	9.3
TAZ_1624	2028	1 Year	3.84
TAZ_164	2026	1 Year	13.19
TAZ_164	2027	1 Year	9.88
TAZ_164	2028	1 Year	10.82
TAZ_165	2026	1 Year	8.41
TAZ_165	2027	1 Year	9.67
TAZ_165	2028	1 Year	6.47
TAZ_1653	2026	1 Year	5.34
TAZ_1653	2027	1 Year	10.07
TAZ_1653	2028	1 Year	3480.06
TAZ_166	2026	1 Year	7.72
TAZ_166	2027	1 Year	9.03
TAZ_166	2028	1 Year	5.87
TAZ_167	2026	1 Year	17.6
TAZ_167	2027	1 Year	9.03
TAZ_167	2028	1 Year	5.87
TAZ_1677	2026	1 Year	4.09
TAZ_1677	2027	1 Year	8.0
TAZ_1677	2028	1 Year	2.64
TAZ_1686	2026	1 Year	2.42
TAZ_1686	2027	1 Year	7.46
TAZ_1686	2028	1 Year	2.14
TAZ_1718	2026	1 Year	2.51
TAZ_1718	2027	1 Year	7.46
TAZ_1718	2028	1 Year	664.85
TAZ_1725	2026	1 Year	2.51
TAZ_1725	2027	1 Year	7.46
TAZ_1725	2028	1 Year	664.85
TAZ_1731	2026	1 Year	4.92
TAZ_1731	2027	1 Year	9.69
TAZ_1731	2028	1 Year	666.91
TAZ_1796	2026	1 Year	2.42
TAZ_1796	2027	1 Year	7.46
TAZ_1796	2028	1 Year	2.14
TAZ_1892	2026	1 Year	2.4
TAZ_1892	2027	1 Year	7.46
TAZ_1892	2028	1 Year	2.14
TAZ_1937	2026	1 Year	4.35
TAZ_1937	2027	1 Year	9.16
TAZ_1937	2028	1 Year	3.72
TAZ_1944	2026	1 Year	2.4
TAZ_1944	2027	1 Year	7.46
TAZ_1944	2028	1 Year	2.14
TAZ_2009	2026	1 Year	2.51
TAZ_2009	2027	1 Year	7.46
TAZ_2009	2028	1 Year	2.14
TAZ_202	2026	1 Year	11.3
TAZ_202	2027	1 Year	7.93
TAZ_202	2028	1 Year	9.01
TAZ_2021	2026	1 Year	663.14
TAZ_2021	2027	1 Year	9.44
TAZ_2021	2028	1 Year	3.97
TAZ_2023	2026	1 Year	2.51
TAZ_2023	2027	1 Year	7.46
TAZ_2023	2028	1 Year	2.14
TAZ_2029	2026	1 Year	10.68
TAZ_2029	2027	1 Year	8.44
TAZ_2029	2028	1 Year	3.7
TAZ_2119	2026	1 Year	2.51
TAZ_2119	2027	1 Year	7.46
TAZ_2119	2028	1 Year	2.14
TAZ_212	2026	1 Year	7163.36
TAZ_212	2027	1 Year	7.19
TAZ_212	2028	1 Year	8.26
TAZ_2149	2026	1 Year	4.65
TAZ_2149	2027	1 Year	9.44
TAZ_2149	2028	1 Year	3.97
TAZ_2200	2026	1 Year	2.53
TAZ_2200	2027	1 Year	7.75
TAZ_2200	2028	1 Year	2.14
TAZ_2234	2026	1 Year	2.91
TAZ_2234	2027	1 Year	8.05
TAZ_2234	2028	1 Year	3.36
TAZ_228	2026	1 Year	12.16
TAZ_228	2027	1 Year	8.65
TAZ_228	2028	1 Year	9.68
TAZ_2308	2026	1 Year	263.0
TAZ_2308	2027	1 Year	10.36
TAZ_2308	2028	1 Year	5.49
TAZ_2312	2026	1 Year	928.97
TAZ_2312	2027	1 Year	3716.9
TAZ_2312	2028	1 Year	3.97
TAZ_2313	2026	1 Year	16.87
TAZ_2313	2027	1 Year	39.05
TAZ_2313	2028	1 Year	2.14
TAZ_2332	2026	1 Year	260.44
TAZ_2332	2027	1 Year	7.99
TAZ_2332	2028	1 Year	3.3
TAZ_2408	2026	1 Year	112.24
TAZ_2408	2027	1 Year	12.81
TAZ_2408	2028	1 Year	7.14
TAZ_2473	2026	1 Year	882.64
TAZ_2473	2027	1 Year	39.05
TAZ_2473	2028	1 Year	94.51
TAZ_2479	2026	1 Year	1543.27
TAZ_2479	2027	1 Year	41.03
TAZ_2479	2028	1 Year	96.34
TAZ_2509	2026	1 Year	64.02
