Year	Eligible Technologies	Percentage Requirement
2021	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2022	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2023	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2024	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2025	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2026	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2027	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2028	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2029	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2030	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2031	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2032	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2033	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2034	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2035	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2036	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2037	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2038	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2039	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2040	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2041	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2042	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2043	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2044	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2045	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2046	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2047	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2048	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2049	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
2050	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0.5
