Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_WECC_AZ_Existing_or_Planned_Electrolysis	WECC_AZ	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Existing_or_Planned_Electrolysis	WEC_CALN	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_ID_Existing_or_Planned_Electrolysis	WECC_ID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NM_Existing_or_Planned_Electrolysis	WECC_NM	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_MT_Existing_or_Planned_Electrolysis	WECC_MT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_WY_Existing_or_Planned_Electrolysis	WECC_WY	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Existing_or_Planned_Electrolysis	WECC_NNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SNV_Existing_or_Planned_Electrolysis	WECC_SNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_PNW_Existing_or_Planned_Electrolysis	WECC_PNW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SCE_Existing_or_Planned_Electrolysis	WECC_SCE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_Existing_or_Planned_Electrolysis	WECC_IID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_Existing_or_Planned_Electrolysis	WEC_LADW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SF_Existing_or_Planned_Electrolysis	WECC_SF	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_SDGE_Existing_or_Planned_Electrolysis	WEC_SDGE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_UT_Existing_or_Planned_Electrolysis	WECC_UT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_CO_Existing_or_Planned_Electrolysis	WECC_CO	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_TAZ_5634_link_201_GH2truck_3_2026	link_201	GH2 Truck Link	No	2026	30	2.0406888885714752e6	1.0	16.0	27729.271619836803	2276.4649449121976	0.0	No Storage	0.0
INFR_TAZ_5634_LH2_Truck_4_2026	TAZ_5634	LH2 Station (gas dispensing)	No	2026	20	638750.0	1.0	0.0	2.624885420878564e6	406217.2091742338	0.0	No Storage	0.0
INFR_TAZ_5634_link_201_LH2_Truck_3_2026	link_201	LH2 Truck Link	No	2026	30	3.379756357725e6	1.0	16.0	42885.870514948205	4347.316206268236	0.0	No Storage	0.0
INFR_TAZ_1624_link_798_GH2truck_3_2026	link_798	GH2 Truck Link	No	2026	30	127668.54310000001	1.0	6.0	650.5442344901466	53.40714192694958	0.0	No Storage	0.0
INFR_TAZ_1624_LH2_Truck_4_2026	TAZ_1624	LH2 Station (gas dispensing)	No	2026	20	44211.65207	1.0	0.0	1.5145631452083925e6	229029.13850765483	0.0	No Storage	0.0
INFR_TAZ_1624_link_798_LH2_Truck_3_2026	link_798	LH2 Truck Link	No	2026	30	867640.8025	1.0	6.0	314694.46503392945	26126.8832909289	0.0	No Storage	0.0
INFR_TAZ_6005_link_47_GH2truck_3_2026	link_47	GH2 Truck Link	No	2026	30	109499.99999999999	1.0	13.0	1208.924421671318	99.247975378273	0.0	No Storage	0.0
INFR_TAZ_6005_LH2_Truck_4_2026	TAZ_6005	LH2 Station (gas dispensing)	No	2026	20	547500.0	1.0	0.0	2.302512241e6	356327.97119025246	0.0	No Storage	0.0
INFR_TAZ_6005_link_238_LH2_Truck_3_2026	link_238	LH2 Truck Link	No	2026	30	1.1863157383000001e7	1.0	8.0	72772.91510251991	7900.555723830845	0.0	No Storage	0.0
INFR_TAZ_2313_link_416_GH2truck_3_2026	link_416	GH2 Truck Link	No	2026	30	137036.53248999963	1.0	26.0	3025.877822617637	248.41275620988844	0.0	No Storage	0.0
INFR_TAZ_2313_link_458_GH2truck_3_2026	link_458	GH2 Truck Link	No	2026	30	44100.441978000046	1.0	27.0	1011.2263684369423	83.01773702093057	0.0	No Storage	0.0
INFR_TAZ_2313_LH2_Truck_4_2026	TAZ_2313	LH2 Station (gas dispensing)	No	2026	20	547500.0	1.0	0.0	2.302512241e6	356327.97119025246	0.0	No Storage	0.0
INFR_TAZ_2313_link_458_LH2_Truck_3_2026	link_458	LH2 Truck Link	No	2026	30	2.14481593708315e6	1.0	27.0	46127.872659578505	4675.956112486185	0.0	No Storage	0.0
INFR_TAZ_2313_link_703_LH2_Truck_3_2026	link_703	LH2 Truck Link	No	2026	30	1.095e6	1.0	27.0	2.255536310749996e6	187261.4249604416	0.0	No Storage	0.0
INFR_TAZ_6108_link_173_GH2truck_3_2026	link_173	GH2 Truck Link	No	2026	30	45889.11934	1.0	33.0	1286.072176291405	105.58150484774808	0.0	No Storage	0.0
INFR_TAZ_1917_link_883_LH2_Truck_3_2026	link_883	LH2 Truck Link	No	2026	30	109500.0	1.0	2.0	1670.7676375925898	138.71216663736416	0.0	No Storage	0.0
INFR_TAZ_2312_GH2truck_4_2026	TAZ_2312	GH2 Truck Station (700bar)	No	2026	20	72999.99999999965	1.0	0.0	2.399715921755367e6	283738.23508265073	0.0	No Storage	0.0
INFR_TAZ_2312_link_886_GH2truck_3_2026	link_886	GH2 Truck Link	No	2026	30	64036.53248999999	1.0	44.0	2392.8868509150907	196.44666862986298	0.0	No Storage	0.0
INFR_TAZ_165_Onsite_Electrolysis_(PEM)_2026	TAZ_165	Onsite Electrolysis (PEM)	Onsite	2026	20	730000.0	1.0	0.0	5.769740500149438e6	301990.9757137807	0.620714273	No_Storage	0.0
INFR_TAZ_165_link_1418_GH2truck_3_2026	link_1418	GH2 Truck Link	No	2026	30	143973.97355466912	1.0	43.0	5257.679709699965	431.6349781847805	0.0	No Storage	0.0
INFR_TAZ_165_PipelineNodalStorage_1_2026	TAZ_165	GH2 Pipeline Compressor	No	2026	15	730000.0	1.0	0.0	315999.97331172734	27838.73718083585	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_165_PipelineNodalStorage_3_2026	TAZ_165	GH2 Pipeline Nodal Storage	No	2026	15	1.46e6	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_165_PipelineNodalStorage_5_2026	TAZ_165	GH2 Pipeline Station (700bar)	No	2026	20	730000.0	1.0	0.0	7.239999281e6	739442.2963264277	0.0	No Storage	0.0
INFR_TAZ_3009_link_1329_LH2_Truck_3_2026	link_1329	LH2 Truck Link	No	2026	30	2.7903659327350003e6	1.0	49.0	108604.85370256293	11009.212006457341	0.0	No Storage	0.0
