Network ID	Year	Eligible Technologies	Capacity [kg/year]
WECC_AZ	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NM	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_AZ	2030	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NM	2030	Central Grid Electrolysis (PEM)	0.00E+00
WECC_AZ	2035	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NM	2035	Central Grid Electrolysis (PEM)	0.00E+00
WECC_AZ	2040	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NM	2040	Central Grid Electrolysis (PEM)	0.00E+00
WECC_AZ	2045	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NM	2045	Central Grid Electrolysis (PEM)	0.00E+00
WECC_AZ	2050	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NM	2050	Central Grid Electrolysis (PEM)	0.00E+00
WEC_LADW	2025	Central Grid Electrolysis (PEM)	6.25E+06
WECC_SCE	2025	Central Grid Electrolysis (PEM)	9.75E+06
WEC_LADW	2030	Central Grid Electrolysis (PEM)	1.70E+08
WECC_SCE	2030	Central Grid Electrolysis (PEM)	2.38E+08
WEC_LADW	2035	Central Grid Electrolysis (PEM)	5.22E+08
WECC_SCE	2035	Central Grid Electrolysis (PEM)	6.29E+08
WEC_LADW	2040	Central Grid Electrolysis (PEM)	1.08E+09
WECC_SCE	2040	Central Grid Electrolysis (PEM)	1.35E+09
WEC_LADW	2045	Central Grid Electrolysis (PEM)	1.72E+09
WECC_SCE	2045	Central Grid Electrolysis (PEM)	1.76E+09
WEC_LADW	2050	Central Grid Electrolysis (PEM)	2.04E+09
WECC_SCE	2050	Central Grid Electrolysis (PEM)	1.84E+09
WEC_CALN	2025	Central Grid Electrolysis (PEM)	1.37E+07
WECC_SF	2025	Central Grid Electrolysis (PEM)	1.36E+05
WEC_CALN	2030	Central Grid Electrolysis (PEM)	9.83E+08
WECC_SF	2030	Central Grid Electrolysis (PEM)	4.60E+06
WEC_CALN	2035	Central Grid Electrolysis (PEM)	1.72E+09
WECC_SF	2035	Central Grid Electrolysis (PEM)	3.35E+06
WEC_CALN	2040	Central Grid Electrolysis (PEM)	2.27E+09
WECC_SF	2040	Central Grid Electrolysis (PEM)	4.75E+06
WEC_CALN	2045	Central Grid Electrolysis (PEM)	3.38E+09
WECC_SF	2045	Central Grid Electrolysis (PEM)	3.48E+06
WEC_CALN	2050	Central Grid Electrolysis (PEM)	3.38E+09
WECC_SF	2050	Central Grid Electrolysis (PEM)	6.30E+06
WEC_SDGE	2025	Central Grid Electrolysis (PEM)	1.36E+06
WECC_IID	2025	Central Grid Electrolysis (PEM)	3.72E+06
WEC_SDGE	2030	Central Grid Electrolysis (PEM)	1.13E+07
WECC_IID	2030	Central Grid Electrolysis (PEM)	5.30E+07
WEC_SDGE	2035	Central Grid Electrolysis (PEM)	4.00E+07
WECC_IID	2035	Central Grid Electrolysis (PEM)	1.60E+08
WEC_SDGE	2040	Central Grid Electrolysis (PEM)	4.05E+07
WECC_IID	2040	Central Grid Electrolysis (PEM)	3.40E+08
WEC_SDGE	2045	Central Grid Electrolysis (PEM)	7.51E+07
WECC_IID	2045	Central Grid Electrolysis (PEM)	5.77E+08
WEC_SDGE	2050	Central Grid Electrolysis (PEM)	8.89E+07
WECC_IID	2050	Central Grid Electrolysis (PEM)	7.59E+08
WECC_CO	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_WY	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_CO	2030	Central Grid Electrolysis (PEM)	0.00E+00
WECC_WY	2030	Central Grid Electrolysis (PEM)	0.00E+00
WECC_CO	2035	Central Grid Electrolysis (PEM)	0.00E+00
WECC_WY	2035	Central Grid Electrolysis (PEM)	0.00E+00
WECC_CO	2040	Central Grid Electrolysis (PEM)	1.07E+07
WECC_WY	2040	Central Grid Electrolysis (PEM)	1.20E+07
WECC_CO	2045	Central Grid Electrolysis (PEM)	6.76E+07
WECC_WY	2045	Central Grid Electrolysis (PEM)	7.80E+07
WECC_CO	2050	Central Grid Electrolysis (PEM)	6.84E+07
WECC_WY	2050	Central Grid Electrolysis (PEM)	7.73E+07
WECC_SNV	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_AZ	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_UT	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_NNV	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_ID	2025	Central Grid Electrolysis (PEM)	0.00E+00
WECC_MT	2025	Central Grid Electrolysis (PEM)	0
WECC_SNV	2030	Central Grid Electrolysis (PEM)	0
WECC_AZ	2030	Central Grid Electrolysis (PEM)	0
WECC_UT	2030	Central Grid Electrolysis (PEM)	0
WECC_NNV	2030	Central Grid Electrolysis (PEM)	0
WECC_ID	2030	Central Grid Electrolysis (PEM)	0
WECC_MT	2030	Central Grid Electrolysis (PEM)	0
WECC_SNV	2035	Central Grid Electrolysis (PEM)	0
WECC_AZ	2035	Central Grid Electrolysis (PEM)	0
WECC_UT	2035	Central Grid Electrolysis (PEM)	0
WECC_NNV	2035	Central Grid Electrolysis (PEM)	0
WECC_ID	2035	Central Grid Electrolysis (PEM)	0
WECC_MT	2035	Central Grid Electrolysis (PEM)	0
WECC_SNV	2040	Central Grid Electrolysis (PEM)	13626845.22
WECC_AZ	2040	Central Grid Electrolysis (PEM)	2243907.741
WECC_UT	2040	Central Grid Electrolysis (PEM)	21657057.93
WECC_NNV	2040	Central Grid Electrolysis (PEM)	4703918.252
WECC_ID	2040	Central Grid Electrolysis (PEM)	5906349.793
WECC_MT	2040	Central Grid Electrolysis (PEM)	13123562
WECC_SNV	2045	Central Grid Electrolysis (PEM)	33732862.16
WECC_AZ	2045	Central Grid Electrolysis (PEM)	5758340.613
WECC_UT	2045	Central Grid Electrolysis (PEM)	53598908.15
WECC_NNV	2045	Central Grid Electrolysis (PEM)	11794756.81
WECC_ID	2045	Central Grid Electrolysis (PEM)	14989612.96
WECC_MT	2045	Central Grid Electrolysis (PEM)	32943962.95
WECC_SNV	2050	Central Grid Electrolysis (PEM)	23657360.44
WECC_AZ	2050	Central Grid Electrolysis (PEM)	6780705.643
WECC_UT	2050	Central Grid Electrolysis (PEM)	57967813.5
WECC_NNV	2050	Central Grid Electrolysis (PEM)	10190158.36
WECC_ID	2050	Central Grid Electrolysis (PEM)	16884202.23
WECC_MT	2050	Central Grid Electrolysis (PEM)	37338203.47
WECC_PNW	2025	Central Grid Electrolysis (PEM)	0
WECC_PNW	2030	Central Grid Electrolysis (PEM)	135858715.9
WECC_PNW	2035	Central Grid Electrolysis (PEM)	432518822.7
WECC_PNW	2040	Central Grid Electrolysis (PEM)	869250547
WECC_PNW	2045	Central Grid Electrolysis (PEM)	1776254150
WECC_PNW	2050	Central Grid Electrolysis (PEM)	1776254150
