Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_WECC_AZ_Existing_or_Planned_Electrolysis	WECC_AZ	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Existing_or_Planned_Electrolysis	WEC_CALN	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_ID_Existing_or_Planned_Electrolysis	WECC_ID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NM_Existing_or_Planned_Electrolysis	WECC_NM	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_MT_Existing_or_Planned_Electrolysis	WECC_MT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_WY_Existing_or_Planned_Electrolysis	WECC_WY	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Existing_or_Planned_Electrolysis	WECC_NNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SNV_Existing_or_Planned_Electrolysis	WECC_SNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_PNW_Existing_or_Planned_Electrolysis	WECC_PNW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SCE_Existing_or_Planned_Electrolysis	WECC_SCE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_Existing_or_Planned_Electrolysis	WECC_IID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_Existing_or_Planned_Electrolysis	WEC_LADW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SF_Existing_or_Planned_Electrolysis	WECC_SF	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_SDGE_Existing_or_Planned_Electrolysis	WEC_SDGE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_UT_Existing_or_Planned_Electrolysis	WECC_UT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_CO_Existing_or_Planned_Electrolysis	WECC_CO	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_TAZ_5634_link_86_GH2truck_3_2026	link_86	GH2 Truck Link	No	2026	30	240743.22490000003	1.0	10.0	2044.540666902147	167.84880686590267	0.0	No Storage	0.0
INFR_TAZ_5634_LH2_Truck_4_2026	TAZ_5634	LH2 Station (gas dispensing)	No	2026	20	638750.0	1.0	0.0	2.624885420878564e6	406217.2091742338	0.0	No Storage	0.0
INFR_TAZ_5634_link_201_LH2_Truck_3_2026	link_201	LH2 Truck Link	No	2026	30	5.136505832760001e6	1.0	16.0	64220.26838436171	6420.047698205102	0.0	No Storage	0.0
INFR_TAZ_1624_link_798_GH2truck_3_2026	link_798	GH2 Truck Link	No	2026	30	577640.989424	1.0	6.0	2943.411165745236	241.64256563049278	0.0	No Storage	0.0
INFR_TAZ_1624_Pipeline_linepack_3_2026	TAZ_1624	GH2 Pipeline Station (700bar)	No	2026	20	44211.65207	1.0	0.0	957834.251501584	108067.3687802305	0.0	No Storage	0.0
INFR_TAZ_6005_LH2_Truck_4_2026	TAZ_6005	LH2 Station (gas dispensing)	No	2026	20	547500.0	1.0	0.0	2.302512241e6	356327.97119025246	0.0	No Storage	0.0
INFR_TAZ_2313_GH2truck_4_2026	TAZ_2313	GH2 Truck Station (700bar)	No	2026	20	547500.0	1.0	0.0	3.707540178e6	435091.63728114637	0.0	No Storage	0.0
INFR_TAZ_2313_link_416_GH2truck_3_2026	link_416	GH2 Truck Link	No	2026	30	125801.193285	1.0	26.0	2777.7924171256686	228.04591294442088	0.0	No Storage	0.0
INFR_TAZ_2313_link_848_GH2truck_3_2026	link_848	GH2 Truck Link	No	2026	30	7655.122754999931	1.0	81.0	526.5975783648124	43.23160534680516	0.0	No Storage	0.0
INFR_TAZ_2313_link_422_Pipeline_linepack_2_2026	link_422	Linepack pipeline (transmission)	No	2026	50	545733.3861598033	1.0	59.0	1.2446583210061833e7	412432.9186422465	0.0	Linepack	394.8661598032143
INFR_TAZ_6108_link_172_GH2truck_3_2026	link_172	GH2 Truck Link	No	2026	30	173275.5411	1.0	19.0	2795.970237420402	229.53824102440808	0.0	No Storage	0.0
INFR_TAZ_6108_link_174_GH2truck_3_2026	link_174	GH2 Truck Link	No	2026	30	547500.0	1.0	26.0	12089.244216713183	992.4797537827301	0.0	No Storage	0.0
INFR_TAZ_6108_link_174_Pipeline_linepack_2_2026	link_174	Linepack pipeline (transmission)	No	2026	50	446940.74970000004	1.0	26.0	4.1806082093634396e6	138529.62024900437	0.0	Linepack	130.43282672358447
INFR_TAZ_2312_GH2truck_4_2026	TAZ_2312	GH2 Truck Station (700bar)	No	2026	20	73000.0	1.0	0.0	2.399715921755378e6	283738.23508265207	0.0	No Storage	0.0
INFR_TAZ_2312_link_1039_GH2truck_3_2026	link_1039	GH2 Truck Link	No	2026	30	23481.915635000056	1.0	58.0	1156.653287087512	94.95671929545193	0.0	No Storage	0.0
INFR_TAZ_2312_link_886_GH2truck_3_2026	link_886	GH2 Truck Link	No	2026	30	29319.277649999945	1.0	44.0	1095.588896509496	89.94357122437764	0.0	No Storage	0.0
INFR_TAZ_165_GH2truck_4_2026	TAZ_165	GH2 Truck Station (700bar)	No	2026	20	547500.0	1.0	0.0	3.707540178e6	435091.63728114637	0.0	No Storage	0.0
INFR_TAZ_165_Pipeline_linepack_3_2026	TAZ_165	GH2 Pipeline Station (700bar)	No	2026	20	182500.0	1.0	0.0	2.203270831e6	238546.2600921636	0.0	No Storage	0.0
INFR_TAZ_3009_link_1330_GH2truck_3_2026	link_1330	GH2 Truck Link	No	2026	30	2.208934259678163e6	1.0	20.0	37519.277448421286	3080.1862032562285	0.0	No Storage	0.0
INFR_TAZ_3009_link_1329_LH2_Truck_3_2026	link_1329	LH2 Truck Link	No	2026	30	545746.6659	1.0	49.0	1.0168018991845595e6	84417.95932802817	0.0	No Storage	0.0
INFR_TAZ_5492_link_159_GH2truck_3_2026	link_159	GH2 Truck Link	No	2026	30	760920.6	1.0	1.0	951.1894258381275	80.82076681426142	0.0	No Storage	0.0
INFR_TAZ_5492_link_159_LH2_Truck_3_2026	link_159	LH2 Truck Link	No	2026	30	5.136505832760001e6	1.0	1.0	4013.766774022607	401.2529811378189	0.0	No Storage	0.0
INFR_TAZ_2940_link_607_GH2truck_3_2026	link_607	GH2 Truck Link	No	2026	30	38131.903201	1.0	12.0	388.60770515907785	31.903175469079347	0.0	No Storage	0.0
INFR_TAZ_5541_GH2truck_4_2026	TAZ_5541	GH2 Truck Station (700bar)	No	2026	20	240743.22490000003	1.0	0.0	2.7922743095398284e6	326880.78640809015	0.0	No Storage	0.0
