Network ID	Zone	Fraction
TAZ_6424	No Salt Cavern Available	1
WEC_SDGE	No Salt Cavern Available	1
WECC_IID	No Salt Cavern Available	1
Cavern_18	 Salt Cavern Available	1
TAZ_4619	No Salt Cavern Available	1
WEC_LADW	No Salt Cavern Available	1
Cavern_5	 Salt Cavern Available	1
WECC_AZ	No Salt Cavern Available	1
WECC_SCE	No Salt Cavern Available	1
Cavern_16	 Salt Cavern Available	1
Cavern_17	 Salt Cavern Available	1
Cavern_19	No Salt Cavern Available	1
WECC_NM	No Salt Cavern Available	1
TAZ_2947	No Salt Cavern Available	1
Cavern_23	 Salt Cavern Available	1
Cavern_22	 Salt Cavern Available	1
WECC_SNV	No Salt Cavern Available	1
Cavern_21	 Salt Cavern Available	1
Cavern_20	 Salt Cavern Available	1
TAZ_2312	No Salt Cavern Available	1
Cavern_12	 Salt Cavern Available	1
Cavern_14	 Salt Cavern Available	1
WECC_SF	No Salt Cavern Available	1
TAZ_1408	No Salt Cavern Available	1
Cavern_13	 Salt Cavern Available	1
TAZ_531	No Salt Cavern Available	1
Cavern_15	 Salt Cavern Available	1
Cavern_24	 Salt Cavern Available	1
Cavern_4	 Salt Cavern Available	1
WECC_UT	No Salt Cavern Available	1
Cavern_7	 Salt Cavern Available	1
WECC_NNV	No Salt Cavern Available	1
WECC_CO	No Salt Cavern Available	1
WEC_CALN	No Salt Cavern Available	1
Cavern_8	 Salt Cavern Available	1
Cavern_2	 Salt Cavern Available	1
Cavern_6	 Salt Cavern Available	1
Cavern_10	 Salt Cavern Available	1
Cavern_9	 Salt Cavern Available	1
Cavern_11	 Salt Cavern Available	1
Cavern_3	 Salt Cavern Available	1
WECC_WY	No Salt Cavern Available	1
WECC_ID	No Salt Cavern Available	1
WECC_PNW	No Salt Cavern Available	1
Cavern_1	 Salt Cavern Available	1
Cavern_0	 Salt Cavern Available	1
WECC_MT	No Salt Cavern Available	1
link_1	No Salt Cavern Available	1
link_2	No Salt Cavern Available	1
link_3	No Salt Cavern Available	1
link_4	No Salt Cavern Available	1
link_6	No Salt Cavern Available	1
link_7	No Salt Cavern Available	1
link_8	No Salt Cavern Available	1
link_9	No Salt Cavern Available	1
link_11	No Salt Cavern Available	1
link_12	No Salt Cavern Available	1
link_13	No Salt Cavern Available	1
link_14	No Salt Cavern Available	1
link_15	No Salt Cavern Available	1
link_16	No Salt Cavern Available	1
link_17	No Salt Cavern Available	1
link_18	No Salt Cavern Available	1
link_19	No Salt Cavern Available	1
link_20	No Salt Cavern Available	1
link_21	No Salt Cavern Available	1
link_22	No Salt Cavern Available	1
link_23	No Salt Cavern Available	1
link_24	No Salt Cavern Available	1
link_25	No Salt Cavern Available	1
link_26	No Salt Cavern Available	1
link_27	No Salt Cavern Available	1
link_28	No Salt Cavern Available	1
link_29	No Salt Cavern Available	1
link_30	No Salt Cavern Available	1
link_31	No Salt Cavern Available	1
link_32	No Salt Cavern Available	1
link_33	No Salt Cavern Available	1
link_34	No Salt Cavern Available	1
link_35	No Salt Cavern Available	1
link_36	No Salt Cavern Available	1
link_37	No Salt Cavern Available	1
link_38	No Salt Cavern Available	1
link_39	No Salt Cavern Available	1
link_40	No Salt Cavern Available	1
link_41	No Salt Cavern Available	1
link_42	No Salt Cavern Available	1
link_43	No Salt Cavern Available	1
link_44	No Salt Cavern Available	1
link_45	No Salt Cavern Available	1
link_46	No Salt Cavern Available	1
link_47	No Salt Cavern Available	1
link_48	No Salt Cavern Available	1
link_49	No Salt Cavern Available	1
link_50	No Salt Cavern Available	1
link_51	No Salt Cavern Available	1
link_52	No Salt Cavern Available	1
link_53	No Salt Cavern Available	1
link_54	No Salt Cavern Available	1
link_55	No Salt Cavern Available	1
link_56	No Salt Cavern Available	1
link_57	No Salt Cavern Available	1
link_58	No Salt Cavern Available	1
link_59	No Salt Cavern Available	1
link_60	No Salt Cavern Available	1
link_61	No Salt Cavern Available	1
link_62	No Salt Cavern Available	1
link_63	No Salt Cavern Available	1
link_64	No Salt Cavern Available	1
link_65	No Salt Cavern Available	1
link_66	No Salt Cavern Available	1
link_67	No Salt Cavern Available	1
link_68	No Salt Cavern Available	1
link_69	No Salt Cavern Available	1
link_70	No Salt Cavern Available	1
link_71	No Salt Cavern Available	1
link_72	No Salt Cavern Available	1
link_73	No Salt Cavern Available	1
link_74	No Salt Cavern Available	1
link_75	No Salt Cavern Available	1
link_76	No Salt Cavern Available	1
link_77	No Salt Cavern Available	1
link_78	No Salt Cavern Available	1
link_79	No Salt Cavern Available	1
