Network ID	Year	Period	Fueling-Station Demand [kg]	Ammonia [kg]	Biofuels [kg]	Methanol [kg]	FT Fuels [kg]	Metals [kg]	Natural Gas Blending [kg]	Seasonal Grid Storage [kg]	Other [kg]
TAZ_880	2025	1 Year	0	0	0	0	0	0	0	652873.1242	0
TAZ_1320	2025	1 Year	0	0	0	0	0	0	0	849495.4794	0
TAZ_137	2026	1 Year	0	0	0	0	0	0	0	29292.36289	0
TAZ_156	2026	1 Year	0	0	0	0	0	0	0	2546.056843	0
TAZ_209	2026	1 Year	0	0	0	0	0	0	0	5990.498917	0
TAZ_228	2026	1 Year	0	0	0	0	0	0	0	80544.63665	0
TAZ_230	2026	1 Year	0	0	0	0	0	0	0	80544.63665	0
TAZ_314	2026	1 Year	0	0	0	0	0	0	0	3182.830733	0
TAZ_320	2026	1 Year	0	0	0	0	0	0	0	63886.95382	0
TAZ_329	2026	1 Year	0	0	0	0	0	0	0	51990.62117	0
TAZ_337	2026	1 Year	0	0	0	0	0	0	0	4139.303378	0
TAZ_425	2026	1 Year	0	0	0	0	0	0	0	2984.003407	0
TAZ_507	2026	1 Year	0	0	0	0	0	0	0	30989.60807	0
TAZ_522	2026	1 Year	0	0	0	0	0	0	0	5588.121603	0
TAZ_601	2026	1 Year	0	0	0	0	0	0	0	19345	0
TAZ_643	2026	1 Year	0	0	0	0	0	0	0	41816.4156	0
TAZ_712	2026	1 Year	0	0	0	0	0	0	0	10397.34547	0
TAZ_715	2026	1 Year	0	0	0	0	0	0	0	55445.64868	0
TAZ_719	2026	1 Year	0	0	0	0	0	0	0	3092.685442	0
TAZ_817	2026	1 Year	0	0	0	0	0	0	0	4678.2269	0
TAZ_837	2026	1 Year	0	0	0	0	0	0	0	6044.279112	0
TAZ_847	2026	1 Year	0	0	0	0	0	0	0	7077.083039	0
TAZ_857	2026	1 Year	0	0	0	0	0	0	0	3705.808646	0
TAZ_864	2026	1 Year	0	0	0	0	0	0	0	7443.626624	0
TAZ_877	2026	1 Year	0	0	0	0	0	0	0	303108.9517	0
TAZ_880	2026	1 Year	0	0	0	0	0	0	0	2075572.021	0
TAZ_909	2026	1 Year	0	0	0	0	0	0	0	3142.097098	0
TAZ_921	2026	1 Year	0	0	0	0	0	0	0	508702.4587	0
TAZ_983	2026	1 Year	0	0	0	0	0	0	0	14044.42138	0
TAZ_1023	2026	1 Year	0	0	0	0	0	0	0	105135.5275	0
TAZ_1179	2026	1 Year	0	0	0	0	0	0	0	6349.613219	0
TAZ_1210	2026	1 Year	0	0	0	0	0	0	0	83260.15	0
TAZ_1237	2026	1 Year	0	0	0	0	0	0	0	10140.07434	0
TAZ_1320	2026	1 Year	0	0	0	0	0	0	0	2700661.098	0
TAZ_1353	2026	1 Year	0	0	0	0	0	0	0	42646.38655	0
TAZ_1357	2026	1 Year	0	0	0	0	0	0	0	6806.115872	0
TAZ_1360	2026	1 Year	0	0	0	0	0	0	0	42646.38655	0
TAZ_1365	2026	1 Year	0	0	0	0	0	0	0	3795.428994	0
TAZ_1374	2026	1 Year	0	0	0	0	0	0	0	4994.59138	0
TAZ_1380	2026	1 Year	0	0	0	0	0	0	0	11543.37707	0
TAZ_1403	2026	1 Year	0	0	0	0	0	0	0	337246.4299	0
TAZ_1408	2026	1 Year	0	0	0	0	0	0	0	26013.19924	0
TAZ_1415	2026	1 Year	0	0	0	0	0	0	0	3922.293577	0
TAZ_1424	2026	1 Year	0	0	0	0	0	0	0	5372.58757	0
TAZ_1435	2026	1 Year	0	0	0	0	0	0	0	47910.68395	0
TAZ_1507	2026	1 Year	0	0	0	0	0	0	0	482149.4536	0
TAZ_1626	2026	1 Year	0	0	0	0	0	0	0	13607.62712	0
TAZ_1648	2026	1 Year	0	0	0	0	0	0	0	4275.273616	0
TAZ_1650	2026	1 Year	0	0	0	0	0	0	0	9619.864591	0
TAZ_1677	2026	1 Year	0	0	0	0	0	0	0	4285.235999	0
TAZ_1681	2026	1 Year	0	0	0	0	0	0	0	4715.123363	0
TAZ_1687	2026	1 Year	0	0	0	0	0	0	0	5192.356045	0
TAZ_1725	2026	1 Year	0	0	0	0	0	0	0	59801.54919	0
TAZ_1731	2026	1 Year	0	0	0	0	0	0	0	7181.000364	0
TAZ_1759	2026	1 Year	0	0	0	0	0	0	0	187065.3687	0
TAZ_1796	2026	1 Year	0	0	0	0	0	0	0	57551.76132	0
TAZ_1839	2026	1 Year	0	0	0	0	0	0	0	59815.84756	0
TAZ_1937	2026	1 Year	0	0	0	0	0	0	0	3513.717614	0
TAZ_2018	2026	1 Year	0	0	0	0	0	0	0	18938.41847	0
TAZ_2020	2026	1 Year	0	0	0	0	0	0	0	35471.63338	0
TAZ_2023	2026	1 Year	0	0	0	0	0	0	0	94427.34595	0
TAZ_2029	2026	1 Year	0	0	0	0	0	0	0	18938.41847	0
TAZ_2103	2026	1 Year	0	0	0	0	0	0	0	4929.240466	0
TAZ_2107	2026	1 Year	0	0	0	0	0	0	0	16530.8438	0
TAZ_2108	2026	1 Year	0	0	0	0	0	0	0	5490.183781	0
TAZ_2149	2026	1 Year	0	0	0	0	0	0	0	14446.62277	0
TAZ_2200	2026	1 Year	0	0	0	0	0	0	0	12896.85496	0
TAZ_2211	2026	1 Year	0	0	0	0	0	0	0	189218.8591	0
TAZ_2227	2026	1 Year	0	0	0	0	0	0	0	91042.58992	0
TAZ_2234	2026	1 Year	0	0	0	0	0	0	0	46527.0967	0
TAZ_2308	2026	1 Year	0	0	0	0	0	0	0	518.431838	0
TAZ_2311	2026	1 Year	0	0	0	0	0	0	0	190409.2182	0
TAZ_2312	2026	1 Year	0	0	0	0	0	0	0	137559.567	0
TAZ_2332	2026	1 Year	0	0	0	0	0	0	0	5096.602529	0
TAZ_2429	2026	1 Year	0	0	0	0	0	0	0	7091.428342	0
TAZ_2473	2026	1 Year	0	0	0	0	0	0	0	34900.24165	0
TAZ_2478	2026	1 Year	0	0	0	0	0	0	0	41914.46482	0
TAZ_2479	2026	1 Year	0	0	0	0	0	0	0	6085.020193	0
TAZ_2506	2026	1 Year	0	0	0	0	0	0	0	1669.024331	0
TAZ_2518	2026	1 Year	0	0	0	0	0	0	0	110846.8865	0
TAZ_2522	2026	1 Year	0	0	0	0	0	0	0	34809.75771	0
TAZ_2525	2026	1 Year	0	0	0	0	0	0	0	68116.08231	0
TAZ_2530	2026	1 Year	0	0	0	0	0	0	0	66038.78891	0
TAZ_2532	2026	1 Year	0	0	0	0	0	0	0	67707.81324	0
TAZ_2557	2026	1 Year	0	0	0	0	0	0	0	75328.94572	0
TAZ_2602	2026	1 Year	0	0	0	0	0	0	0	55074.41937	0
TAZ_2603	2026	1 Year	0	0	0	0	0	0	0	37319.69561	0
TAZ_2605	2026	1 Year	0	0	0	0	0	0	0	61901.54435	0
TAZ_2731	2026	1 Year	0	0	0	0	0	0	0	3696.900821	0
TAZ_2736	2026	1 Year	0	0	0	0	0	0	0	180.333725	0
TAZ_2737	2026	1 Year	0	0	0	0	0	0	0	180.333725	0
TAZ_2739	2026	1 Year	0	0	0	0	0	0	0	30889.42674	0
TAZ_2743	2026	1 Year	0	0	0	0	0	0	0	108918.2874	0
TAZ_2744	2026	1 Year	0	0	0	0	0	0	0	26297.53088	0
TAZ_2748	2026	1 Year	0	0	0	0	0	0	0	93885.09378	0
TAZ_2783	2026	1 Year	0	0	0	0	0	0	0	70598.74245	0
TAZ_2838	2026	1 Year	0	0	0	0	0	0	0	78.366303	0
TAZ_2872	2026	1 Year	0	0	0	0	0	0	0	59519.43434	0
TAZ_2900	2026	1 Year	0	0	0	0	0	0	0	9237.744923	0
TAZ_2904	2026	1 Year	0	0	0	0	0	0	0	432435.4208	0
TAZ_2912	2026	1 Year	0	0	0	0	0	0	0	301.897851	0
TAZ_2914	2026	1 Year	0	0	0	0	0	0	0	295586.9481	0
TAZ_2915	2026	1 Year	0	0	0	0	0	0	0	269069.1836	0
TAZ_2916	2026	1 Year	0	0	0	0	0	0	0	97249.5826	0
TAZ_2917	2026	1 Year	0	0	0	0	0	0	0	3036.012622	0
TAZ_2918	2026	1 Year	0	0	0	0	0	0	0	36289.45931	0
TAZ_2931	2026	1 Year	0	0	0	0	0	0	0	301.897851	0
TAZ_2940	2026	1 Year	0	0	0	0	0	0	0	58068.50707	0
TAZ_2944	2026	1 Year	0	0	0	0	0	0	0	419070.5635	0
TAZ_2946	2026	1 Year	0	0	0	0	0	0	0	115621.2472	0
TAZ_2947	2026	1 Year	0	0	0	0	0	0	0	1336562.036	0
TAZ_3013	2026	1 Year	0	0	0	0	0	0	0	159.350021	0
TAZ_3121	2026	1 Year	0	0	0	0	0	0	0	3716.559283	0
TAZ_3131	2026	1 Year	0	0	0	0	0	0	0	3104.610357	0
TAZ_3202	2026	1 Year	0	0	0	0	0	0	0	9990.219725	0
TAZ_3252	2026	1 Year	0	0	0	0	0	0	0	151575.8325	0
TAZ_3301	2026	1 Year	0	0	0	0	0	0	0	76580.53999	0
TAZ_3322	2026	1 Year	0	0	0	0	0	0	0	72773.23112	0
TAZ_3361	2026	1 Year	0	0	0	0	0	0	0	119940.4166	0
TAZ_3383	2026	1 Year	0	0	0	0	0	0	0	53891.98508	0
TAZ_3400	2026	1 Year	0	0	0	0	0	0	0	84066.23483	0
TAZ_3414	2026	1 Year	0	0	0	0	0	0	0	478854.6815	0
TAZ_3519	2026	1 Year	0	0	0	0	0	0	0	48067.75228	0
TAZ_3601	2026	1 Year	0	0	0	0	0	0	0	15218.37621	0
TAZ_3602	2026	1 Year	0	0	0	0	0	0	0	30382.32289	0
TAZ_3645	2026	1 Year	0	0	0	0	0	0	0	39079.33032	0
TAZ_3695	2026	1 Year	0	0	0	0	0	0	0	10243.38416	0
TAZ_3699	2026	1 Year	0	0	0	0	0	0	0	13499.53544	0
TAZ_3729	2026	1 Year	0	0	0	0	0	0	0	43829.73786	0
TAZ_3919	2026	1 Year	0	0	0	0	0	0	0	19790.75472	0
TAZ_4352	2026	1 Year	0	0	0	0	0	0	0	8957.83	0
TAZ_4358	2026	1 Year	0	0	0	0	0	0	0	6336.557607	0
TAZ_4361	2026	1 Year	0	0	0	0	0	0	0	273997.4491	0
TAZ_4413	2026	1 Year	0	0	0	0	0	0	0	5494.670361	0
TAZ_4422	2026	1 Year	0	0	0	0	0	0	0	135059.1871	0
TAZ_4569	2026	1 Year	0	0	0	0	0	0	0	906790.314	0
TAZ_4619	2026	1 Year	0	0	0	0	0	0	0	2876409.454	0
TAZ_4700	2026	1 Year	0	0	0	0	0	0	0	1020589.03	0
TAZ_4730	2026	1 Year	0	0	0	0	0	0	0	31944.07402	0
TAZ_4731	2026	1 Year	0	0	0	0	0	0	0	292212.7231	0
TAZ_4737	2026	1 Year	0	0	0	0	0	0	0	56315.56822	0
TAZ_4766	2026	1 Year	0	0	0	0	0	0	0	30514.38245	0
TAZ_5011	2026	1 Year	0	0	0	0	0	0	0	52688.2383	0
TAZ_5101	2026	1 Year	0	0	0	0	0	0	0	159.350021	0
TAZ_5139	2026	1 Year	0	0	0	0	0	0	0	1169.231291	0
TAZ_5144	2026	1 Year	0	0	0	0	0	0	0	547.651256	0
TAZ_5158	2026	1 Year	0	0	0	0	0	0	0	371.359687	0
TAZ_5160	2026	1 Year	0	0	0	0	0	0	0	16163.73862	0
TAZ_5439	2026	1 Year	0	0	0	0	0	0	0	419477.9608	0
TAZ_5460	2026	1 Year	0	0	0	0	0	0	0	48295.74719	0
TAZ_5481	2026	1 Year	0	0	0	0	0	0	0	18595.66573	0
