Material	Technology	Year	Nameplate Capacity [kg/yr]	Production [unit/kg]	Production [unit/km/kg]	Storage [kg]
VOC [tonne]	Central Coal Gasification (no CCS)	2025	80968023	0.0001408483	0	0
CO [tonne]	Central Coal Gasification (no CCS)	2025	80968023	0.0002590996	0	0
SOx [tonne]	Central Coal Gasification (no CCS)	2025	80968023	0.0006531681	0	0
CH4 [tonne]	Central Coal Gasification (no CCS)	2025	80968023	1.99386012e-05	0	0
GHG-100 [tonne]	Central Coal Gasification (no CCS)	2025	80968023	38.1368379	0	0
Byproduct Electricity (Industrial) [kWh]	Central Coal Gasification (no CCS)	2025	80968023	15	0	0
CO2 Total [tonne]	Central Coal Gasification w/CCS	2005	101070581	0.0037020073	0	0
CO2 [tonne]	Central Coal Gasification w/CCS	2005	101070581	0.0036985634	0	0
VOC [tonne]	Central Coal Gasification w/CCS	2005	101070581	5.6663817e-07	0	0
CO [tonne]	Central Coal Gasification w/CCS	2005	101070581	1.04236742e-06	0	0
SOx [tonne]	Central Coal Gasification w/CCS	2005	101070581	2.62772024e-06	0	0
CH4 [tonne]	Central Coal Gasification w/CCS	2005	101070581	8.021375e-08	0	0
GHG-100 [tonne]	Central Coal Gasification w/CCS	2005	101070581	0.0037044138	0	0
CO2 Total [tonne]	Central Coal Gasification w/CCS	2025	80968023	0.0046232442	0	0
CO2 [tonne]	Central Coal Gasification w/CCS	2025	80968023	0.0046189432	0	0
VOC [tonne]	Central Coal Gasification w/CCS	2025	80968023	7.076449e-07	0	0
CO [tonne]	Central Coal Gasification w/CCS	2025	80968023	1.30175839e-06	0	0
SOx [tonne]	Central Coal Gasification w/CCS	2025	80968023	3.28162297e-06	0	0
CH4 [tonne]	Central Coal Gasification w/CCS	2025	80968023	1.0017478e-07	0	0
GHG-100 [tonne]	Central Coal Gasification w/CCS	2025	80968023	0.0046262494	0	0
Byproduct Electricity (Commercial) [kWh]	Central Coal Gasification w/CCS	2025	80968023	12.607	0	0
Byproduct Electricity (Industrial) [kWh]	Central Coal Gasification w/CCS	2025	80968023	2.146	0	0
CO2 Total [tonne]	Central Biomass Gasification	2005	50994962.9	0.0141338391	0	0
CO2 [tonne]	Central Biomass Gasification	2005	50994962.9	0.0141235218	0	0
VOC [tonne]	Central Biomass Gasification	2005	50994962.9	6.0427124e-07	0	0
CO [tonne]	Central Biomass Gasification	2005	50994962.9	5.28380484e-06	0	0
NOx [tonne]	Central Biomass Gasification	2005	50994962.9	8.65963513e-06	0	0
PM10 [tonne]	Central Biomass Gasification	2005	50994962.9	8.3432254e-07	0	0
PM2.5 [tonne]	Central Biomass Gasification	2005	50994962.9	8.3432254e-07	0	0
SOx [tonne]	Central Biomass Gasification	2005	50994962.9	6.389232e-08	0	0
CH4 [tonne]	Central Biomass Gasification	2005	50994962.9	2.5217619e-07	0	0
N2O [tonne]	Central Biomass Gasification	2005	50994962.9	1.7842655e-07	0	0
BC [tonne]	Central Biomass Gasification	2005	50994962.9	1.3766324e-07	0	0
POC [tonne]	Central Biomass Gasification	2005	50994962.9	3.570901e-07	0	0
GHG-100 [tonne]	Central Biomass Gasification	2005	50994962.9	0.0141886874	0	0
CO2 Total [tonne]	Central Biomass Gasification	2025	50838024.2	0.0141338391	0	0
CO2 [tonne]	Central Biomass Gasification	2025	50838024.2	0.0141235218	0	0
VOC [tonne]	Central Biomass Gasification	2025	50838024.2	6.0427124e-07	0	0
CO [tonne]	Central Biomass Gasification	2025	50838024.2	5.28380484e-06	0	0
NOx [tonne]	Central Biomass Gasification	2025	50838024.2	8.65963513e-06	0	0
PM10 [tonne]	Central Biomass Gasification	2025	50838024.2	8.3432254e-07	0	0
PM2.5 [tonne]	Central Biomass Gasification	2025	50838024.2	8.3432254e-07	0	0
SOx [tonne]	Central Biomass Gasification	2025	50838024.2	6.389232e-08	0	0
CH4 [tonne]	Central Biomass Gasification	2025	50838024.2	2.5217619e-07	0	0
N2O [tonne]	Central Biomass Gasification	2025	50838024.2	1.7842655e-07	0	0
BC [tonne]	Central Biomass Gasification	2025	50838024.2	1.3766324e-07	0	0
POC [tonne]	Central Biomass Gasification	2025	50838024.2	3.570901e-07	0	0
GHG-100 [tonne]	Central Biomass Gasification	2025	50838024.2	0.0141886874	0	0
CO2 Total [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	0.0003285044	0	0
CO2 [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	0.0003264081	0	0
VOC [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	1.2278021e-07	0	0
CO [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	1.07360178e-06	0	0
NOx [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	1.75952746e-06	0	0
PM10 [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	1.695237e-07	0	0
PM2.5 [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	1.695237e-07	0	0
SOx [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	1.47661e-09	0	0
CH4 [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	5.123899e-08	0	0
N2O [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	3.6254e-08	0	0
BC [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	3.18153e-09	0	0
POC [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	8.25269e-09	0	0
GHG-100 [tonne]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	0.0003432743	0	0
CO2 Total [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	0.0002640918	0	0
CO2 [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	0.0002624065	0	0
VOC [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	9.870566e-08	0	0
CO [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	8.6309163e-07	0	0
NOx [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	1.41452207e-06	0	0
PM10 [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	1.3628376e-07	0	0
PM2.5 [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	1.3628376e-07	0	0
SOx [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	1.18708e-09	0	0
CH4 [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	4.119213e-08	0	0
N2O [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	2.914537e-08	0	0
BC [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	2.5577e-09	0	0
POC [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	6.63452e-09	0	0
GHG-100 [tonne]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	0.0002730511	0	0
CO2 Total [tonne]	Onsite Natural Gas Reforming	2010	470668.686	0.0092563184	0	0
CO2 [tonne]	Onsite Natural Gas Reforming	2010	470668.686	0.0092563184	0	0
GHG-100 [tonne]	Onsite Natural Gas Reforming	2010	470668.686	0.0092563184	0	0
CO2 Total [tonne]	Onsite Natural Gas Reforming	2020	470674.278	0.0086623302	0	0
CO2 [tonne]	Onsite Natural Gas Reforming	2020	470674.278	0.0086623302	0	0
GHG-100 [tonne]	Onsite Natural Gas Reforming	2020	470674.278	0.0086623302	0	0
CO2 Total [tonne]	GH2 Truck Link	2015	0	0	3.24319948e-06	0
CO2 [tonne]	GH2 Truck Link	2015	0	0	3.2364999e-06	0
VOC [tonne]	GH2 Truck Link	2015	0	0	6.9385e-10	0
CO [tonne]	GH2 Truck Link	2015	0	0	2.83516e-09	0
NOx [tonne]	GH2 Truck Link	2015	0	0	7.85751e-09	0
PM10 [tonne]	GH2 Truck Link	2015	0	0	5.87e-11	0
PM2.5 [tonne]	GH2 Truck Link	2015	0	0	5.7e-11	0
SOx [tonne]	GH2 Truck Link	2015	0	0	2.26e-11	0
CH4 [tonne]	GH2 Truck Link	2015	0	0	7.9385e-10	0
