Technology	Year	Nameplate Capacity [kg/yr]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Maximum Utilization [kg/kg]	Storage [kg]
GH2 1000bar Pipeline Compressor	2005	10000	No	20	0.6	150152.7359	0	7178.617717	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	11000	No	20	0.6	150735.7568	0	7257.217047	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	12100	No	20	0.6	151366.3215	0	7339.847265	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	13310	No	20	0.6	152048.307	0	7426.779721	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	14641	No	20	0.6	152785.9065	0	7518.306509	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	16105.1	No	20	0.6	153583.6552	0	7614.742126	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	17715.61	No	20	0.6	154446.458	0	7716.425264	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	19487.171	No	20	0.6	155379.6201	0	7823.72075	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	21435.8881	No	20	0.6	156388.8789	0	7937.02164	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	23579.47691	No	20	0.6	157480.4399	0	8056.751484	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	25937.4246	No	20	0.6	158661.0147	0	8183.366774	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	28531.16706	No	20	0.6	159937.8621	0	8317.359598	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	31384.28377	No	20	0.6	161318.8329	0	8459.260494	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	34522.71214	No	20	0.6	162812.418	0	8609.641553	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	37974.98336	No	20	0.6	164427.8007	0	8769.119761	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	41772.48169	No	20	0.6	166174.9135	0	8938.360622	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	45949.72986	No	20	0.6	168064.4984	0	9118.082069	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	50544.70285	No	20	0.6	170108.1737	0	9309.058692	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	55599.17313	No	20	0.6	172318.5051	0	9512.12632	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	61159.09045	No	20	0.6	174709.0828	0	9728.186962	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	67274.99949	No	20	0.6	177294.6054	0	9958.214158	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	74002.49944	No	20	0.6	180090.9703	0	10203.25876	0	0	0	1	0
GH2 1000bar Pipeline Compressor	2005	81402.74939	No	20	0.6	183115.3709	0	10464.45521	0	0	0	1	0
