Pathway	Stage	Technology	Yield [upstream/kg]	Extended?	Transmission?	Delivery?	Format
GH2 Pipeline and Truck w/ Storage and 700bar disp	1	GH2 Pipeline Compressor	1	False	True	False	GH2
GH2 Pipeline and Truck w/ Storage and 700bar disp	2	GH2 Pipeline Salt Cavern Storage	1	False	True	False	GH2
GH2 Pipeline and Truck w/ Storage and 700bar disp	3	GH2 Pipeline (transmission)	0.999	True	True	False	GH2
GH2 Pipeline and Truck w/ Storage and 700bar disp	4	GH2 Pipeline Truck Terminal	1	False	True	True	GH2
GH2 Pipeline and Truck w/ Storage and 700bar disp	5	GH2 Truck	1	False	True	True	GH2
GH2 Pipeline and Truck w/ Storage and 700bar disp	6	GH2 Truck Link	1	True	False	True	GH2
GH2 Pipeline and Truck w/ Storage and 700bar disp	7	GH2 Truck Station (700bar)	1	False	False	True	GH2
GH2 Pipeline and Truck w/out Storage and 700bar disp	1	GH2 Pipeline Compressor	1	False	True	False	GH2
GH2 Pipeline and Truck w/out Storage and 700bar disp	2	GH2 Pipeline (transmission)	0.999	True	True	False	GH2
GH2 Pipeline and Truck w/out Storage and 700bar disp	3	GH2 Pipeline Truck Terminal	1	False	True	True	GH2
GH2 Pipeline and Truck w/out Storage and 700bar disp	4	GH2 Truck	1	False	True	True	GH2
GH2 Pipeline and Truck w/out Storage and 700bar disp	5	GH2 Truck Link	1	True	False	True	GH2
GH2 Pipeline and Truck w/out Storage and 700bar disp	6	GH2 Truck Station (700bar)	1	False	False	True	GH2
GH2 Pipeline w/ Storage and 700bar disp	1	GH2 Pipeline Compressor	1	False	True	False	GH2
GH2 Pipeline w/ Storage and 700bar disp	2	GH2 Pipeline Salt Cavern Storage	1	False	True	False	GH2
GH2 Pipeline w/ Storage and 700bar disp	3	GH2 Pipeline (transmission)	0.999	True	True	False	GH2
GH2 Pipeline w/ Storage and 700bar disp	4	GH2 Pipeline (distribution)	0.9995	True	False	True	GH2
GH2 Pipeline w/ Storage and 700bar disp	5	GH2 Pipeline Station (700bar)	1	False	False	True	GH2
GH2 Pipeline w/out Storage and 700bar disp	1	GH2 Pipeline Compressor	1	False	True	False	GH2
GH2 Pipeline w/out Storage and 700bar disp	2	GH2 Pipeline (transmission)	0.999	True	True	False	GH2
GH2 Pipeline w/out Storage and 700bar disp	3	GH2 Pipeline (distribution)	0.9995	True	False	True	GH2
