Technology	Year	Nameplate Capacity [kg/yr]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Maximum Utilization [kg/kg]	Storage [kg]
Central Biomass Gasification	2005	7300365	Central	40	0.78	37975222.81	0	12917738.29	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	8942500	Central	40	0.78	44486633.58	0	14667202.05	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	10585000	Central	40	0.78	50739996.78	0	16338290.37	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	12227500	Central	40	0.78	56782557.13	0	17947653.69	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	13870000	Central	40	0.78	62648575.77	0	19506824.85	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	15512500	Central	40	0.78	68363354.13	0	21024053.37	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	17155000	Central	40	0.78	73946279.2	0	22505492.33	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	18797500	Central	40	0.78	79412640.31	0	23955882.79	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	20440000	Central	40	0.78	84774777.4	0	25378974.15	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	22082500	Central	40	0.78	90042840.99	0	26777795.38	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	23725000	Central	40	0.78	95225314.39	0	28154837.26	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	25367500	Central	40	0.78	100329383.7	0	29512179.05	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	27010000	Central	40	0.78	105361207.3	0	30851578.99	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	28652500	Central	40	0.78	110326116	0	32174540.56	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	30295000	Central	40	0.78	115228765.5	0	33482362.05	0	0.049164123	0	0.9	0
Central Biomass Gasification	2005	31937500	Central	40	0.78	120073253.4	0	34776174.28	0	0.049164123	0	0.9	0
