Material	Technology	Year	Nameplate Capacity [kg/yr]	Consumption [unit/kg]	Consumption [unit/km/kg]	Storage [kg]
Biomass [ton]	Central Biomass Gasification	2005	50994962.85	0.014935136	0	0
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	Central Biomass Gasification	2005	50994962.85	0.005686902	0	0
Electricity (Commercial) [kWh]	Central Biomass Gasification	2005	50994962.85	0.98	0	0
Water Total [gal]	Central Biomass Gasification	2005	50994962.85	3.450935152	0	0
Biomass [ton]	Central Biomass Gasification	2025	50838024.19	0.014399613	0	0
Natural Gas (Commercial) (Stationary Fuel) [MMBtu]	Central Biomass Gasification	2025	50838024.19	0.002843451	0	0
Electricity (Industrial) [kWh]	Central Biomass Gasification	2025	50838024.19	0.945	0	0
Water Total [gal]	Central Biomass Gasification	2025	50838024.19	3.450935152	0	0
Water Total [gal]	Central Coal Gasification (no CCS)	2005	93238155	7.563849295	0	0
Coal [MMBtu]	Central Coal Gasification (no CCS)	2005	93238155	0.223684809	0	0
Water Total [gal]	Central Coal Gasification (no CCS)	2025	80968023	7.388172794	0	0
Coal [MMBtu]	Central Coal Gasification (no CCS)	2025	80968023	0.256858404	0	0
Water Total [gal]	Central Coal Gasification w/CCS	2005	101070580.5	7.563849295	0	0
Coal [MMBtu]	Central Coal Gasification w/CCS	2005	101070580.5	0.205676286	0	0
Electricity (Industrial) [kWh]	Central Coal Gasification w/CCS	2005	101070580.5	1.72	0	0
Water Total [gal]	Central Coal Gasification w/CCS	2025	80968023	7.563849295	0	0
Coal [MMBtu]	Central Coal Gasification w/CCS	2025	80968023	0.256858404	0	0
Electricity (Industrial) [kWh]	Central Coal Gasification w/CCS	2025	80968023	2.15	0	0
Electricity (Industrial) [kWh]	Central Grid Electrolysis (PEM)	2010	17702500	54.3	0	0
Water Total [gal]	Central Grid Electrolysis (PEM)	2010	17702500	4.759996813	0	0
Electricity (Industrial) [kWh]	Central Grid Electrolysis (PEM)	2025	17702500	50.2	0	0
Water Total [gal]	Central Grid Electrolysis (PEM)	2025	17702500	3.979997336	0	0
Electricity (Industrial) [kWh]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	36.8	0	0
Natural Gas (Industrial) (Stationary Fuel) [MMBtu]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	0.048338666	0	0
Water Total [gal]	Central Grid Electrolysis (Solid Oxide)	2010	15045300	2.114498584	0	0
Electricity (Industrial) [kWh]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	35.1	0	0
Natural Gas (Industrial) (Stationary Fuel) [MMBtu]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	0.038860497	0	0
Water Total [gal]	Central Grid Electrolysis (Solid Oxide)	2025	15973312.5	2.114498584	0	0
Water Total [gal]	Central Natural Gas Reforming (no CCS)	2005	341448.3	4.85	0	0
Electricity (Industrial) [kWh]	Central Natural Gas Reforming (no CCS)	2005	341448.3	0.569	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Central Natural Gas Reforming (no CCS)	2005	341448.3	0.15625	0	0
Water Total [gal]	Central Natural Gas Reforming (no CCS)	2025	341448.3	4.85	0	0
Electricity (Industrial) [kWh]	Central Natural Gas Reforming (no CCS)	2025	341448.3	0.6	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Central Natural Gas Reforming (no CCS)	2025	341448.3	0.156	0	0
Water Total [gal]	Central Natural Gas Reforming w/CCS	2005	341448.3	1.592389326	0	0
Electricity (Industrial) [kWh]	Central Natural Gas Reforming w/CCS	2005	341448.3	1.405	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Central Natural Gas Reforming w/CCS	2005	341448.3	0.1558	0	0
Water Total [gal]	Central Natural Gas Reforming w/CCS	2025	341448.3	1.592389326	0	0
Electricity (Industrial) [kWh]	Central Natural Gas Reforming w/CCS	2025	341448.3	1.405	0	0
Natural Gas (Industrial) (Central H2 Production) [MMBtu]	Central Natural Gas Reforming w/CCS	2025	341448.3	0.1558	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	365000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	730000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	1095000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	1460000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	1825000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	2190000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	2555000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	2920000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	3285000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	3650000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	36500000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 2	2020	3.65e+08	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	365000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	730000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	1095000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	1460000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	1825000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	2190000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	2555000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	2920000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	3285000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	3650000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	7300000	2.367998415	0	0
Water Total [gal]	Central Photoelectrochemical Type 4	2020	7.3e+07	2.367998415	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	7300365	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	8942500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	10585000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	12227500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	13870000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	15512500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	17155000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	18797500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	20440000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	22082500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	23725000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	25367500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	27010000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	28652500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	30295000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	31937500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	33580000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	35222500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	36865000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	38507500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	40150000	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	41792500	2.392022799	0	0
Water Total [gal]	Ferrite Solar Thermo-Chemical Hydrogen Production	2030	43435000	2.392022799	0	0
