Technology	Maximum Capacity [kg/yr]
GH2 Truck Station (700bar)	2737500
Onsite Electrolysis (PEM)	730000
Onsite Natural Gas Reforming	730000
LH2 Station (gas dispensing)	32850000
GH2 Pipeline Station (700bar)	32850000
Central Grid Electrolysis (PEM)	91250000
Central Natural Gas Reforming w/CCS	146000000
GH2 Pipeline Truck Terminal	32850000
GH2 Truck	32850000
GH2 Truck Link	32850000
