Year	Eligible Technologies	Percentage Requirement
2021	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2022	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2023	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2024	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2025	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2026	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2027	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2028	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2029	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2030	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2031	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2032	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2033	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2034	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2035	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2036	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2037	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2038	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2039	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2040	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2041	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2042	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2043	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2044	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2045	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2046	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2047	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2048	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2049	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
2050	"Onsite Electrolysis (PEM), Central Grid Electrolysis (PEM)"	0
