Material	Zone	Year	Price [$/unit]	Billable?	Quantity [unit]	Period
Electricity (Industrial) [kWh]	Zone_WEC_CALN	2050	0.125008582	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WEC_LADW	2050	0.125008582	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WEC_SDGE	2050	0.125008582	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_AZ	2050	0.040584734	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_CO	2050	0.050283041	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_ID	2050	0.054042423	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_IID	2050	0.125008582	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_MT	2050	0.05016358	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_NM	2050	0.039988607	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_NNV	2050	0.04432976	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_PNW	2050	0.043984321	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_SCE	2050	0.125008582	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_SF	2050	0.125008582	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_SNV	2050	0.045179086	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_UT	2050	0.048840349	TRUE	Infinity	1winter
Electricity (Industrial) [kWh]	Zone_WECC_WY	2050	0.050051039	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WEC_CALN	2050	0.128997247	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WEC_LADW	2050	0.128997247	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WEC_SDGE	2050	0.128997247	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_AZ	2050	0.080353065	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_CO	2050	0.077677213	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_ID	2050	0.068790942	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_IID	2050	0.128997247	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_MT	2050	0.076363123	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_NM	2050	0.06770092	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_NNV	2050	0.055460523	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_PNW	2050	0.066528083	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_SCE	2050	0.128999261	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_SF	2050	0.128997247	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_SNV	2050	0.05822856	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_UT	2050	0.077687145	TRUE	Infinity	1winter
Electricity (Commercial) [kWh]	Zone_WECC_WY	2050	0.077925184	TRUE	Infinity	1winter
Diesel [gal]	Zone_WEC_CALN	2050	3.7431	TRUE	Infinity	1winter
Diesel [gal]	Zone_WEC_LADW	2050	3.7431	TRUE	Infinity	1winter
Diesel [gal]	Zone_WEC_SDGE	2050	3.7431	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_AZ	2050	3.0035	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_CO	2050	2.7446	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_ID	2050	3.1207	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_IID	2050	3.7431	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_MT	2050	2.9059	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_NM	2050	2.8421	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_NNV	2050	3.1026	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_PNW	2050	2.9806	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_SCE	2050	3.7431	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_SF	2050	3.7431	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_SNV	2050	3.1026	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_UT	2050	3.1254	TRUE	Infinity	1winter
Diesel [gal]	Zone_WECC_WY	2050	2.9476	TRUE	Infinity	1winter
Water [gal]	Zone_WEC_CALN	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WEC_LADW	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WEC_SDGE	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_AZ	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_CO	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_ID	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_IID	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_MT	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_NM	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_NNV	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_PNW	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_SCE	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_SF	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_SNV	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_UT	2050	0.003	TRUE	Infinity	1winter
Water [gal]	Zone_WECC_WY	2050	0.003	TRUE	Infinity	1winter
Water Total [gal]	Zone_WEC_CALN	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WEC_LADW	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WEC_SDGE	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WECC_AZ	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WECC_CO	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WECC_ID	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WECC_IID	2050	0.004	TRUE	Infinity	1winter
Water Total [gal]	Zone_WECC_MT	2050	0.004	TRUE	Infinity	1winter
