Technology	Year	Nameplate Capacity [kg/yr]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Maximum Utilization [kg/kg]	Storage Technology	Storage [kg]
GH2 1000bar Pipeline Compressor	2015	10000	No	15	0.161507177	169679.1694	0	29088.38946	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	11000	No	15	0.171153737	172311.2946	0	29617.32147	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	12100	No	15	0.181213855	175145.2075	0	30184.22622	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	13310	No	15	0.191686663	178196.5068	0	30791.97621	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	14641	No	15	0.202568931	181482.0231	0	31443.66923	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	16105.1	No	15	0.213854902	185019.9179	0	32142.64641	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	17715.61	No	15	0.225536155	188829.791	0	32892.51184	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	19487.171	No	15	0.23760148	192932.7966	0	33697.15375	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	21435.8881	No	15	0.250036804	197351.7686	0	34560.76738	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	23579.47691	No	15	0.262825141	202111.3568	0	35487.8798	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	25937.4246	No	15	0.275946593	207238.1734	0	36483.37671	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	28531.16706	No	15	0.289378393	212760.9527	0	37552.53144	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	31384.28377	No	15	0.303094997	218710.7224	0	38701.03639	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	34522.71214	No	15	0.317068227	225120.9904	0	39935.03695	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	37974.98336	No	15	0.331267464	232027.9463	0	41261.16829	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	41772.48169	No	15	0.345659891	239470.6791	0	42686.59517	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	45949.72986	No	15	0.360210775	247491.414	0	44219.05498	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	50544.70285	No	15	0.374883798	256135.7671	0	45866.90435	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	55599.17313	No	15	0.389641419	265453.0227	0	47639.16963	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	61159.09045	No	15	0.40444526	275496.4327	0	49545.6015	0	0	0	1	No Storage	0.00E+00
