Network ID	Year	Period	Fueling-Station Demand [kg]	Ammonia [kg]	Biofuels [kg]	Methanol [kg]	FT Fuels [kg]	Metals [kg]	Natural Gas Blending [kg]	Seasonal Grid Storage [kg]	Other [kg]
TAZ_5973	2027	1 Year	318279.7586	0	0	0	0	0	0	0	0
TAZ_5973	2028	1 Year	333853.1724	0	0	0	0	0	0	0	0
TAZ_5973	2029	1 Year	349426.5862	0	0	0	0	0	0	0	0
TAZ_5973	2030	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2031	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2032	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2033	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2034	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2035	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2036	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2037	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2038	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2039	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2040	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2041	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2042	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2043	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2044	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2045	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2046	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2047	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2048	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2049	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5973	2050	1 Year	365000	0	0	0	0	0	0	0	0
TAZ_5917	2036	1 Year	2322777.38	0	0	0	0	0	0	0	0
TAZ_5917	2037	1 Year	4645554.76	0	0	0	0	0	0	0	0
TAZ_5917	2038	1 Year	6968332.14	0	0	0	0	0	0	0	0
TAZ_5917	2039	1 Year	9291109.519	0	0	0	0	0	0	0	0
TAZ_5917	2040	1 Year	11613886.9	0	0	0	0	0	0	0	0
TAZ_5917	2041	1 Year	11700109.52	0	0	0	0	0	0	0	0
TAZ_5917	2042	1 Year	11786332.14	0	0	0	0	0	0	0	0
TAZ_5917	2043	1 Year	11872554.76	0	0	0	0	0	0	0	0
TAZ_5917	2044	1 Year	11958777.38	0	0	0	0	0	0	0	0
TAZ_5917	2045	1 Year	12045000	0	0	0	0	0	0	0	0
TAZ_5917	2046	1 Year	12045000	0	0	0	0	0	0	0	0
TAZ_5917	2047	1 Year	12045000	0	0	0	0	0	0	0	0
TAZ_5917	2048	1 Year	12045000	0	0	0	0	0	0	0	0
TAZ_5917	2049	1 Year	12045000	0	0	0	0	0	0	0	0
TAZ_5917	2050	1 Year	12045000	0	0	0	0	0	0	0	0
TAZ_5853	2031	1 Year	1320794.476	0	0	0	0	0	0	0	0
TAZ_5853	2032	1 Year	2641588.952	0	0	0	0	0	0	0	0
TAZ_5853	2033	1 Year	3962383.428	0	0	0	0	0	0	0	0
TAZ_5853	2034	1 Year	5283177.903	0	0	0	0	0	0	0	0
TAZ_5853	2035	1 Year	6603972.379	0	0	0	0	0	0	0	0
TAZ_5853	2036	1 Year	6743177.903	0	0	0	0	0	0	0	0
TAZ_5853	2037	1 Year	6882383.428	0	0	0	0	0	0	0	0
TAZ_5853	2038	1 Year	7021588.952	0	0	0	0	0	0	0	0
TAZ_5853	2039	1 Year	7160794.476	0	0	0	0	0	0	0	0
TAZ_5853	2040	1 Year	7300000	0	0	0	0	0	0	0	0
TAZ_5853	2041	1 Year	9580306.987	0	0	0	0	0	0	0	0
TAZ_5853	2042	1 Year	11860613.97	0	0	0	0	0	0	0	0
TAZ_5853	2043	1 Year	14140920.96	0	0	0	0	0	0	0	0
TAZ_5853	2044	1 Year	16421227.95	0	0	0	0	0	0	0	0
TAZ_5853	2045	1 Year	18701534.93	0	0	0	0	0	0	0	0
TAZ_5853	2046	1 Year	18720727.95	0	0	0	0	0	0	0	0
TAZ_5853	2047	1 Year	18739920.96	0	0	0	0	0	0	0	0
TAZ_5853	2048	1 Year	18759113.97	0	0	0	0	0	0	0	0
TAZ_5853	2049	1 Year	18778306.99	0	0	0	0	0	0	0	0
TAZ_5853	2050	1 Year	18797500	0	0	0	0	0	0	0	0
