Network_ID	Year	Period	Hydrogen_Price
TAZ_103	2026	1 Year	7.53
TAZ_103	2027	1 Year	7.13
TAZ_103	2028	1 Year	29.64
TAZ_103	2029	1 Year	4.41
TAZ_103	2030	1 Year	3.75
TAZ_103	2031	1 Year	3.39
TAZ_103	2032	1 Year	2.95
TAZ_103	2033	1 Year	4.61
TAZ_103	2034	1 Year	3.73
TAZ_103	2035	1 Year	12.07
TAZ_109	2026	1 Year	5.31
TAZ_109	2027	1 Year	5.08
TAZ_109	2028	1 Year	6.84
TAZ_109	2029	1 Year	4.41
TAZ_109	2030	1 Year	3.75
TAZ_109	2031	1 Year	3.39
TAZ_109	2032	1 Year	2.95
TAZ_109	2033	1 Year	4.61
TAZ_109	2034	1 Year	3.73
TAZ_109	2035	1 Year	12.7
TAZ_1160	2033	1 Year	6.12
TAZ_1160	2034	1 Year	3.74
TAZ_1160	2035	1 Year	8.98
TAZ_122	2032	1 Year	3.09
TAZ_122	2033	1 Year	2.24
TAZ_122	2034	1 Year	3.69
TAZ_122	2035	1 Year	130.95
TAZ_1227	2032	1 Year	4.66
TAZ_1227	2033	1 Year	4.6
TAZ_1227	2034	1 Year	3.74
TAZ_1227	2035	1 Year	8.98
TAZ_124	2026	1 Year	5.27
TAZ_124	2027	1 Year	5.04
TAZ_124	2028	1 Year	6.81
TAZ_124	2029	1 Year	4.38
TAZ_124	2030	1 Year	20.34
TAZ_126	2035	1 Year	74.97
TAZ_127	2032	1 Year	3.63
TAZ_127	2033	1 Year	7.25
TAZ_127	2034	1 Year	3.69
TAZ_127	2035	1 Year	10.84
TAZ_129	2026	1 Year	5.28
TAZ_129	2027	1 Year	5.05
TAZ_129	2028	1 Year	6.81
TAZ_129	2029	1 Year	4.39
TAZ_129	2030	1 Year	9.96
TAZ_129	2031	1 Year	3.36
TAZ_130	2033	1 Year	7.03
TAZ_130	2034	1 Year	1.96
TAZ_130	2035	1 Year	344.66
TAZ_1309	2035	1 Year	15.31
TAZ_1314	2029	1 Year	4.38
TAZ_1314	2030	1 Year	3.77
TAZ_1314	2031	1 Year	3.33
TAZ_1314	2032	1 Year	2.98
TAZ_1314	2033	1 Year	4.57
TAZ_1314	2034	1 Year	3.74
TAZ_1314	2035	1 Year	13.97
TAZ_1320	2032	1 Year	3.05
TAZ_1320	2033	1 Year	3.35
TAZ_1320	2034	1 Year	9.29
TAZ_1320	2035	1 Year	7.6
TAZ_1353	2027	1 Year	5.04
TAZ_1353	2028	1 Year	6.81
TAZ_1353	2029	1 Year	4.38
TAZ_1353	2030	1 Year	3.77
TAZ_1353	2031	1 Year	6.79
TAZ_1353	2032	1 Year	2.99
TAZ_1353	2033	1 Year	4.57
TAZ_1353	2034	1 Year	3.74
