Network_ID	Year	Period	Hydrogen_Price
TAZ_1408	2026	1 Year	-0.0
TAZ_1408	2027	1 Year	-0.0
TAZ_1408	2028	1 Year	4.62
TAZ_1408	2029	1 Year	4.29
TAZ_1408	2030	1 Year	5.72
TAZ_1408	2031	1 Year	6.05
TAZ_1408	2032	1 Year	0.87
TAZ_1408	2033	1 Year	3.17
TAZ_1408	2034	1 Year	2.94
TAZ_1408	2035	1 Year	5.27
TAZ_1408	2036	1 Year	0.61
TAZ_1408	2037	1 Year	2.62
TAZ_1408	2038	1 Year	2.16
TAZ_1408	2039	1 Year	2.0
TAZ_1408	2040	1 Year	2.34
TAZ_1408	2041	1 Year	0.82
TAZ_1408	2042	1 Year	0.38
TAZ_1408	2043	1 Year	1.48
TAZ_1408	2044	1 Year	1.36
TAZ_1408	2045	1 Year	2.13
TAZ_2312	2026	1 Year	3.66
TAZ_2312	2027	1 Year	21.86
TAZ_2312	2028	1 Year	4.95
TAZ_2312	2029	1 Year	8.27
TAZ_2312	2030	1 Year	25.07
TAZ_2312	2031	1 Year	6.04
TAZ_2312	2032	1 Year	2.32
TAZ_2312	2033	1 Year	3.85
TAZ_2312	2034	1 Year	3.05
TAZ_2312	2035	1 Year	5.34
TAZ_2312	2036	1 Year	0.61
TAZ_2312	2037	1 Year	2.33
TAZ_2312	2038	1 Year	2.16
TAZ_2312	2039	1 Year	2.0
TAZ_2312	2040	1 Year	2.34
TAZ_2312	2041	1 Year	0.82
TAZ_2312	2042	1 Year	0.38
TAZ_2312	2043	1 Year	1.47
TAZ_2312	2044	1 Year	1.36
TAZ_2312	2045	1 Year	2.81
TAZ_2947	2026	1 Year	5.93
TAZ_2947	2027	1 Year	22.29
TAZ_2947	2028	1 Year	5.12
TAZ_2947	2029	1 Year	8.46
TAZ_2947	2030	1 Year	25.35
TAZ_2947	2031	1 Year	0.9
TAZ_2947	2032	1 Year	3.42
TAZ_2947	2033	1 Year	3.19
TAZ_2947	2034	1 Year	2.95
TAZ_2947	2035	1 Year	3.39
TAZ_2947	2036	1 Year	0.96
TAZ_2947	2037	1 Year	0.89
TAZ_2947	2038	1 Year	0.82
TAZ_2947	2039	1 Year	1.13
TAZ_2947	2040	1 Year	1.14
TAZ_2947	2041	1 Year	1.01
TAZ_2947	2042	1 Year	1.98
TAZ_2947	2043	1 Year	0.36
TAZ_2947	2044	1 Year	0.33
TAZ_2947	2045	1 Year	2.53
TAZ_4619	2026	1 Year	-0.0
TAZ_4619	2027	1 Year	22.16
TAZ_4619	2028	1 Year	1.31
TAZ_4619	2029	1 Year	4.31
TAZ_4619	2030	1 Year	4.87
TAZ_4619	2031	1 Year	0.9
TAZ_4619	2032	1 Year	4.08
TAZ_4619	2033	1 Year	5.24
TAZ_4619	2034	1 Year	2.95
TAZ_4619	2035	1 Year	3.39
TAZ_4619	2036	1 Year	0.96
TAZ_4619	2037	1 Year	0.89
TAZ_4619	2038	1 Year	0.82
TAZ_4619	2039	1 Year	1.13
TAZ_4619	2040	1 Year	1.2
TAZ_4619	2041	1 Year	0.42
TAZ_4619	2042	1 Year	2.02
TAZ_4619	2043	1 Year	0.36
TAZ_4619	2044	1 Year	0.33
TAZ_4619	2045	1 Year	2.14
TAZ_531	2026	1 Year	5.61
TAZ_531	2027	1 Year	21.74
TAZ_531	2028	1 Year	4.85
TAZ_531	2029	1 Year	8.14
TAZ_531	2030	1 Year	24.85
TAZ_531	2031	1 Year	5.95
TAZ_531	2032	1 Year	3.26
TAZ_531	2033	1 Year	3.83
TAZ_531	2034	1 Year	2.98
TAZ_531	2035	1 Year	5.28
TAZ_531	2036	1 Year	1.63
TAZ_531	2037	1 Year	2.62
TAZ_531	2038	1 Year	2.23
TAZ_531	2039	1 Year	2.1
TAZ_531	2040	1 Year	4.51
TAZ_531	2041	1 Year	0.82
TAZ_531	2042	1 Year	0.57
TAZ_531	2043	1 Year	1.47
TAZ_531	2044	1 Year	1.36
TAZ_531	2045	1 Year	2.84
TAZ_6424	2026	1 Year	5.64
TAZ_6424	2027	1 Year	11.23
TAZ_6424	2028	1 Year	4.3
TAZ_6424	2029	1 Year	7.48
TAZ_6424	2030	1 Year	10.38
TAZ_6424	2031	1 Year	5.33
TAZ_6424	2032	1 Year	3.38
TAZ_6424	2033	1 Year	3.82
TAZ_6424	2034	1 Year	2.96
TAZ_6424	2035	1 Year	5.12
TAZ_6424	2036	1 Year	1.64
TAZ_6424	2037	1 Year	2.56
TAZ_6424	2038	1 Year	2.38
TAZ_6424	2039	1 Year	3.84
TAZ_6424	2040	1 Year	15.46
TAZ_6424	2041	1 Year	3.67
TAZ_6424	2042	1 Year	0.66
TAZ_6424	2043	1 Year	1.46
TAZ_6424	2044	1 Year	1.35
TAZ_6424	2045	1 Year	2.77
TAZ_1408	2046	1 Year	9.64
TAZ_1408	2047	1 Year	1.41
TAZ_1408	2048	1 Year	1.23
TAZ_1408	2049	1 Year	1.21
TAZ_1408	2050	1 Year	2.51
TAZ_2312	2046	1 Year	11.06
TAZ_2312	2047	1 Year	1.41
TAZ_2312	2048	1 Year	1.27
TAZ_2312	2049	1 Year	1.26
TAZ_2312	2050	1 Year	2.85
TAZ_2947	2046	1 Year	9.22
TAZ_2947	2047	1 Year	1.45
TAZ_2947	2048	1 Year	1.89
TAZ_2947	2049	1 Year	1.29
TAZ_2947	2050	1 Year	2.74
TAZ_4619	2046	1 Year	9.45
TAZ_4619	2047	1 Year	1.39
TAZ_4619	2048	1 Year	1.35
TAZ_4619	2049	1 Year	1.29
TAZ_4619	2050	1 Year	2.71
TAZ_531	2046	1 Year	11.09
TAZ_531	2047	1 Year	1.4
TAZ_531	2048	1 Year	1.23
TAZ_531	2049	1 Year	1.2
TAZ_531	2050	1 Year	2.43
TAZ_6424	2046	1 Year	1.44
TAZ_6424	2047	1 Year	1.39
TAZ_6424	2048	1 Year	1.23
TAZ_6424	2049	1 Year	1.15
TAZ_6424	2050	1 Year	2.01
