Technology	Maximum Capacity [kg/yr]
GH2 Truck Station (700bar)	547500
Onsite Electrolysis (PEM)	730000
Onsite Natural Gas Reforming	730000
LH2 Station (gas dispensing)	10950000
GH2 Pipeline Station (700bar)	10950000
Central Grid Electrolysis (PEM)	36500000
Central Natural Gas Reforming w/CCS	146000000
GH2 Pipeline Truck Terminal	547500
GH2 Truck	547500
GH2 Truck Link	547500
