Technology	Year	Nameplate Capacity [kg/yr]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [fraction of CapCost/y]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Maximum Utilization [kg/kg]	Storage Technology	Storage [kg]
GH2 1000bar Pipeline Compressor	2015	10000	No	15	0.161507177	169679.1694	0	0.070681645	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	11000	No	15	0.171153737	172311.2946	0	0.071132587	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	12100	No	15	0.181213855	175145.2075	0	0.071588233	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	13310	No	15	0.191686663	178196.5068	0	0.072047806	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	14641	No	15	0.202568931	181482.0231	0	0.072510457	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	16105.1	No	15	0.213854902	185019.9179	0	0.07297527	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	17715.61	No	15	0.225536155	188829.791	0	0.073441266	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	19487.171	No	15	0.23760148	192932.7966	0	0.073907408	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	21435.8881	No	15	0.250036804	197351.7686	0	0.074372603	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	23579.47691	No	15	0.262825141	202111.3568	0	0.074835717	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	25937.4246	No	15	0.275946593	207238.1734	0	0.075295579	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	28531.16706	No	15	0.289378393	212760.9527	0	0.075750989	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	31384.28377	No	15	0.303094997	218710.7224	0	0.076200735	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	34522.71214	No	15	0.317068227	225120.9904	0	0.076643602	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	37974.98336	No	15	0.331267464	232027.9463	0	0.077078382	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	41772.48169	No	15	0.345659891	239470.6791	0	0.077503893	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	45949.72986	No	15	0.360210775	247491.414	0	0.077918986	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	50544.70285	No	15	0.374883798	256135.7671	0	0.078322565	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	55599.17313	No	15	0.389641419	265453.0227	0	0.078713594	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	61159.09045	No	15	0.40444526	275496.4327	0	0.079091112	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	67274.99949	No	15	0.419256516	286323.5401	0	0.079454243	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	74002.49944	No	15	0.434036371	297996.5306	0	0.079802206	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	81402.74939	No	15	0.448746415	310582.6125	0	0.080134323	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	89543.02433	No	15	0.463349049	324154.4275	0	0.080450027	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	98497.32676	No	15	0.477807876	338790.4964	0	0.080748863	0	0	0	1	No Storage	0.00E+00
GH2 1000bar Pipeline Compressor	2015	108347.0594	No	15	0.492088062	354575.7009	0	0.081030496	0	0	0	1	No Storage	0.00E+00
