Network ID	Year	Period	Fueling-Station Demand [kg]	Ammonia [kg]	Biofuels [kg]	Methanol [kg]	FT Fuels [kg]	Metals [kg]	Natural Gas Blending [kg]	Seasonal Grid Storage [kg]	Other [kg]	station_kg_day
TAZ_2798	2025	1 Year	2367.140723	0	0	0	0	0	0	0	0	6.485317049315069
TAZ_3022	2025	1 Year	3346.031123	0	0	0	0	0	0	0	0	9.167208556164384
TAZ_3321	2025	1 Year	4251.242062	0	0	0	0	0	0	0	0	11.647238526027397
TAZ_228	2025	1 Year	4381.164441	0	0	0	0	0	0	0	0	12.003190249315068
TAZ_3211	2025	1 Year	4459.512992	0	0	0	0	0	0	0	0	12.21784381369863
TAZ_3207	2025	1 Year	5282.913483	0	0	0	0	0	0	0	0	14.473735569863015
TAZ_2736	2025	1 Year	7628.252598	0	0	0	0	0	0	0	0	20.89932218630137
TAZ_3021	2025	1 Year	6169.128255	0	0	0	0	0	0	0	0	16.90172124657534
TAZ_2565	2025	1 Year	7519.055224000001	0	0	0	0	0	0	0	0	20.600151298630138
TAZ_124	2025	1 Year	7575.419303	0	0	0	0	0	0	0	0	20.75457343287671
TAZ_130	2025	1 Year	7796.218275	0	0	0	0	0	0	0	0	21.359502123287673
TAZ_2914	2025	1 Year	9055.290129	0	0	0	0	0	0	0	0	24.809014052054795
TAZ_2606	2025	1 Year	9256.659214	0	0	0	0	0	0	0	0	25.360710175342465
TAZ_3121	2025	1 Year	11960.65023	0	0	0	0	0	0	0	0	32.768904739726025
TAZ_3252	2025	1 Year	14554.65715	0	0	0	0	0	0	0	0	39.87577301369863
TAZ_129	2025	1 Year	15623.096769999998	0	0	0	0	0	0	0	0	42.803004849315066
TAZ_3000	2025	1 Year	19121.95507	0	0	0	0	0	0	0	0	52.388918
TAZ_2532	2025	1 Year	21253.52219	0	0	0	0	0	0	0	0	58.22882791780822
TAZ_3202	2025	1 Year	23898.405210000004	0	0	0	0	0	0	0	0	65.4750827671233
TAZ_3301	2025	1 Year	23970.762919999997	0	0	0	0	0	0	0	0	65.67332306849315
TAZ_2332	2025	1 Year	30965.99543	0	0	0	0	0	0	0	0	84.83834364383561
TAZ_164	2025	1 Year	32942.09519	0	0	0	0	0	0	0	0	90.25231558904109
TAZ_2949	2025	1 Year	36942.47015	0	0	0	0	0	0	0	0	101.21224698630137
TAZ_2739	2025	1 Year	37372.70838	0	0	0	0	0	0	0	0	102.39098186301369
TAZ_202	2025	1 Year	43123.55597	0	0	0	0	0	0	0	0	118.14672868493152
TAZ_6100	2025	1 Year	43285.94661	0	0	0	0	0	0	0	0	118.5916345479452
TAZ_1192	2025	1 Year	76773.306117	0	0	0	0	0	0	0	0	210.33782497808218
TAZ_2473	2025	1 Year	106048.72706	0	0	0	0	0	0	0	0	290.54445769863014
TAZ_1360	2025	1 Year	120665.91091	0	0	0	0	0	0	0	0	330.59153673972605
TAZ_109	2025	1 Year	64618.29056	0	0	0	0	0	0	0	0	177.0364124931507
TAZ_1944	2025	1 Year	83676.3945	0	0	0	0	0	0	0	0	229.25039589041094
TAZ_837	2025	1 Year	93308.79914	0	0	0	0	0	0	0	0	255.6405455890411
TAZ_1796	2025	1 Year	179307.80113799998	0	0	0	0	0	0	0	0	491.25424969315065
TAZ_6102	2025	1 Year	100217.08630000001	0	0	0	0	0	0	0	0	274.5673597260274
TAZ_6105	2025	1 Year	281580.1038	0	0	0	0	0	0	0	0	771.4523391780822
TAZ_416	2025	1 Year	157349.6683	0	0	0	0	0	0	0	0	431.0949816438356
TAZ_821	2025	1 Year	277107.960974	0	0	0	0	0	0	0	0	759.1998930794521
TAZ_5614	2025	1 Year	164422.1386	0	0	0	0	0	0	0	0	450.47161260273975
TAZ_5194	2025	1 Year	168418.1353	0	0	0	0	0	0	0	0	461.4195487671233
TAZ_2029	2025	1 Year	202664.49710200002	0	0	0	0	0	0	0	0	555.2451975397261
TAZ_5481	2025	1 Year	185915.7218	0	0	0	0	0	0	0	0	509.3581419178082
TAZ_2900	2025	1 Year	215974.1714	0	0	0	0	0	0	0	0	591.7100586301369
TAZ_6434	2025	1 Year	261067.86541099998	0	0	0	0	0	0	0	0	715.2544257835616
TAZ_3802	2025	1 Year	283434.59414400003	0	0	0	0	0	0	0	0	776.5331346410959
TAZ_4619	2025	1 Year	287333.2571	0	0	0	0	0	0	0	0	787.2144030136986
TAZ_5110	2025	1 Year	292198.6902	0	0	0	0	0	0	0	0	800.5443567123287
TAZ_3601	2025	1 Year	383635.96033000003	0	0	0	0	0	0	0	0	1051.0574255616439
TAZ_5138	2025	1 Year	295549.1819	0	0	0	0	0	0	0	0	809.7237860273973
TAZ_1892	2025	1 Year	304251.5326	0	0	0	0	0	0	0	0	833.565842739726
TAZ_6245	2025	1 Year	655085.3772199999	0	0	0	0	0	0	0	0	1794.7544581369862
TAZ_5973	2025	1 Year	355311.4195	0	0	0	0	0	0	0	0	973.4559438356165
TAZ_5144	2025	1 Year	358596.7856	0	0	0	0	0	0	0	0	982.456946849315
TAZ_5608	2025	1 Year	481951.4913	0	0	0	0	0	0	0	0	1320.4150446575343
TAZ_263	2025	1 Year	487740.18671999994	0	0	0	0	0	0	0	0	1336.2744841643835
TAZ_262	2025	1 Year	430336.7843	0	0	0	0	0	0	0	0	1179.0048884931507
TAZ_5111	2025	1 Year	434193.2779	0	0	0	0	0	0	0	0	1189.5706243835616
TAZ_2822	2025	1 Year	437382.3092	0	0	0	0	0	0	0	0	1198.3076964383563
TAZ_507	2025	1 Year	504720.616367	0	0	0	0	0	0	0	0	1382.7962092246576
TAZ_2313	2025	1 Year	482937.1236	0	0	0	0	0	0	0	0	1323.1154071232877
TAZ_5636	2025	1 Year	493548.11519999994	0	0	0	0	0	0	0	0	1352.1866169863013
TAZ_6005	2025	1 Year	532675.9344	0	0	0	0	0	0	0	0	1459.3861216438356
TAZ_5439	2025	1 Year	576263.252746	0	0	0	0	0	0	0	0	1578.8034321808218
TAZ_2912	2025	1 Year	547500.0	0	0	0	0	0	0	0	0	1500.0
TAZ_5670	2025	1 Year	547500.0	0	0	0	0	0	0	0	0	1500.0
TAZ_5634	2025	1 Year	563882.9046	0	0	0	0	0	0	0	0	1544.8846701369864
TAZ_167	2025	1 Year	875660.66221	0	0	0	0	0	0	0	0	2399.0703074246576
TAZ_5693	2025	1 Year	1024296.7670000001	0	0	0	0	0	0	0	0	2806.2925123287673
TAZ_2200	2025	1 Year	1684971.018	0	0	0	0	0	0	0	0	4616.358953424658
TAZ_5195	2025	1 Year	1825000.0	0	0	0	0	0	0	0	0	5000.0
TAZ_5140	2025	1 Year	1825000.0	0	0	0	0	0	0	0	0	5000.0
TAZ_2915	2026	1 Year	325.0339189	0	0	0	0	0	0	0	0	0.8905038873972603
TAZ_5680	2026	1 Year	1325.841369	0	0	0	0	0	0	0	0	3.632442106849315
TAZ_2509	2026	1 Year	1651.408473	0	0	0	0	0	0	0	0	4.524406775342466
TAZ_5106	2026	1 Year	2398.876763	0	0	0	0	0	0	0	0	6.572265104109589
TAZ_3414	2026	1 Year	3678.310785	0	0	0	0	0	0	0	0	10.077563794520549
TAZ_281	2026	1 Year	6225.521996	0	0	0	0	0	0	0	0	17.056224646575345
TAZ_3012	2026	1 Year	13259.858230000002	0	0	0	0	0	0	0	0	36.32837871232877
TAZ_228	2026	1 Year	7273.31119	0	0	0	0	0	0	0	0	19.92687997260274
TAZ_3207	2026	1 Year	9424.391155	0	0	0	0	0	0	0	0	25.820249739726027
TAZ_3361	2026	1 Year	9572.592401	0	0	0	0	0	0	0	0	26.22628055068493
TAZ_3022	2026	1 Year	10506.84437	0	0	0	0	0	0	0	0	28.785874986301373
TAZ_3013	2026	1 Year	10718.11357	0	0	0	0	0	0	0	0	29.364694712328767
TAZ_337	2026	1 Year	11797.59141	0	0	0	0	0	0	0	0	32.322168246575345
TAZ_3321	2026	1 Year	16061.536880000001	0	0	0	0	0	0	0	0	44.00421063013699
TAZ_3021	2026	1 Year	20022.97617	0	0	0	0	0	0	0	0	54.857468958904114
TAZ_160	2026	1 Year	20050.62352	0	0	0	0	0	0	0	0	54.933215123287674
TAZ_2565	2026	1 Year	20850.29511	0	0	0	0	0	0	0	0	57.12409619178082
TAZ_2798	2026	1 Year	22091.66309	0	0	0	0	0	0	0	0	60.52510435616438
TAZ_3211	2026	1 Year	22854.08305	0	0	0	0	0	0	0	0	62.613926164383564
TAZ_3304	2026	1 Year	25246.22884	0	0	0	0	0	0	0	0	69.16775024657534
TAZ_130	2026	1 Year	27841.8551	0	0	0	0	0	0	0	0	76.27905506849315
TAZ_2947	2026	1 Year	28559.310800000003	0	0	0	0	0	0	0	0	78.24468712328768
TAZ_273	2026	1 Year	28805.895919999995	0	0	0	0	0	0	0	0	78.92026279452054
TAZ_2606	2026	1 Year	29082.548730000002	0	0	0	0	0	0	0	0	79.67821569863014
TAZ_124	2026	1 Year	29228.19672	0	0	0	0	0	0	0	0	80.07725128767123
TAZ_2914	2026	1 Year	34565.58232	0	0	0	0	0	0	0	0	94.70022553424658
TAZ_2931	2026	1 Year	36500.0	0	0	0	0	0	0	0	0	100.0
TAZ_3000	2026	1 Year	41920.21708	0	0	0	0	0	0	0	0	114.84990980821918
TAZ_129	2026	1 Year	44584.97011	0	0	0	0	0	0	0	0	122.15060304109589
TAZ_3252	2026	1 Year	48143.72572	0	0	0	0	0	0	0	0	131.9006184109589
TAZ_2532	2026	1 Year	53502.817760000005	0	0	0	0	0	0	0	0	146.5830623561644
TAZ_3301	2026	1 Year	55676.61034	0	0	0	0	0	0	0	0	152.53865846575343
TAZ_164	2026	1 Year	55959.86279	0	0	0	0	0	0	0	0	153.31469257534246
TAZ_103	2026	1 Year	62801.30278	0	0	0	0	0	0	0	0	172.0583637808219
TAZ_2739	2026	1 Year	125890.43407	0	0	0	0	0	0	0	0	344.9052988219178
TAZ_202	2026	1 Year	111566.66840000001	0	0	0	0	0	0	0	0	305.66210520547946
TAZ_1192	2026	1 Year	153246.53352000003	0	0	0	0	0	0	0	0	419.8535164931507
TAZ_2935	2026	1 Year	73000.0	0	0	0	0	0	0	0	0	200.0
TAZ_2545	2026	1 Year	312636.75249600003	0	0	0	0	0	0	0	0	856.5390479342466
TAZ_2308	2026	1 Year	135775.68599	0	0	0	0	0	0	0	0	371.98818079452053
TAZ_3202	2026	1 Year	99849.02197	0	0	0	0	0	0	0	0	273.5589643013699
TAZ_2949	2026	1 Year	118789.58179000001	0	0	0	0	0	0	0	0	325.45090901369866
TAZ_109	2026	1 Year	142944.6324	0	0	0	0	0	0	0	0	391.6291298630137
TAZ_1353	2026	1 Year	392928.768	0	0	0	0	0	0	0	0	1076.5171726027397
TAZ_6100	2026	1 Year	171413.6567	0	0	0	0	0	0	0	0	469.6264567123287
TAZ_2029	2026	1 Year	406934.95875999995	0	0	0	0	0	0	0	0	1114.8902979726026
TAZ_983	2026	1 Year	192087.48511400004	0	0	0	0	0	0	0	0	526.2670825041097
TAZ_6631	2026	1 Year	195428.0624	0	0	0	0	0	0	0	0	535.4193490410959
TAZ_1944	2026	1 Year	305038.57823	0	0	0	0	0	0	0	0	835.7221321369863
TAZ_6701	2026	1 Year	640233.6076140001	0	0	0	0	0	0	0	0	1754.0646783945208
TAZ_5637	2026	1 Year	319217.0863	0	0	0	0	0	0	0	0	874.5673597260275
TAZ_2900	2026	1 Year	227529.3371	0	0	0	0	0	0	0	0	623.3680468493151
TAZ_5541	2026	1 Year	240743.2249	0	0	0	0	0	0	0	0	659.5704791780822
TAZ_4355	2026	1 Year	358841.0576	0	0	0	0	0	0	0	0	983.1261852054795
TAZ_6434	2026	1 Year	300104.29235	0	0	0	0	0	0	0	0	822.2035406849315
TAZ_5626	2026	1 Year	267789.2181	0	0	0	0	0	0	0	0	733.6690906849315
TAZ_3802	2026	1 Year	339579.322403	0	0	0	0	0	0	0	0	930.3543079534247
TAZ_414	2026	1 Year	460020.74809999997	0	0	0	0	0	0	0	0	1260.3308167123287
TAZ_6204	2026	1 Year	348081.60354000004	0	0	0	0	0	0	0	0	953.6482288767124
TAZ_5146	2026	1 Year	319023.7385	0	0	0	0	0	0	0	0	874.0376397260274
TAZ_6545	2026	1 Year	541765.75725	0	0	0	0	0	0	0	0	1484.289745890411
TAZ_6133	2026	1 Year	359723.4807	0	0	0	0	0	0	0	0	985.5437827397261
TAZ_5144	2026	1 Year	359877.4285	0	0	0	0	0	0	0	0	985.9655575342465
TAZ_2795	2026	1 Year	365000.0	0	0	0	0	0	0	0	0	1000.0
TAZ_5148	2026	1 Year	365000.0	0	0	0	0	0	0	0	0	1000.0
TAZ_2872	2026	1 Year	365000.0	0	0	0	0	0	0	0	0	1000.0
TAZ_4737	2026	1 Year	365000.0	0	0	0	0	0	0	0	0	1000.0
TAZ_3604	2026	1 Year	365000.0	0	0	0	0	0	0	0	0	1000.0
