Technology	Year	Nameplate Capacity [kg/yr]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [fraction of CapCost/y]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Maximum Utilization [kg/kg]	Storage Technology	Storage [kg]
GH2 Pipeline (distribution)	2015	365000	No	50	0.385580728	0	2032005.328	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	547500	No	50	0.395029888	0	2375867.617	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	821250	No	50	0.401366296	0	2788582.827	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	1231875	No	50	0.404365743	0	3281411.116	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	1847812.5	No	50	0.40370905	0	3866036.214	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	2771718.75	No	50	0.400245606	0	4553607.071	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	4157578.125	No	50	0.400307797	0	5355935.095	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	6236367.188	No	50	0.387972916	0	6299789.081	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	9354550.781	No	50	0.370516228	0	7373007.041	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	14031826.17	No	50	0.393087865	0	8568194.524	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	21047739.26	No	50	0.389372282	0	10048671.63	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	31571608.89	No	50	0.487922283	0	11767215.59	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	47357413.33	No	50	0.490094535	0	14341433.36	0.02872796	0	0	0	1	No Storage	0.00E+00
GH2 Pipeline (distribution)	2015	71036120	No	50	0.491882614	0	17494193.38	0.02872796	0	0	0	1	No Storage	0.00E+00
