Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_TAZ_202_link_1162_LH2_Truck_3_2041	link_1162	LH2 Truck Link	No	2041	30	26064.359827890425	1.0	30.0	623.2996443640064	51.74821572352757	0.0	No Storage	0.0
INFR_TAZ_3414_LH2_Truck_4_2041	TAZ_3414	LH2 Station (gas dispensing)	No	2041	20	7243.557801534225	1.0	0.0	1.681348358496345e6	269261.9439249433	0.0	No Storage	0.0
INFR_TAZ_3414_link_451_LH2_Truck_3_2041	link_451	LH2 Truck Link	No	2041	30	5828.985058685452	1.0	73.0	339.1910341417788	28.160662315418413	0.0	No Storage	0.0
INFR_TAZ_3414_link_529_LH2_Truck_3_2041	link_529	LH2 Truck Link	No	2041	30	76735.73910937022	1.0	83.0	5076.966931926519	421.50510174383925	0.0	No Storage	0.0
INFR_TAZ_3414_PipelineNodalStorage_3_2041	TAZ_3414	GH2 Pipeline Nodal Storage	No	2041	15	11065.165037358902	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_6106_link_106_LH2_Truck_3_2041	link_106	LH2 Truck Link	No	2041	30	81018.55517260078	1.0	8.0	516.657862403418	42.8944934601869	0.0	No Storage	0.0
INFR_TAZ_6701_LH2_Truck_4_2041	TAZ_6701	LH2 Station (gas dispensing)	No	2041	20	372300.3002350682	1.0	0.0	1.9813841864042971e6	329846.325713422	0.0	No Storage	0.0
INFR_TAZ_6701_link_797_LH2_Truck_3_2041	link_797	LH2 Truck Link	No	2041	30	1.3659146770172543e6	1.0	4.0	4355.240325972648	361.5851829118321	0.0	No Storage	0.0
INFR_TAZ_6701_PipelineNodalStorage_3_2041	TAZ_6701	GH2 Pipeline Nodal Storage	No	2041	15	436043.7871706793	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_5147_LH2_Truck_4_2041	TAZ_5147	LH2 Station (gas dispensing)	No	2041	20	10064.994314465672	1.0	0.0	1.6814500501790976e6	269278.2294853036	0.0	No Storage	0.0
INFR_TAZ_5147_link_75_LH2_Truck_3_2041	link_75	LH2 Truck Link	No	2041	30	1.1762687072714776e7	1.0	53.0	478037.43350592605	51897.89877415358	0.0	No Storage	0.0
INFR_TAZ_3604_link_216_LH2_Truck_3_2041	link_216	LH2 Truck Link	No	2041	30	541701.3887347953	1.0	10.0	4318.058390581671	358.49822653213795	0.0	No Storage	0.0
INFR_TAZ_3604_PipelineNodalStorage_3_2041	TAZ_3604	GH2 Pipeline Nodal Storage	No	2041	15	667675.5885629754	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_3687_LH2_Truck_4_2041	TAZ_3687	LH2 Station (gas dispensing)	No	2041	20	17543.62800986308	1.0	0.0	1.6814153477435184e6	269272.6720139944	0.0	No Storage	0.0
INFR_TAZ_3687_link_636_LH2_Truck_3_2041	link_636	LH2 Truck Link	No	2041	30	1.0008753397802747e6	1.0	25.0	19945.666785895806	1655.9493927504298	0.0	No Storage	0.0
INFR_TAZ_162_LH2_Truck_4_2041	TAZ_162	LH2 Station (gas dispensing)	No	2041	20	1.909938690723286e6	1.0	0.0	4.918943047364641e6	641688.2653991013	0.0	No Storage	0.0
INFR_TAZ_161_LH2_Truck_4_2041	TAZ_161	LH2 Station (gas dispensing)	No	2041	20	304876.2161260266	1.0	0.0	1.9190598480109298e6	318342.8705896826	0.0	No Storage	0.0
INFR_TAZ_161_link_1426_LH2_Truck_3_2041	link_1426	LH2 Truck Link	No	2041	30	1.909938690723287e6	1.0	37.0	56331.2920271685	4676.79370294099	0.0	No Storage	0.0
INFR_TAZ_4358_PipelineNodalStorage_3_2041	TAZ_4358	GH2 Pipeline Nodal Storage	No	2041	15	2.2340691019397257e6	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_5140_link_406_GH2truck_3_2041	link_406	GH2 Truck Link	No	2041	30	338597.4149715775	1.0	57.0	15280.726636022422	1288.37475417887	0.0	No Storage	0.0
INFR_TAZ_2108_link_1026_LH2_Truck_3_2041	link_1026	LH2 Truck Link	No	2041	30	3.6430108303306564e6	1.0	5.0	14068.813296167244	1406.447756928563	0.0	No Storage	0.0
INFR_TAZ_263_link_1241_LH2_Truck_3_2041	link_1241	LH2 Truck Link	No	2041	30	401835.84004928055	1.0	56.0	17937.638112683584	1489.236798093901	0.0	No Storage	0.0
INFR_TAZ_2009_link_859_LH2_Truck_3_2041	link_859	LH2 Truck Link	No	2041	30	16895.02050247963	1.0	31.0	417.49278906509096	34.66151008894288	0.0	No Storage	0.0
