Material	Technology	Year	Nameplate Capacity [kg/yr]	Production [unit/kg]	Production [unit/km/kg]
CO2 [g]	Existing or Planned Electrolysis	2010	1000000	0	0
NOx [g]	Existing or Planned Electrolysis	2010	1000000	0	0
PM10 [g]	Existing or Planned Electrolysis	2010	1000000	0	0
PM2.5 [g]	Existing or Planned Electrolysis	2010	1000000	0	0
SOx [g]	Existing or Planned Electrolysis	2010	1000000	0	0
GHG-100 [g]	Existing or Planned Electrolysis	2010	1000000	0	0
CO2 [g]	Existing or Planned Electrolysis	2025	1000000	0	0
NOx [g]	Existing or Planned Electrolysis	2025	1000000	0	0
PM10 [g]	Existing or Planned Electrolysis	2025	1000000	0	0
PM2.5 [g]	Existing or Planned Electrolysis	2025	1000000	0	0
SOx [g]	Existing or Planned Electrolysis	2025	1000000	0	0
GHG-100 [g]	Existing or Planned Electrolysis	2025	1000000	0	0
CO2 [g]	Existing or Planned Electrolysis	2010	50000	0	0
NOx [g]	Existing or Planned Electrolysis	2010	50000	0	0
PM10 [g]	Existing or Planned Electrolysis	2010	50000	0	0
PM2.5 [g]	Existing or Planned Electrolysis	2010	50000	0	0
SOx [g]	Existing or Planned Electrolysis	2010	50000	0	0
GHG-100 [g]	Existing or Planned Electrolysis	2010	50000	0	0
CO2 [g]	Existing or Planned Electrolysis	2025	50000	0	0
NOx [g]	Existing or Planned Electrolysis	2025	50000	0	0
PM10 [g]	Existing or Planned Electrolysis	2025	50000	0	0
PM2.5 [g]	Existing or Planned Electrolysis	2025	50000	0	0
SOx [g]	Existing or Planned Electrolysis	2025	50000	0	0
GHG-100 [g]	Existing or Planned Electrolysis	2025	50000	0	0
CO2 [tonne]	Existing or Planned Electrolysis	2005	1000000	0	0
NOx [tonne]	Existing or Planned Electrolysis	2005	1000000	0	0
PM10 [tonne]	Existing or Planned Electrolysis	2005	1000000	0	0
PM2.5 [tonne]	Existing or Planned Electrolysis	2005	1000000	0	0
SOx [tonne]	Existing or Planned Electrolysis	2005	1000000	0	0
GHG-100 [tonne]	Existing or Planned Electrolysis	2005	1000000	0	0
