Network_ID	Year	Period	Hydrogen_Price
TAZ_103	2026	1 Year	8.14
TAZ_103	2027	1 Year	7.74
TAZ_103	2028	1 Year	19.12
TAZ_103	2029	1 Year	3.54
TAZ_103	2030	1 Year	26.69
TAZ_109	2026	1 Year	5.93
TAZ_109	2027	1 Year	5.68
TAZ_109	2028	1 Year	5.66
TAZ_109	2029	1 Year	3.54
TAZ_109	2030	1 Year	19.5
TAZ_1192	2026	1 Year	5.89
TAZ_1192	2027	1 Year	5.65
TAZ_1192	2028	1 Year	5.62
TAZ_1192	2029	1 Year	3.53
TAZ_1192	2030	1 Year	18.83
TAZ_1227	2026	1 Year	5.89
TAZ_1227	2027	1 Year	5.64
TAZ_1227	2028	1 Year	5.62
TAZ_1227	2029	1 Year	3.53
TAZ_1227	2030	1 Year	25.37
TAZ_124	2026	1 Year	5.89
TAZ_124	2027	1 Year	5.65
TAZ_124	2028	1 Year	5.61
TAZ_124	2029	1 Year	3.51
TAZ_124	2030	1 Year	30.9
TAZ_129	2026	1 Year	5.9
TAZ_129	2027	1 Year	5.66
TAZ_129	2028	1 Year	5.62
TAZ_129	2029	1 Year	3.52
TAZ_129	2030	1 Year	26.51
TAZ_130	2026	1 Year	5.9
TAZ_130	2027	1 Year	5.66
TAZ_130	2028	1 Year	5.64
TAZ_130	2029	1 Year	3.53
TAZ_130	2030	1 Year	32.1
TAZ_1314	2028	1 Year	5.61
TAZ_1314	2029	1 Year	3.5
TAZ_1314	2030	1 Year	19.81
TAZ_1320	2027	1 Year	5.64
TAZ_1320	2028	1 Year	5.61
TAZ_1320	2029	1 Year	3.5
TAZ_1320	2030	1 Year	20.57
TAZ_1341	2030	1 Year	49.0
TAZ_1353	2026	1 Year	5.88
TAZ_1353	2027	1 Year	5.63
TAZ_1353	2028	1 Year	5.61
TAZ_1353	2029	1 Year	3.5
TAZ_1353	2030	1 Year	17.98
TAZ_156	2026	1 Year	6.19
TAZ_156	2027	1 Year	5.93
TAZ_156	2028	1 Year	7.08
TAZ_156	2029	1 Year	3.53
TAZ_156	2030	1 Year	16.14
TAZ_160	2026	1 Year	12.81
TAZ_160	2027	1 Year	12.06
TAZ_160	2028	1 Year	48.58
TAZ_160	2029	1 Year	3.53
TAZ_160	2030	1 Year	51.43
TAZ_1624	2030	1 Year	17.43
TAZ_164	2026	1 Year	5.91
TAZ_164	2027	1 Year	5.67
TAZ_164	2028	1 Year	5.64
TAZ_164	2029	1 Year	3.53
TAZ_164	2030	1 Year	27.55
TAZ_165	2026	1 Year	6.19
TAZ_165	2027	1 Year	5.93
TAZ_165	2028	1 Year	5.95
TAZ_165	2029	1 Year	3.53
TAZ_165	2030	1 Year	17.39
TAZ_166	2030	1 Year	21.49
TAZ_167	2026	1 Year	9.65
TAZ_167	2027	1 Year	5.66
TAZ_167	2028	1 Year	5.63
TAZ_167	2029	1 Year	3.53
TAZ_167	2030	1 Year	14.39
TAZ_1677	2026	1 Year	7.71
TAZ_1677	2027	1 Year	5.63
TAZ_1677	2028	1 Year	5.61
TAZ_1677	2029	1 Year	3.5
TAZ_1677	2030	1 Year	17.68
TAZ_1686	2030	1 Year	16.38
TAZ_1731	2030	1 Year	35.45
TAZ_1796	2030	1 Year	25.61
TAZ_1892	2026	1 Year	5.87
TAZ_1892	2027	1 Year	5.63
TAZ_1892	2028	1 Year	5.61
TAZ_1892	2029	1 Year	3.5
TAZ_1892	2030	1 Year	17.46
TAZ_1937	2026	1 Year	8.09
TAZ_1937	2027	1 Year	7.69
TAZ_1937	2028	1 Year	19.08
TAZ_1937	2029	1 Year	3.5
TAZ_1937	2030	1 Year	26.43
TAZ_1944	2026	1 Year	5.87
