Material	Year	Price [$/unit]	Billable?	Zone	Quantity [unit]
Biomass [MMBtu]	2019	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2020	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2021	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2022	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2023	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2024	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2025	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2026	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2027	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2028	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2029	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2030	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2031	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2032	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2033	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2034	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2035	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2036	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2037	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2038	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2039	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2040	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2015	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2016	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2017	30.7169118	True	USA	Infinity
Biomass [MMBtu]	2018	30.7169118	True	USA	Infinity
