Material	Zone	Year	Price [$/unit]	Billable?	Quantity [unit]
Electricity (Industrial) [kWh]	WECC-ExCA	2015	0.05605248	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2016	0.06071365	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2017	0.05897668	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2018	0.05350461	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2019	0.05146978	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2020	0.0510598	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2021	0.05202291	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2022	0.05430094	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2023	0.05472375	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2024	0.05403397	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2025	0.05434183	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2026	0.05359051	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2027	0.05296817	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2028	0.05255535	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2029	0.0520505	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2030	0.05184483	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2031	0.05208754	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2032	0.05283615	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2033	0.05301272	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2034	0.05306983	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2035	0.0531148	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2036	0.05314504	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2037	0.05339935	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2038	0.05359449	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2039	0.0535684	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2040	0.05380555	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2041	0.05393322	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2042	0.05363111	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2043	0.05325873	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2044	0.05319946	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2045	0.05325089	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2046	0.05327675	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2047	0.05337265	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2048	0.05352553	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2049	0.0536772	True	Infinity
Electricity (Industrial) [kWh]	WECC-ExCA	2050	0.05394905	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2015	0.09363923	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2016	0.13228349	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2017	0.13276459	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2018	0.12611865	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2019	0.1278438	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2020	0.12610813	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2021	0.12436521	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2022	0.12706145	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2023	0.12787108	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2024	0.12967778	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2025	0.13195642	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2026	0.13312049	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2027	0.13536333	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2028	0.13671252	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2029	0.13946433	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2030	0.14083278	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2031	0.14054	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2032	0.14038524	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2033	0.13975868	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2034	0.14009371	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2035	0.14265589	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2036	0.14293515	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2037	0.14321338	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2038	0.14315265	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2039	0.14257431	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2040	0.14267149	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2041	0.14274126	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2042	0.14290834	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2043	0.14371824	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2044	0.14414848	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2045	0.14383514	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2046	0.14445153	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2047	0.14512883	True	Infinity
Electricity (Industrial) [kWh]	NPCC	2048	0.14492628	True	Infinity
