Network ID	X	Y	Area [km^2]	Production?	Cost [$]	Cost [$/yr]	Population
TAZ_109	-123.7551974	41.15414774	0	No	0	0	0
TAZ_126	-120.6113409	40.33423392	0	No	0	0	0
TAZ_127	-120.1527092	40.13067992	0	No	0	0	0
TAZ_129	-121.0986112	41.59615791	0	No	0	0	0
TAZ_130	-120.5053709	41.57613233	0	No	0	0	0
TAZ_161	-122.0417556	41.79745984	0	No	0	0	0
TAZ_162	-122.4755034	41.88910996	0	No	0	0	0
TAZ_167	-122.327961	41.34747978	0	No	0	0	0
TAZ_202	-121.8872217	39.82471159	0	No	0	0	0
TAZ_228	-122.3578413	39.21909733	0	No	0	0	0
TAZ_263	-120.5351281	39.3930902	0	No	0	0	0
TAZ_337	-121.5961908	39.15078075	0	No	0	0	0
TAZ_419	-119.9661439	38.84199862	0	No	0	0	0
TAZ_427	-121.239248	38.75852507	0	No	0	0	0
TAZ_434	-120.4746973	39.24865131	0	No	0	0	0
TAZ_507	-121.4907997	38.59719828	0	No	0	0	0
TAZ_512	-121.5448718	38.61769233	0	No	0	0	0
TAZ_712	-121.3884115	38.35836191	0	No	0	0	0
TAZ_803	-122.3046695	38.62659407	0	No	0	0	0
TAZ_821	-122.2301481	38.2275359	0	No	0	0	0
TAZ_837	-121.9325855	38.4034437	0	No	0	0	0
TAZ_906	-122.7834663	38.16306366	0	No	0	0	0
TAZ_983	-122.5467285	38.21901059	0	No	0	0	0
TAZ_1080	-122.3941498	37.77581175	0	No	0	0	0
TAZ_1179	-122.4501599	37.6781211	0	No	0	0	0
TAZ_1283	-122.2999106	37.29036684	0	No	0	0	0
TAZ_1309	-122.0638217	37.90762263	0	No	0	0	0
TAZ_1320	-122.1111206	37.97708732	0	No	0	0	0
TAZ_1357	-121.8367534	37.93433042	0	No	0	0	0
TAZ_1360	-121.7682585	38.00875491	0	No	0	0	0
TAZ_1426	-122.1438473	37.71230371	0	No	0	0	0
TAZ_1607	-121.9328982	37.70877793	0	No	0	0	0
TAZ_1731	-122.0921589	37.39572355	0	No	0	0	0
TAZ_1796	-121.9737655	37.4414115	0	No	0	0	0
TAZ_1892	-121.6372932	37.73300432	0	No	0	0	0
TAZ_1944	-121.5158544	37.23578842	0	No	0	0	0
TAZ_2029	-121.2783983	37.94590387	0	No	0	0	0
TAZ_2046	-121.244802	37.88544581	0	No	0	0	0
TAZ_2101	-121.3423836	38.09147491	0	No	0	0	0
TAZ_2133	-121.4580267	37.92184048	0	No	0	0	0
TAZ_2227	-120.83017	37.88664183	0	No	0	0	0
TAZ_2308	-120.2255339	37.22345364	0	No	0	0	0
TAZ_2313	-120.7387754	37.00501531	0	No	0	0	0
TAZ_2473	-119.7843615	36.74965978	0	No	0	0	0
TAZ_2525	-120.385926	36.55101251	0	No	0	0	0
TAZ_2546	-119.758004	37.01063569	0	No	0	0	0
TAZ_2550	-120.0715575	37.04857942	0	No	0	0	0
TAZ_2605	-119.9439604	36.13865318	0	No	0	0	0
TAZ_2624	-119.5516676	36.10803667	0	No	0	0	0
TAZ_2739	-119.3929777	35.89036438	0	No	0	0	0
TAZ_2744	-119.2733743	36.04777622	0	No	0	0	0
TAZ_2798	-118.5035739	35.53020001	0	No	0	0	0
TAZ_2822	-118.8837604	35.17536906	0	No	0	0	0
TAZ_2900	-119.1504016	34.94732296	0	No	0	0	0
TAZ_2903	-118.3411621	34.85656682	0	No	0	0	0
TAZ_2914	-119.7677045	35.64794159	0	No	0	0	0
TAZ_2935	-118.3378142	35.28019403	0	No	0	0	0
TAZ_2949	-119.1956971	35.64336995	0	No	0	0	0
TAZ_3000	-119.8206038	38.59709408	0	No	0	0	0
TAZ_3011	-120.640045	38.23786764	0	No	0	0	0
TAZ_3022	-118.519674	37.69179354	0	No	0	0	0
TAZ_3130	-121.7700755	36.90478968	0	No	0	0	0
TAZ_3202	-121.6519014	36.72672958	0	No	0	0	0
TAZ_3252	-120.9108101	35.9605172	0	No	0	0	0
TAZ_3265	-121.2187534	36.38454466	0	No	0	0	0
TAZ_3304	-120.3193401	35.56187448	0	No	0	0	0
TAZ_3321	-120.4954828	35.03068458	0	No	0	0	0
TAZ_3626	-118.081672	34.43290814	0	No	0	0	0
TAZ_3802	-118.6376198	34.05522081	0	No	0	0	0
TAZ_4352	-118.321677	34.1009548	0	No	0	0	0
TAZ_4463	-118.4715861	34.07403101	0	No	0	0	0
TAZ_4619	-118.2172555	33.76029781	0	No	0	0	0
TAZ_5111	-116.8824617	34.97922775	0	No	0	0	0
TAZ_5138	-115.4686547	34.93416076	0	No	0	0	0
TAZ_5140	-116.6001653	35.43786971	0	No	0	0	0
TAZ_5147	-116.0727102	34.17537893	0	No	0	0	0
TAZ_5148	-114.8027811	34.50521038	0	No	0	0	0
TAZ_5161	-116.9188934	34.46217182	0	No	0	0	0
TAZ_5195	-116.4406487	34.84499495	0	No	0	0	0
TAZ_5439	-117.6048688	33.92872563	0	No	0	0	0
