Network ID	Zone	Fraction
TAZ_6668	Zone_WEC_SDGE	1
TAZ_6609	Zone_WEC_SDGE	1
TAZ_6631	Zone_WEC_SDGE	1
TAZ_6649	Zone_WEC_SDGE	1
TAZ_6133	Zone_WEC_SDGE	1
TAZ_6658	Zone_WEC_SDGE	1
TAZ_6428	Zone_WEC_SDGE	1
TAZ_6561	Zone_WEC_SDGE	1
TAZ_6101	Zone_WEC_SDGE	1
TAZ_6424	Zone_WEC_SDGE	1
TAZ_5612	Zone_WECC_IID	1
TAZ_6407	Zone_WEC_SDGE	1
TAZ_5611	Zone_WECC_IID	1
TAZ_6508	Zone_WEC_SDGE	1
TAZ_5699	Zone_WECC_IID	1
TAZ_5613	Zone_WECC_IID	1
TAZ_5608	Zone_WECC_IID	1
TAZ_6554	Zone_WEC_SDGE	1
TAZ_6134	Zone_WEC_SDGE	1
TAZ_6135	Zone_WEC_SDGE	1
TAZ_5609	Zone_WECC_IID	1
TAZ_6545	Zone_WEC_SDGE	1
TAZ_5607	Zone_WECC_IID	1
TAZ_6836	Zone_WECC_IID	1
TAZ_5606	Zone_WECC_IID	1
TAZ_6303	Zone_WEC_SDGE	1
TAZ_5604	Zone_WECC_IID	1
TAZ_5616	Zone_WECC_IID	1
TAZ_6105	Zone_WEC_SDGE	1
TAZ_5602	Zone_WECC_IID	1
TAZ_5603	Zone_WECC_IID	1
WEC_SDGE	Zone_WEC_SDGE	1
TAZ_5601	Zone_WECC_IID	1
TAZ_6106	Zone_WEC_SDGE	1
WECC_IID	Zone_WECC_IID	1
TAZ_6227	Zone_WEC_SDGE	1
TAZ_6273	Zone_WEC_SDGE	1
TAZ_6100	Zone_WEC_SDGE	1
TAZ_6207	Zone_WEC_SDGE	1
TAZ_5614	Zone_WECC_IID	1
TAZ_5615	Zone_WECC_IID	1
TAZ_6102	Zone_WEC_SDGE	1
TAZ_6108	Zone_WEC_SDGE	1
TAZ_6245	Zone_WEC_SDGE	1
TAZ_5600	Zone_WECC_IID	1
TAZ_6120	Zone_WEC_SDGE	1
TAZ_6251	Zone_WEC_SDGE	1
TAZ_6001	Zone_WECC_SCE	1
TAZ_6003	Zone_WECC_SCE	1
TAZ_6005	Zone_WECC_SCE	1
TAZ_5698	Zone_WECC_SCE	1
TAZ_6840	Zone_WECC_SCE	1
TAZ_5637	Zone_WECC_SCE	1
TAZ_5550	Zone_WECC_SCE	1
TAZ_6014	Zone_WECC_SCE	1
TAZ_6099	Zone_WECC_SCE	1
TAZ_5541	Zone_WECC_SCE	1
TAZ_6037	Zone_WECC_SCE	1
TAZ_5546	Zone_WECC_SCE	1
TAZ_6053	Zone_WECC_SCE	1
TAZ_5917	Zone_WECC_SCE	1
TAZ_6048	Zone_WECC_SCE	1
TAZ_5669	Zone_WECC_SCE	1
TAZ_5973	Zone_WECC_SCE	1
TAZ_6098	Zone_WECC_SCE	1
TAZ_5803	Zone_WECC_SCE	1
TAZ_5853	Zone_WECC_SCE	1
Cavern_18	Zone_WECC_AZ	1
TAZ_4619	Zone_WEC_LADW	1
TAZ_5520	Zone_WECC_SCE	1
TAZ_5691	Zone_WECC_SCE	1
TAZ_5670	Zone_WECC_SCE	1
TAZ_4750	Zone_WEC_LADW	1
TAZ_5680	Zone_WECC_SCE	1
TAZ_4732	Zone_WEC_LADW	1
TAZ_4731	Zone_WEC_LADW	1
TAZ_5693	Zone_WECC_SCE	1
TAZ_4730	Zone_WEC_LADW	1
TAZ_5460	Zone_WECC_SCE	1
TAZ_5788	Zone_WECC_SCE	1
TAZ_5785	Zone_WECC_SCE	1
TAZ_5758	Zone_WECC_SCE	1
TAZ_5681	Zone_WECC_SCE	1
TAZ_5625	Zone_WECC_SCE	1
TAZ_5439	Zone_WECC_SCE	1
TAZ_5638	Zone_WECC_SCE	1
TAZ_5668	Zone_WECC_SCE	1
TAZ_5632	Zone_WECC_SCE	1
TAZ_5482	Zone_WECC_SCE	1
TAZ_5634	Zone_WECC_SCE	1
TAZ_4428	Zone_WEC_LADW	1
TAZ_4436	Zone_WEC_LADW	1
TAZ_5492	Zone_WECC_SCE	1
TAZ_4421	Zone_WEC_LADW	1
TAZ_5624	Zone_WECC_SCE	1
TAZ_5011	Zone_WEC_LADW	1
TAZ_5694	Zone_WECC_SCE	1
TAZ_4403	Zone_WEC_LADW	1
TAZ_4400	Zone_WEC_LADW	1
TAZ_3803	Zone_WEC_LADW	1
TAZ_3802	Zone_WEC_LADW	1
TAZ_4463	Zone_WEC_LADW	1
TAZ_4361	Zone_WEC_LADW	1
TAZ_4355	Zone_WEC_LADW	1
TAZ_4354	Zone_WEC_LADW	1
TAZ_4353	Zone_WEC_LADW	1
TAZ_4352	Zone_WEC_LADW	1
TAZ_5145	Zone_WECC_SCE	1
TAZ_4930	Zone_WEC_LADW	1
TAZ_5146	Zone_WECC_SCE	1
