Technology	Year	Nameplate Capacity [kg/yr]	Maximum Utilization [kg/kg]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [fraction of CapCost/y]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Storage Technology
Central Natural Gas Reforming w/CCS	2040	82490000	0.9	Central	40	0.6	225881141.3	0	0.039520844	0	0.352608714	0	No Storage
Central Natural Gas Reforming w/CCS	2040	86140000	0.9	Central	40	0.6	231825983.9	0	0.039290463	0	0.349836893	0	No Storage
Central Natural Gas Reforming w/CCS	2040	89790000	0.9	Central	40	0.6	237670880	0	0.039072897	0	0.34704373	0	No Storage
Central Natural Gas Reforming w/CCS	2040	93440000	0.9	Central	40	0.6	243421474.6	0	0.038866954	0	0.34314589	0	No Storage
Central Natural Gas Reforming w/CCS	2040	97090000	0.9	Central	40	0.6	249082887.6	0	0.038671594	0	0.337820227	0	No Storage
Central Natural Gas Reforming w/CCS	2040	100740000	0.9	Central	40	0.6	254659779.7	0	0.038485906	0	0.332494902	0	No Storage
Central Natural Gas Reforming w/CCS	2040	104390000	0.9	Central	40	0.6	260156409.3	0	0.038309084	0	0.329980298	0	No Storage
Central Natural Gas Reforming w/CCS	2040	108040000	0.9	Central	40	0.6	265576679.4	0	0.038140418	0	0.327710852	0	No Storage
Central Natural Gas Reforming w/CCS	2040	111690000	0.9	Central	40	0.6	270924178.9	0	0.037979274	0	0.325404044	0	No Storage
Central Natural Gas Reforming w/CCS	2040	115340000	0.9	Central	40	0.6	276202216.5	0	0.037825087	0	0.32288734	0	No Storage
Central Natural Gas Reforming w/CCS	2040	118990000	0.9	Central	40	0.6	281413851.4	0	0.03767735	0	0.320370851	0	No Storage
Central Natural Gas Reforming w/CCS	2040	122640000	0.9	Central	40	0.6	286561918.6	0	0.037535608	0	0.318113246	0	No Storage
Central Natural Gas Reforming w/CCS	2040	126290000	0.9	Central	40	0.6	291649052	0	0.037399449	0	0.318014322	0	No Storage
Central Natural Gas Reforming w/CCS	2040	129940000	0.9	Central	40	0.6	296677703.5	0	0.037268501	0	0.317915566	0	No Storage
Central Natural Gas Reforming w/CCS	2040	133590000	0.9	Central	40	0.6	301650160.8	0	0.037142428	0	0.317816968	0	No Storage
Central Natural Gas Reforming w/CCS	2040	137240000	0.9	Central	40	0.6	306568562	0	0.03702092	0	0.315518118	0	No Storage
Central Natural Gas Reforming w/CCS	2040	140890000	0.9	Central	40	0.6	311434909.9	0	0.036903699	0	0.312515836	0	No Storage
Central Natural Gas Reforming w/CCS	2040	144540000	0.9	Central	40	0.6	316251083	0	0.036790507	0	0.309513681	0	No Storage
Central Natural Gas Reforming w/CCS	2040	148190000	0.9	Central	40	1	321018846.6	0	0.03668111	0	0.30662802	0	No Storage
Onsite Electrolysis (PEM)	2015	618675	0.859669	Onsite	20	0.859603	4000000	0	0.052340478	0	0.620714273	0	No Storage
Onsite Electrolysis (PEM)	2040	647692.5	0.859669	Onsite	20	0.905743	2290614.273	0	0.053339862	0	0.63736751	0	No Storage
