Technology	Year	Nameplate Capacity [kg/yr]	Maximum Utilization [kg/kg]	Production?	Lifetime [yr]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]	Storage Technology
Central Grid Electrolysis (PEM)	2015	6.19E+05	0.859668853	Central	40	0.940422659	3808964.001	0	670198.0048	0	0.029529848	0	No Storage
Central Grid Electrolysis (PEM)	2015	2.06E+07	0.97	Central	40	1	103028303.1	0	18128121.75	0	0.024377436	0	No Storage
Central Grid Electrolysis (PEM)	2020	6.24E+05	0.859668853	Central	40	0.935643926	3443914.994	0	605966.598	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2020	2.08E+07	0.97	Central	40	1	91606158.54	0	16118363.07	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2025	6.30E+05	0.859668853	Central	40	0.930865193	3113583.15	0	547843.7744	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2025	2.10E+07	0.97	Central	40	1	81443285.69	0	14330176.8	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2030	6.36E+05	0.859668853	Central	40	0.926086461	2814697.264	0	495253.956	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2030	2.12E+07	0.97	Central	40	1	72401752.47	0	12739293.42	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2035	6.42E+05	0.859668853	Central	40	0.921307728	2544290.872	0	447675.1856	0	0.029102935	0	No Storage
Central Grid Electrolysis (PEM)	2035	2.14E+07	0.97	Central	40	1	64358619.06	0	11324081.32	0	0.023571243	0	No Storage
Central Grid Electrolysis (PEM)	2040	6.48E+05	0.859668853	Central	40	0.916528995	2299674.27	0	404634.2015	0	0.028676023	0	No Storage
Central Grid Electrolysis (PEM)	2040	2.16E+07	0.97	Central	40	1	57204323.32	0	10065262.72	0	0.02276505	0	No Storage
Central Natural Gas Reforming w/CCS	2015	2.19E+06	0.9	Central	40	0.6	31974320.95	0	5625972.337	0	4.413173479	0	No Storage
Central Natural Gas Reforming w/CCS	2015	5.84E+06	0.9	Central	40	0.6	57594706.48	0	10133951.74	0	1.81082239	0	No Storage
Central Natural Gas Reforming w/CCS	2015	9.49E+06	0.9	Central	40	0.6	77071637.89	0	13560972.99	0	1.20359491	0	No Storage
Central Natural Gas Reforming w/CCS	2015	1.31E+07	0.9	Central	40	0.6	93689750.02	0	16484976.89	0	0.931323743	0	No Storage
Central Natural Gas Reforming w/CCS	2015	1.68E+07	0.9	Central	40	0.6	108533867.4	0	19096841.39	0	0.775291507	0	No Storage
Central Natural Gas Reforming w/CCS	2015	2.04E+07	0.9	Central	40	0.6	122130292.1	0	21489170.83	0	0.681297046	0	No Storage
Central Natural Gas Reforming w/CCS	2015	2.41E+07	0.9	Central	40	0.6	134783565.6	0	23715550.13	0	0.630574775	0	No Storage
Central Natural Gas Reforming w/CCS	2015	2.77E+07	0.9	Central	40	0.6	146689401	0	25810415.59	0	0.575569053	0	No Storage
Central Natural Gas Reforming w/CCS	2015	3.14E+07	0.9	Central	40	0.6	157982743.2	0	27797511.14	0	0.532330466	0	No Storage
Central Natural Gas Reforming w/CCS	2015	3.50E+07	0.9	Central	40	0.6	168761477.7	0	29694060.02	0	0.49787178	0	No Storage
Central Natural Gas Reforming w/CCS	2015	3.87E+07	0.9	Central	40	0.6	179099386.8	0	31513044.4	0	0.470593114	0	No Storage
Central Natural Gas Reforming w/CCS	2015	4.23E+07	0.9	Central	40	0.6	189053783.5	0	33264548.7	0	0.447588119	0	No Storage
Central Natural Gas Reforming w/CCS	2015	4.60E+07	0.9	Central	40	0.6	198670281.3	0	34956598.73	0	0.438331779	0	No Storage
Central Natural Gas Reforming w/CCS	2015	4.96E+07	0.9	Central	40	0.6	207985914.8	0	36595710.82	0	0.424685011	0	No Storage
Central Natural Gas Reforming w/CCS	2015	5.33E+07	0.9	Central	40	0.6	217031260.7	0	38187265.05	0	0.409178589	0	No Storage
Central Natural Gas Reforming w/CCS	2015	5.69E+07	0.9	Central	40	0.6	225831926.2	0	39735767.07	0	0.395400565	0	No Storage
Central Natural Gas Reforming w/CCS	2015	6.06E+07	0.9	Central	40	0.6	234409620.9	0	41245036.76	0	0.383905328	0	No Storage
Central Natural Gas Reforming w/CCS	2015	6.42E+07	0.9	Central	40	0.6	242782947.9	0	42718347.36	0	0.375551771	0	No Storage
