Network ID	Territory	Fraction
00199 | Aberdeen--Bel Air South--Bel Air North, MD	USA	1
00280 | Abilene, TX	USA	1
00766 | Akron, OH	USA	1
00820 | Alamogordo, NM	USA	1
00955 | Albany, OR	USA	1
00970 | Albany--Schenectady, NY	USA	1
01171 | Albuquerque, NM	USA	1
01495 | Allentown, PA--NJ	USA	1
01792 | Altoona, PA	USA	1
01927 | Amarillo, TX	USA	1
02413 | Anderson, SC	USA	1
02602 | Ann Arbor, MI	USA	1
02683 | Antioch, CA	USA	1
02764 | Appleton, WI	USA	1
02926 | Arcata-McKinleyville, CA	USA	1
03196 | Arroyo Grande--Grover Beach, CA	USA	1
03358 | Asheville, NC	USA	1
03763 | Athens-Clarke County, GA	USA	1
03817 | Atlanta, GA	USA	1
03898 | Atlantic City, NJ	USA	1
04114 | Auburn, NY	USA	1
04130 | Auburn--North Auburn, CA	USA	1
04222 | Augusta-Richmond County, GA--SC	USA	1
04384 | Austin, TX	USA	1
04549 | Avondale--Goodyear, AZ	USA	1
04681 | Bakersfield, CA	USA	1
04843 | Baltimore, MD	USA	1
04951 | Bangor, ME	USA	1
05167 | Barnstable Town, MA	USA	1
06058 | Beaumont, TX	USA	1
06652 | Bellingham, WA	USA	1
06760 | Beloit, WI--IL	USA	1
06868 | Bend, OR	USA	1
07138 | Benton Harbor--St. Joseph--Fair Plain, MI	USA	1
07705 | Billings, MT	USA	1
07732 | Binghamton, NY--PA	USA	1
07786 | Birmingham, AL	USA	1
07921 | Bismarck, ND	USA	1
08407 | Bloomington--Normal, IL	USA	1
08434 | Bloomsburg--Berwick, PA	USA	1
08785 | Boise City, ID	USA	1
08974 | Bonita Springs, FL	USA	1
09271 | Boston, MA--NH--RI	USA	1
09298 | Boulder, CO	USA	1
09514 | Bozeman, MT	USA	1
09946 | Bremerton, WA	USA	1
10162 | Bridgeport--Stamford, CT--NY	USA	1
10189 | Bridgeton, NJ	USA	1
10891 | Browns Mills--Fort Dix, NJ	USA	1
10972 | Brownsville, TX	USA	1
11350 | Buffalo, NY	USA	1
11431 | Bullhead City, AZ--NV	USA	1
11755 | Burlington, VT	USA	1
12052 | Butte-Silver Bow, MT	USA	1
12754 | Camarillo, CA	USA	1
13375 | Canton, OH	USA	1
13510 | Cape Coral, FL	USA	1
14158 | Carson City, NV	USA	1
14401 | Casa Grande, AZ	USA	1
14482 | Casper, WY	USA	1
14698 | Cedar City, UT	USA	1
14752 | Cedar Rapids, IA	USA	1
15076 | Centralia, WA	USA	1
15184 | Chambersburg, PA	USA	1
15211 | Champaign, IL	USA	1
15508 | Charleston--North Charleston, SC	USA	1
15670 | Charlotte, NC--SC	USA	1
15724 | Charlottesville, VA	USA	1
15832 | Chattanooga, TN--GA	USA	1
16237 | Cheyenne, WY	USA	1
16264 | Chicago, IL--IN	USA	1
16318 | Chico, CA	USA	1
16885 | Cincinnati, OH--KY--IN	USA	1
17533 | Cleburne, TX	USA	1
17668 | Cleveland, OH	USA	1
18289 | Coalinga, CA	USA	1
18451 | Coeur d'Alene, ID	USA	1
18748 | College Station--Bryan, TX	USA	1
18856 | Colorado Springs, CO	USA	1
18964 | Columbia, SC	USA	1
19234 | Columbus, OH	USA	1
19504 | Concord, CA	USA	1
19531 | Concord, NH	USA	1
19558 | Concord, NC	USA	1
19755 | Conroe--The Woodlands, TX	USA	1
20287 | Corpus Christi, TX	USA	1
20422 | Corvallis, OR	USA	1
21745 | Cumberland, MD--WV--PA	USA	1
22042 | Dallas--Fort Worth--Arlington, TX	USA	1
22096 | Danbury, CT--NY	USA	1
22366 | Davenport, IA--IL	USA	1
22420 | Davis, CA	USA	1
22528 | Dayton, OH	USA	1
22960 | DeKalb, IL	USA	1
22987 | Delano, CA	USA	1
23203 | Del Rio, TX	USA	1
23500 | Denton--Lewisville, TX	USA	1
23527 | Denver--Aurora, CO	USA	1
23743 | Des Moines, IA	USA	1
23824 | Detroit, MI	USA	1
24580 | Dover, DE	USA	1
24607 | Dover--Rochester, NH--ME	USA	1
24850 | Duluth, MN--WI	USA	1
25228 | Durham, NC	USA	1
25849 | East Stroudsburg, PA--NJ	USA	1
26038 | Eau Claire, WI	USA	1
26416 | El Centro--Calexico, CA	USA	1
26794 | Elkhart, IN--MI	USA	1
27118 | Elmira, NY	USA	1
27253 | El Paso, TX--NM	USA	1
27261 | El Paso de Robles (Paso Robles)--Atascadero, CA	USA	1
27766 | Erie, PA	USA	1
28117 | Eugene, OR	USA	1
28198 | Eureka, CA	USA	0.99999999999998
28657 | Fairfield, CA	USA	1
29089 | Fargo, ND--MN	USA	1
29278 | Farmington, NM	USA	1
29440 | Fayetteville, NC	USA	1
29818 | Flagstaff, AZ	USA	1
30628 | Fort Collins, CO	USA	1
31087 | Fort Wayne, IN	USA	1
31150 | Four Corners, FL	USA	1
31450 | Franklin--Highland Lake, NJ	USA	1
31519 | Frederick, MD	USA	1
31600 | Fredericksburg, VA	USA	1
31843 | Fresno, CA	USA	1
32167 | Gainesville, FL	USA	1
32194 | Gainesville, GA	USA	1
32491 | Galveston, TX	USA	0.999999999999992
33247 | Gillette, WY	USA	1
33328 | Gilroy--Morgan Hill, CA	USA	1
33598 | Glens Falls, NY	USA	1
34273 | Grand Junction, CO	USA	1
34300 | Grand Rapids, MI	USA	1
34516 | Grants Pass, OR	USA	1
34597 | Grass Valley, CA	USA	1
34759 | Great Falls, MT	USA	1
34786 | Greeley, CO	USA	1
34813 | Green Bay, WI	USA	0.999999999999997
35164 | Greensboro, NC	USA	1
35380 | Greenville, NC	USA	1
35461 | Greenville, SC	USA	1
36055 | Gustine, CA	USA	1
36190 | Hagerstown, MD--WV--PA	USA	1
36703 | Hanford, CA	USA	1
36784 | Hanover, PA	USA	1
37081 | Harrisburg, PA	USA	1
37162 | Harrisonburg, VA	USA	1
37243 | Hartford, CT	USA	1
37945 | Hazleton, PA	USA	1
38161 | Helena, MT	USA	1
38215 | Hemet, CA	USA	1
38647 | Hickory, NC	USA	1
39079 | Hilton Head Island, SC	USA	1
39214 | Hobbs, NM	USA	1
39511 | Hollister, CA	USA	1
40429 | Houston, TX	USA	1
40780 | Huntsville, AL	USA	1
40996 | Idaho Falls, ID	USA	1
41212 | Indianapolis, IN	USA	1
41347 | Indio--Cathedral City, CA	USA	1
41590 | Iowa City, IA	USA	1
41914 | Ithaca, NY	USA	1
42346 | Jacksonville, FL	USA	1
43291 | Johnstown, PA	USA	1
43723 | Kalamazoo, MI	USA	1
43777 | Kalispell, MT	USA	1
43885 | Kankakee, IL	USA	1
43912 | Kansas City, MO--KS	USA	1
44479 | Kennewick--Pasco, WA	USA	1
44506 | Kenosha, WI--IL	USA	1
44992 | Killeen, TX	USA	1
45127 | Kingman, AZ	USA	1
45262 | Kingston, NY	USA	1
45451 | Kissimmee, FL	USA	1
45505 | Klamath Falls--Altamont, OR	USA	1
45640 | Knoxville, TN	USA	1
45910 | La Crosse, WI--MN	USA	1
45937 | Lady Lake--The Villages, FL	USA	1
46018 | Lafayette, IN	USA	1
46126 | Lafayette--Louisville--Erie, CO	USA	1
46747 | Lake Havasu City, AZ	USA	1
47530 | Lancaster, PA	USA	1
47611 | Lancaster--Palmdale, CA	USA	1
47719 | Lansing, MI	USA	1
47827 | Laramie, WY	USA	1
47854 | Laredo, TX	USA	0.999999999999999
47935 | Las Cruces, NM	USA	1
47995 | Las Vegas--Henderson, NV	USA	1
48664 | Lebanon, PA	USA	1
48826 | Lee's Summit, MO	USA	1
49096 | Leominster--Fitchburg, MA	USA	1
49312 | Lewiston, ID--WA	USA	1
49582 | Lexington-Fayette, KY	USA	1
49594 | Lexington Park--California--Chesapeake Ranch Estates, MD	USA	1
49933 | Lincoln, NE	USA	1
50392 | Little Rock, AR	USA	1
50527 | Livermore, CA	USA	1
50851 | Lodi, CA	USA	1
50959 | Logan, UT	USA	1
51040 | Lompoc, CA	USA	1
51175 | Longmont, CO	USA	1
51283 | Longview, WA--OR	USA	1
51445 | Los Angeles--Long Beach--Anaheim, CA	USA	1
51472 | Los Banos, CA	USA	1
51499 | Los Lunas, NM	USA	1
51755 | Louisville/Jefferson County, KY--IN	USA	1
51877 | Lubbock, TX	USA	1
52201 | Lynchburg, VA	USA	1
52390 | McAllen, TX	USA	1
52687 | McKinney, TX	USA	1
52741 | McMinnville, OR	USA	1
52984 | Madera, CA	USA	1
53200 | Madison, WI	USA	1
53740 | Manchester, NH	USA	1
53794 | Mandeville--Covington, LA	USA	1
54145 | Manteca, CA	USA	1
54477 | Maricopa, AZ	USA	1
55333 | Marysville, WA	USA	1
55603 | Mauldin--Simpsonville, SC	USA	1
55981 | Medford, OR	USA	1
56116 | Memphis, TN--MS--AR	USA	1
56251 | Merced, CA	USA	1
56602 | Miami, FL	USA	1
56656 | Michigan City--La Porte, IN--MI	USA	1
56899 | Middletown, NY	USA	1
57007 | Midland, TX	USA	1
57439 | Milton--Lewisburg, PA	USA	1
57466 | Milwaukee, WI	USA	1
57628 | Minneapolis--St. Paul, MN--WI	USA	1
57709 | Mission Viejo--Lake Forest--San Clemente, CA	USA	1
57736 | Missoula, MT	USA	1
58006 | Modesto, CA	USA	1
59518 | Moses Lake, WA	USA	1
60490 | Mount Vernon, WA	USA	1
60799 | Murrieta--Temecula--Menifee, CA	USA	1
60841 | Muskegon, MI	USA	1
60895 | Myrtle Beach--Socastee, SC--NC	USA	1
60976 | Nampa, ID	USA	1
61057 | Napa, CA	USA	1
61165 | Nashua, NH--MA	USA	1
61273 | Nashville-Davidson, TN	USA	1
61786 | New Bedford, MA	USA	1
62407 | New Haven, CT	USA	1
62677 | New Orleans, LA	USA	1
63217 | New York--Newark, NY--NJ--CT	USA	1
63325 | Nogales, AZ	USA	1
63433 | Norman, OK	USA	1
63838 | North Port--Port Charlotte, FL	USA	1
64135 | Norwich--New London, CT--RI	USA	1
64378 | Oak Harbor, WA	USA	0.999999999999968
64660 | Ocean Pines, MD--DE	USA	1
64864 | Odessa, TX	USA	1
64945 | Ogden--Layton, UT	USA	1
