Network ID	Territory	Fraction
00199 | Aberdeen--Bel Air South--Bel Air North, MD	Non-CA ZEV	1
00280 | Abilene, TX	Non-ZEV	1
00766 | Akron, OH	Non-ZEV	1
00820 | Alamogordo, NM	Non-ZEV	1
00955 | Albany, OR	Non-CA ZEV	1
00970 | Albany--Schenectady, NY	Non-CA ZEV	1
01171 | Albuquerque, NM	Non-ZEV	1
01495 | Allentown, PA--NJ	Non-CA ZEV	1
01792 | Altoona, PA	Non-ZEV	1
01927 | Amarillo, TX	Non-ZEV	1
02413 | Anderson, SC	Non-ZEV	1
02602 | Ann Arbor, MI	Non-ZEV	1
02683 | Antioch, CA	CA	1
02764 | Appleton, WI	Non-ZEV	1
02926 | Arcata-McKinleyville, CA	CA	1
03196 | Arroyo Grande--Grover Beach, CA	CA	1
03358 | Asheville, NC	Non-ZEV	1
03763 | Athens-Clarke County, GA	Non-ZEV	1
03817 | Atlanta, GA	Non-ZEV	1
03898 | Atlantic City, NJ	Non-CA ZEV	1
04114 | Auburn, NY	Non-CA ZEV	1
04130 | Auburn--North Auburn, CA	CA	1
04222 | Augusta-Richmond County, GA--SC	Non-ZEV	1
04384 | Austin, TX	Non-ZEV	1
04549 | Avondale--Goodyear, AZ	Non-ZEV	1
04681 | Bakersfield, CA	CA	1
04843 | Baltimore, MD	Non-CA ZEV	1
04951 | Bangor, ME	Non-CA ZEV	1
05167 | Barnstable Town, MA	Non-CA ZEV	1
06058 | Beaumont, TX	Non-ZEV	1
06652 | Bellingham, WA	Non-ZEV	1
06760 | Beloit, WI--IL	Non-ZEV	1
06868 | Bend, OR	Non-CA ZEV	1
07138 | Benton Harbor--St. Joseph--Fair Plain, MI	Non-ZEV	1
07705 | Billings, MT	Non-ZEV	1
07732 | Binghamton, NY--PA	Non-CA ZEV	1
07786 | Birmingham, AL	Non-ZEV	1
07921 | Bismarck, ND	Non-ZEV	1
08407 | Bloomington--Normal, IL	Non-ZEV	1
08434 | Bloomsburg--Berwick, PA	Non-ZEV	1
08785 | Boise City, ID	Non-ZEV	1
08974 | Bonita Springs, FL	Non-ZEV	1
09271 | Boston, MA--NH--RI	Non-CA ZEV	1
09298 | Boulder, CO	Non-ZEV	1
09514 | Bozeman, MT	Non-ZEV	1
09946 | Bremerton, WA	Non-ZEV	1
10162 | Bridgeport--Stamford, CT--NY	Non-CA ZEV	1
10189 | Bridgeton, NJ	Non-CA ZEV	1
10891 | Browns Mills--Fort Dix, NJ	Non-CA ZEV	1
10972 | Brownsville, TX	Non-ZEV	1
11350 | Buffalo, NY	Non-CA ZEV	1
11431 | Bullhead City, AZ--NV	Non-ZEV	1
11755 | Burlington, VT	Non-CA ZEV	1
12052 | Butte-Silver Bow, MT	Non-ZEV	1
12754 | Camarillo, CA	CA	1
13375 | Canton, OH	Non-ZEV	1
13510 | Cape Coral, FL	Non-ZEV	1
14158 | Carson City, NV	Non-ZEV	1
14401 | Casa Grande, AZ	Non-ZEV	1
14482 | Casper, WY	Non-ZEV	1
14698 | Cedar City, UT	Non-ZEV	1
14752 | Cedar Rapids, IA	Non-ZEV	1
15076 | Centralia, WA	Non-ZEV	1
15184 | Chambersburg, PA	Non-ZEV	1
15211 | Champaign, IL	Non-ZEV	1
15508 | Charleston--North Charleston, SC	Non-ZEV	1
15670 | Charlotte, NC--SC	Non-ZEV	1
15724 | Charlottesville, VA	Non-ZEV	1
15832 | Chattanooga, TN--GA	Non-ZEV	1
16237 | Cheyenne, WY	Non-ZEV	1
16264 | Chicago, IL--IN	Non-ZEV	1
