Network ID	Zone	Fraction
00199 | Aberdeen--Bel Air South--Bel Air North, MD	p123	1.0
00280 | Abilene, TX	p61	1.0
00766 | Akron, OH	p111	1.0
00820 | Alamogordo, NM	p31	1.0
00955 | Albany, OR	p5	1.0
00970 | Albany--Schenectady, NY	p127	1.0
01171 | Albuquerque, NM	p31	1.0
01495 | Allentown, PA--NJ	p122	1.0
01792 | Altoona, PA	p122	1.0
01927 | Amarillo, TX	p48	1.0
02413 | Anderson, SC	p95	1.0
02602 | Ann Arbor, MI	p103	1.0
02683 | Antioch, CA	p9	1.0
02764 | Appleton, WI	p76	1.0
02926 | Arcata-McKinleyville, CA	p9	0.999999999999999
03196 | Arroyo Grande--Grover Beach, CA	p9	1.0
03358 | Asheville, NC	p97	1.0
03763 | Athens-Clarke County, GA	p94	1.0
03817 | Atlanta, GA	p94	1.0
03898 | Atlantic City, NJ	p126	1.0
04114 | Auburn, NY	p127	1.0
04130 | Auburn--North Auburn, CA	p9	1.0
04222 | Augusta-Richmond County, GA--SC	p94	0.687533395389125
04222 | Augusta-Richmond County, GA--SC	p96	0.312466604610875
04384 | Austin, TX	p64	1.0
04549 | Avondale--Goodyear, AZ	p28	1.0
04681 | Bakersfield, CA	p10	1.0
04843 | Baltimore, MD	p123	1.0
04951 | Bangor, ME	p134	1.0
05167 | Barnstable Town, MA	p131	1.0
06058 | Beaumont, TX	p66	1.0
06652 | Bellingham, WA	p1	1.0
06760 | Beloit, WI--IL	p80	0.324597423400644
06760 | Beloit, WI--IL	p78	0.675402576599509
06868 | Bend, OR	p5	1.0
07138 | Benton Harbor--St. Joseph--Fair Plain, MI	p104	1.0
07705 | Billings, MT	p20	1.0
07732 | Binghamton, NY--PA	p127	1.0
07786 | Birmingham, AL	p89	1.0
07921 | Bismarck, ND	p36	1.0
08407 | Bloomington--Normal, IL	p83	1.0
08434 | Bloomsburg--Berwick, PA	p122	1.0
08785 | Boise City, ID	p15	1.0
08974 | Bonita Springs, FL	p101	1.0
09271 | Boston, MA--NH--RI	p131	1.0
09298 | Boulder, CO	p33	1.0
09514 | Bozeman, MT	p18	1.0
09946 | Bremerton, WA	p1	0.999999999999998
10162 | Bridgeport--Stamford, CT--NY	p132	1.0
10189 | Bridgeton, NJ	p126	1.0
10891 | Browns Mills--Fort Dix, NJ	p126	1.0
10972 | Brownsville, TX	p65	1.0
11350 | Buffalo, NY	p127	1.0
11431 | Bullhead City, AZ--NV	p13	0.117858874794813
11431 | Bullhead City, AZ--NV	p27	0.882141125205186
11755 | Burlington, VT	p129	1.0
12052 | Butte-Silver Bow, MT	p17	1.0
12754 | Camarillo, CA	p10	1.0
13375 | Canton, OH	p111	1.0
13510 | Cape Coral, FL	p101	1.0
14158 | Carson City, NV	p12	1.0
14401 | Casa Grande, AZ	p28	1.0
14482 | Casper, WY	p24	1.0
14698 | Cedar City, UT	p25	1.0
14752 | Cedar Rapids, IA	p70	1.0
15076 | Centralia, WA	p2	0.89598709114362
15076 | Centralia, WA	p1	0.104012908856377
15184 | Chambersburg, PA	p120	1.0
15211 | Champaign, IL	p83	1.0
15508 | Charleston--North Charleston, SC	p96	1.0
15670 | Charlotte, NC--SC	p97	1.0
15724 | Charlottesville, VA	p99	1.0
15832 | Chattanooga, TN--GA	p92	1.0
16237 | Cheyenne, WY	p24	1.0
16264 | Chicago, IL--IN	p80	1.0
16318 | Chico, CA	p9	1.0
16885 | Cincinnati, OH--KY--IN	p114	1.0
17533 | Cleburne, TX	p63	1.0
17668 | Cleveland, OH	p111	1.0
18289 | Coalinga, CA	p9	1.0
18451 | Coeur d'Alene, ID	p14	1.0
18748 | College Station--Bryan, TX	p64	1.0
18856 | Colorado Springs, CO	p34	1.0
18964 | Columbia, SC	p96	1.0
19234 | Columbus, OH	p112	1.0
19504 | Concord, CA	p9	1.0
19531 | Concord, NH	p130	1.0
19558 | Concord, NC	p97	1.0
19755 | Conroe--The Woodlands, TX	p66	1.0
20287 | Corpus Christi, TX	p65	1.0
20422 | Corvallis, OR	p5	1.0
21745 | Cumberland, MD--WV--PA	p116	0.131549592934205
21745 | Cumberland, MD--WV--PA	p121	0.868450407065778
22042 | Dallas--Fort Worth--Arlington, TX	p63	1.0
22096 | Danbury, CT--NY	p132	1.0
22366 | Davenport, IA--IL	p70	0.448845272547605
22366 | Davenport, IA--IL	p81	0.551154727452399
22420 | Davis, CA	p9	1.0
22528 | Dayton, OH	p113	1.0
22960 | DeKalb, IL	p80	1.0
22987 | Delano, CA	p10	1.0
23203 | Del Rio, TX	p61	1.0
23500 | Denton--Lewisville, TX	p63	1.0
23527 | Denver--Aurora, CO	p33	1.0
23743 | Des Moines, IA	p70	1.0
23824 | Detroit, MI	p103	1.0
24580 | Dover, DE	p125	1.0
24607 | Dover--Rochester, NH--ME	p130	0.998271825104135
24607 | Dover--Rochester, NH--ME	p134	0.00172817489586627
24850 | Duluth, MN--WI	p43	0.844276586772067
24850 | Duluth, MN--WI	p46	0.155723413227933
25228 | Durham, NC	p98	1.0
25849 | East Stroudsburg, PA--NJ	p122	1.0
26038 | Eau Claire, WI	p46	1.0
26416 | El Centro--Calexico, CA	p10	1.0
26794 | Elkhart, IN--MI	p105	1.0
27118 | Elmira, NY	p127	1.0
27253 | El Paso, TX--NM	p59	0.999999999999999
27261 | El Paso de Robles (Paso Robles)--Atascadero, CA	p9	1.0
27766 | Erie, PA	p122	1.0
28117 | Eugene, OR	p5	1.0
28198 | Eureka, CA	p9	1.0
28657 | Fairfield, CA	p9	1.0
29089 | Fargo, ND--MN	p42	0.0567343816090229
29089 | Fargo, ND--MN	p37	0.943265618390997
29278 | Farmington, NM	p31	1.0
29440 | Fayetteville, NC	p98	1.0
29818 | Flagstaff, AZ	p28	1.0
30628 | Fort Collins, CO	p33	1.0
31087 | Fort Wayne, IN	p105	1.0
31150 | Four Corners, FL	p101	1.0
31450 | Franklin--Highland Lake, NJ	p126	1.0
31519 | Frederick, MD	p121	1.0
31600 | Fredericksburg, VA	p99	1.0
31843 | Fresno, CA	p9	1.0
32167 | Gainesville, FL	p101	1.0
32194 | Gainesville, GA	p94	1.0
32491 | Galveston, TX	p67	1.0
33247 | Gillette, WY	p23	1.0
33328 | Gilroy--Morgan Hill, CA	p9	1.0
33598 | Glens Falls, NY	p127	1.0
34273 | Grand Junction, CO	p33	1.0
34300 | Grand Rapids, MI	p103	1.0
34516 | Grants Pass, OR	p6	1.0
34597 | Grass Valley, CA	p9	1.0
34759 | Great Falls, MT	p18	1.0
34786 | Greeley, CO	p33	1.0
34813 | Green Bay, WI	p75	1.0
35164 | Greensboro, NC	p97	1.0
35380 | Greenville, NC	p98	1.0
35461 | Greenville, SC	p95	1.0
36055 | Gustine, CA	p9	1.0
36190 | Hagerstown, MD--WV--PA	p116	0.396235425492777
36190 | Hagerstown, MD--WV--PA	p121	0.60376457450733
36703 | Hanford, CA	p9	1.0
36784 | Hanover, PA	p122	1.0
37081 | Harrisburg, PA	p122	1.0
37162 | Harrisonburg, VA	p99	1.0
37243 | Hartford, CT	p132	1.0
37945 | Hazleton, PA	p122	1.0
38161 | Helena, MT	p18	0.986676429847474
38161 | Helena, MT	p17	0.0133235701525275
38215 | Hemet, CA	p10	1.0
38647 | Hickory, NC	p97	1.0
39079 | Hilton Head Island, SC	p96	1.0
39214 | Hobbs, NM	p47	1.0
