Infrastucture_ID	Network_ID	Technology	Production	Year	Lifetime	Nameplate_Capacity	Maximum_Utilization	Length	Capital_Cost	Fixed_Operating_Cost	Variable_Operating_Cost	Storage_Technology	Storage_Capacity
INFR_WECC_IID_Existing_or_Planned_Electrolysis	WECC_IID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_Existing_or_Planned_Electrolysis	WEC_LADW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_AZ_Existing_or_Planned_Electrolysis	WECC_AZ	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Existing_or_Planned_Electrolysis	WECC_NNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Existing_or_Planned_Electrolysis	WEC_CALN	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SNV_Existing_or_Planned_Electrolysis	WECC_SNV	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_PNW_Existing_or_Planned_Electrolysis	WECC_PNW	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SF_Existing_or_Planned_Electrolysis	WECC_SF	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_SCE_Existing_or_Planned_Electrolysis	WECC_SCE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_ID_Existing_or_Planned_Electrolysis	WECC_ID	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NM_Existing_or_Planned_Electrolysis	WECC_NM	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_MT_Existing_or_Planned_Electrolysis	WECC_MT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_SDGE_Existing_or_Planned_Electrolysis	WEC_SDGE	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_UT_Existing_or_Planned_Electrolysis	WECC_UT	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_CO_Existing_or_Planned_Electrolysis	WECC_CO	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_WY_Existing_or_Planned_Electrolysis	WECC_WY	Existing or Planned Electrolysis	Central	2026	1000	0.0	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_GH2truck_4_2026	WECC_IID	City Gate	No	2026	25	195380.72170000002	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_IID_link_7_GH2truck_3_2026	link_7	GH2 Truck Link	No	2026	30	8163.721500000043	1.0	180.0	1247.9648842663762	102.45304494336129	0.0	No Storage	0.0
INFR_WECC_IID_PipelineNodalStorage_3_2026	WECC_IID	GH2 Pipeline Nodal Storage	No	2026	15	7.4025e6	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_WEC_LADW_Central_Natural_Gas_Reforming_w/CCS_2026	WEC_LADW	Central Natural Gas Reforming w/CCS	Central	2026	40	1.09726767951e8	1.0	0.0	3.347514086513842e8	1.1840480359108802e7	0.324826844	No_Storage	0.0
INFR_WEC_LADW_PipelineNodalStorage_1_2026	WEC_LADW	GH2 Pipeline Compressor	No	2026	15	3.38483612382e7	1.0	0.0	4.084955544939684e6	345258.2122725746	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_WEC_LADW_PipelineNodalStorage_3_2026	WEC_LADW	GH2 Pipeline Nodal Storage	No	2026	15	501225.5682	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_WEC_LADW_PipelineNodalStorage_5_2026	WEC_LADW	City Gate	No	2026	25	628292.121	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_LADW_link_1_PipelineNodalStorage_2_2026	link_1	GH2 Pipeline (transmission)	No	2026	50	9.952917554e7	1.0	67.0	7.386459144124378e7	2.5378080925577087e6	0.0	No Storage	0.0
INFR_WEC_LADW_link_2_PipelineNodalStorage_2_2026	link_2	GH2 Pipeline (transmission)	No	2026	50	3.481974701e7	1.0	155.0	1.3205713527494413e8	4.537162665379769e6	0.0	No Storage	0.0
INFR_TAZ_2312_PipelineNodalStorage_3_2026	TAZ_2312	GH2 Pipeline Nodal Storage	No	2026	15	1.02137503e7	1.0	0.0	0.0	0.0	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_TAZ_2312_PipelineNodalStorage_5_2026	TAZ_2312	City Gate	No	2026	25	4.116842158e7	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_AZ_Central_Grid_Electrolysis_(PEM)_2026	WECC_AZ	Central Grid Electrolysis (PEM)	Central	2026	40	1.06816035573e6	1.0	0.0	5.084484523786903e6	327815.3264618987	0.029102935	No_Storage	0.0
INFR_WECC_AZ_GH2truck_1_2026	WECC_AZ	GH2 Pipeline Truck Terminal	No	2026	30	395435.62852999987	1.0	0.0	2.2366549715501694e6	242705.6824135543	0.0	No Storage	0.0
INFR_WECC_AZ_GH2truck_2_2026	WECC_AZ	GH2 Truck	No	2026	30	395435.62852999987	1.0	0.0	2.4742089988271394e6	203122.8994917767	0.0	No Storage	0.0
INFR_WECC_AZ_link_14_GH2truck_3_2026	link_14	GH2 Truck Link	No	2026	30	4061.383600000001	1.0	376.0	1296.8911754482488	106.46970244115226	0.0	No Storage	0.0
INFR_WECC_AZ_link_15_GH2truck_3_2026	link_15	GH2 Truck Link	No	2026	30	2721.2405000000144	1.0	186.0	429.8545712473073	35.28938214715778	0.0	No Storage	0.0
INFR_WECC_AZ_link_17_GH2truck_3_2026	link_17	GH2 Truck Link	No	2026	30	173880.97690000004	1.0	108.0	15948.41420397292	1309.3025435371242	0.0	No Storage	0.0
INFR_WECC_AZ_link_25_GH2truck_3_2026	link_25	GH2 Truck Link	No	2026	30	555.4590999999491	1.0	327.0	154.25580561436567	12.663799426274304	0.0	No Storage	0.0
INFR_WECC_AZ_link_29_GH2truck_3_2026	link_29	GH2 Truck Link	No	2026	30	214216.56842999987	1.0	298.0	54213.94383441677	4450.753137568887	0.0	No Storage	0.0
INFR_WECC_AZ_Pipeline_linepack_1_2026	WECC_AZ	GH2 Pipeline Compressor	No	2026	15	682704.2331	1.0	0.0	306766.3151339505	26969.721658954168	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_WECC_AZ_Pipeline_linepack_3_2026	WECC_AZ	City Gate	No	2026	25	672724.7272000001	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WECC_NNV_Central_Grid_Electrolysis_(PEM)_2026	WECC_NNV	Central Grid Electrolysis (PEM)	Central	2026	40	25460.10867	1.0	0.0	125684.02851380954	8103.309321829661	0.029102935	No_Storage	0.0
INFR_WECC_NNV_link_71_GH2truck_3_2026	link_71	GH2 Truck Link	No	2026	30	538130.9810700001	1.0	404.0	184633.72867557532	15157.708314187981	0.0	No Storage	0.0
INFR_WECC_NNV_link_79_GH2truck_3_2026	link_79	GH2 Truck Link	No	2026	30	3497.027300000045	1.0	429.0	1274.083801874932	104.5973061107694	0.0	No Storage	0.0
INFR_WECC_NNV_Pipeline_linepack_1_2026	WECC_NNV	GH2 Pipeline Compressor	No	2026	15	26496.11416	1.0	0.0	149206.34015435935	10868.371550165843	0.0	GH2 Pipeline Salt Cavern Storage	0.0
INFR_WECC_NNV_Pipeline_linepack_3_2026	WECC_NNV	City Gate	No	2026	25	25460.10867	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
INFR_WEC_CALN_Central_Grid_Electrolysis_(PEM)_2026	WEC_CALN	Central Grid Electrolysis (PEM)	Central	2026	40	9.666666666666567e6	1.0	0.0	3.95100074752655e7	2.5473547885577264e6	0.029102935	No_Storage	0.0
INFR_WEC_CALN_Central_Natural_Gas_Reforming_w/CCS_2026	WEC_CALN	Central Natural Gas Reforming w/CCS	Central	2026	40	1.46e8	1.0	0.0	3.97325624338172e8	1.3624298042509664e7	0.306625525	No_Storage	0.0
INFR_WEC_CALN_PipelineNodalStorage_5_2026	WEC_CALN	City Gate	No	2026	25	6.431397118e7	1.0	0.0	0.0	0.0	0.0	No Storage	0.0
